,Name,Mileage,Price
0,1980 Mercedes-Benz 450SL,"66,998 mi.","$17,498"
1,1980 Mercedes-Benz 450SL,"52,971 mi.","$13,991"
2,1977 Mercedes-Benz 450SL,"130,763 mi.","$12,919"
3,1980 Mercedes-Benz 450SL,"157,020 mi.","$11,997"
4,1978 Mercedes-Benz 450SL,"56,402 mi.","$19,450"
5,1977 Mercedes-Benz 450SL,"46,254 mi.","$23,998"
6,1980 Mercedes-Benz 450SL,"128,978 mi.","$6,995"
7,1974 Mercedes-Benz 450SL,"80,194 mi.","$6,990"
8,1978 Mercedes-Benz 450SL,"140,060 mi.","$13,750"
9,1979 Mercedes-Benz 450SL,"66,702 mi.","$14,995"
10,1978 Mercedes-Benz 450SL Roadster,"71,436 mi.","$12,900"
11,1973 Mercedes-Benz 450SL,"33,281 mi.","$21,000"
12,1977 Mercedes-Benz 450SL,"136,364 mi.","$9,900"
13,1980 Mercedes-Benz 450SL,"91,325 mi.","$11,800"
14,1978 Mercedes-Benz 450SL,"182,000 mi.","$7,500"
15,1976 Mercedes-Benz 450SL,0 mi.,Not Priced
16,1976 Mercedes-Benz 450SL,"23,945 mi.",Not Priced
17,1980 Mercedes-Benz 450SL,"269,881 mi.","$3,995"
18,1979 Mercedes-Benz 450SL,"142,503 mi.","$3,991"
19,1976 Mercedes-Benz 450SL,"151,656 mi.","$9,100"
20,1977 Mercedes-Benz 450SL,,"$8,777"
21,1978 Mercedes-Benz 450SL,"96,854 mi.",Not Priced
22,1980 Mercedes-Benz 450SL,"51,003 mi.",Not Priced
23,1977 Mercedes-Benz 450SL,"94,323 mi.","$7,950"
