,Name,Mileage,Price
0,2016 Mercedes-Benz AMG C AMG C 63 S,"49,330 mi.","$46,500"
1,2016 Mercedes-Benz AMG C AMG C 63 S,"21,291 mi.","$54,998"
2,2016 Mercedes-Benz AMG C AMG C 63,"33,361 mi.","$45,650"
3,2016 Mercedes-Benz AMG C AMG C 63 S,"31,990 mi.","$53,900"
4,2016 Mercedes-Benz AMG C AMG C 63 S,"16,187 mi.","$50,000"
5,2016 Mercedes-Benz AMG C AMG C 63 S,"18,535 mi.","$45,990"
6,2016 Mercedes-Benz AMG C AMG C 63 S,"32,001 mi.","$47,990"
7,2016 Mercedes-Benz AMG C AMG C 63,"15,037 mi.","$45,515"
8,2016 Mercedes-Benz AMG C AMG C 63 S,"31,595 mi.","$49,995"
9,2016 Mercedes-Benz AMG C AMG C 63 S,"50,581 mi.","$42,875"
10,2016 Mercedes-Benz AMG C AMG C 63 S,"35,807 mi.","$49,888"
11,2016 Mercedes-Benz AMG C AMG C 63 S,"17,831 mi.","$51,888"
12,2016 Mercedes-Benz AMG C AMG C 63 S,"9,319 mi.","$53,842"
