,Name,Mileage,Price
0,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,282 mi.,"$49,443"
1,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"3,457 mi.","$54,680"
2,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"5,585 mi.","$45,790"
3,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,39 mi.,"$54,772"
4,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"3,457 mi.","$54,680"
5,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"7,569 mi.","$49,300"
6,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"2,555 mi.","$56,751"
7,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"21,516 mi.","$44,998"
8,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,505 mi.,"$59,775"
9,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"1,915 mi.","$54,000"
10,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"20,214 mi.","$46,655"
11,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"15,699 mi.","$49,988"
12,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"8,932 mi.","$48,988"
13,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"19,431 mi.","$47,991"
14,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"8,124 mi.","$47,977"
15,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"8,095 mi.","$50,667"
16,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"18,195 mi.","$46,997"
17,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"8,221 mi.","$48,199"
18,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"12,146 mi.","$49,777"
19,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"10,174 mi.","$46,850"
20,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"3,113 mi.","$54,995"
21,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"2,908 mi.","$45,900"
22,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,"8,046 mi.","$43,977"
23,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"41,939 mi.","$38,882"
24,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"20,475 mi.","$43,455"
25,2018 Mercedes-Benz AMG CLA 45 Base 4MATIC,4 mi.,"$53,972"
26,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"12,700 mi.","$47,100"
27,2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,"2,928 mi.",Not Priced
28,2017 Mercedes-Benz AMG CLA 45 CLA45C4,0 mi.,"$62,695"
