,Name,Mileage,Price
0,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"35,940 mi.","$61,990"
1,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"34,667 mi.","$62,990"
2,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"46,160 mi.","$63,988"
3,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"12,437 mi.","$73,993"
4,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"13,886 mi.","$72,899"
5,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"44,475 mi.","$59,795"
6,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"17,658 mi.","$72,995"
7,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"26,585 mi.","$73,702"
8,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"31,412 mi.","$63,895"
9,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"14,530 mi.","$62,500"
10,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"21,133 mi.","$74,881"
11,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"41,224 mi.","$64,695"
12,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"14,507 mi.","$73,598"
13,2016 Mercedes-Benz AMG CLS AMG CLS 63 S-Model 4MATIC,"40,244 mi.","$71,995"
