,Name,Mileage,Price
0,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"53,960 mi.","$56,000"
1,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"13,433 mi.","$59,995"
2,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"36,633 mi.","$79,895"
3,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"29,800 mi.","$64,946"
4,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"41,691 mi.","$62,988"
5,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"29,951 mi.","$56,990"
6,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"21,384 mi.","$66,991"
7,2016 Mercedes-Benz AMG E E63W4S,"21,384 mi.","$66,991"
8,2016 Mercedes-Benz AMG E E63W4S,"47,516 mi.","$56,018"
9,2016 Mercedes-Benz AMG E AMG E63 S-Model 4MATIC,"36,774 mi.","$65,995"
10,2016 Mercedes-Benz AMG E E63W4S,"41,618 mi.","$62,795"
