,Name,Mileage,Price
0,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"13,095 mi.","$49,998"
1,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"6,940 mi.","$63,112"
2,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"2,440 mi.","$53,499"
3,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"4,942 mi.","$51,948"
4,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"4,427 mi.","$46,999"
5,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"2,274 mi.","$49,898"
6,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"5,701 mi.","$57,451"
7,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"1,895 mi.","$52,319"
8,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"7,212 mi.","$52,500"
9,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"6,936 mi.","$40,899"
10,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"4,839 mi.","$54,849"
11,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"15,901 mi.","$46,987"
12,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"8,147 mi.","$55,900"
13,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"28,903 mi.","$39,980"
14,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"19,008 mi.","$46,981"
15,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"2,489 mi.","$55,999"
16,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"8,271 mi.","$57,993"
17,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"5,604 mi.","$52,799"
18,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"7,342 mi.","$59,997"
19,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"18,675 mi.","$46,988"
20,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,164 mi.,"$51,200"
21,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"25,856 mi.","$40,418"
22,2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,"27,938 mi.",Not Priced
23,2018 Mercedes-Benz AMG GLA 45 Base 4MATIC,"18,362 mi.","$46,995"
