,Name,Mileage,Price
0,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"1,742 mi.","$75,995"
1,2018 Mercedes-Benz AMG GLC 63,"2,387 mi.","$74,800"
2,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"3,040 mi.","$76,800"
3,2018 Mercedes-Benz AMG GLC 63 4MATIC Coupe,"3,115 mi.","$74,994"
4,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"5,501 mi.","$71,819"
5,2018 Mercedes-Benz AMG GLC 63 S 4MATIC,"11,408 mi.","$80,975"
6,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"1,726 mi.","$72,880"
7,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"6,500 mi.","$64,312"
8,2018 Mercedes-Benz AMG GLC 63 S 4MATIC Coupe,"3,854 mi.","$85,999"
9,2018 Mercedes-Benz AMG GLC 63 4MATIC Coupe,"2,758 mi.","$74,765"
10,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,777 mi.,"$79,880"
11,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"2,749 mi.","$76,800"
12,2018 Mercedes-Benz AMG GLC 63 S 4MATIC,"3,990 mi.","$98,800"
13,2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,235 mi.,"$78,888"
14,2018 Mercedes-Benz AMG GLC 63 S 4MATIC Coupe,"1,450 mi.","$82,500"
15,2018 Mercedes-Benz AMG GLC 63 S,53 mi.,"$104,600"
16,2019 Mercedes-Benz AMG GLC 63,"1,000 mi.",Not Priced
17,2018 Mercedes-Benz AMG GLC 63 Base 4MATIC,"2,186 mi.","$76,950"
