,Name,Mileage,Price
0,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"16,072 mi.","$104,486"
1,2018 Mercedes-Benz AMG GLS 63 Base,"20,343 mi.","$102,555"
2,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"26,706 mi.","$98,982"
3,2018 Mercedes-Benz AMG GLS 63 Base,"8,022 mi.","$108,000"
4,2018 Mercedes-Benz AMG GLS 63 Base,"17,472 mi.","$97,905"
5,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"43,080 mi.","$84,881"
6,2018 Mercedes-Benz AMG GLS 63 Base,"9,901 mi.","$109,500"
7,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"11,636 mi.","$102,981"
8,2018 Mercedes-Benz AMG GLS 63 Base,"7,016 mi.","$110,906"
9,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,488 mi.,"$114,990"
10,2018 Mercedes-Benz AMG GLS 63 Base,"8,206 mi.","$114,920"
11,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,904 mi.","$107,900"
12,2018 Mercedes-Benz AMG GLS 63 Base,"16,259 mi.","$106,898"
13,2018 Mercedes-Benz AMG GLS 63 Base,"6,032 mi.","$109,482"
14,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"30,485 mi.","$96,627"
15,2018 Mercedes-Benz AMG GLS 63,"13,870 mi.","$108,900"
16,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"15,246 mi.","$93,749"
17,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"46,023 mi.","$81,244"
18,2018 Mercedes-Benz AMG GLS 63 GLS63W4,"14,300 mi.","$106,988"
19,2018 Mercedes-Benz AMG GLS 63 GLS63W4,"3,729 mi.","$108,899"
20,2019 Mercedes-Benz AMG GLS 63 Base 4MATIC,339 mi.,"$129,991"
21,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,765 mi.","$102,995"
22,2019 Mercedes-Benz AMG GLS 63 GLS63W4,783 mi.,"$123,741"
23,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"29,730 mi.","$77,993"
24,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"9,240 mi.","$102,813"
25,2018 Mercedes-Benz AMG GLS 63 Base,"3,028 mi.","$112,500"
26,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"13,352 mi.","$91,850"
27,2018 Mercedes-Benz AMG GLS 63 Base,515 mi.,"$112,997"
28,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"34,241 mi.","$89,850"
29,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"35,178 mi.","$82,800"
30,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"38,976 mi.","$82,997"
31,2017 Mercedes-Benz AMG GLS 63 Base 4MATIC,"12,313 mi.","$94,981"
32,2018 Mercedes-Benz AMG GLS 63 Base,"15,900 mi.","$99,999"
33,2018 Mercedes-Benz AMG GLS 63 Base 4MATIC,"13,455 mi.","$99,995"
