,Name,Mileage,Price
0,2017 Mercedes-Benz AMG SL 63 Base,"3,520 mi.","$129,998"
1,2017 Mercedes-Benz AMG SL 63 Base,"4,856 mi.","$122,991"
2,2017 Mercedes-Benz AMG SL 63 Base,"5,937 mi.","$116,900"
3,2017 Mercedes-Benz AMG SL 63 Base,"6,030 mi.","$118,498"
4,2017 Mercedes-Benz AMG SL 63 Base,"10,058 mi.","$119,999"
5,2017 Mercedes-Benz AMG SL 63 Base,"19,724 mi.","$114,500"
6,2018 Mercedes-Benz AMG SL 63 Base,"5,279 mi.","$138,888"
7,2017 Mercedes-Benz AMG SL 63 Base,"18,965 mi.","$109,742"
8,2017 Mercedes-Benz AMG SL 63 Base,"3,909 mi.","$119,990"
9,2017 Mercedes-Benz AMG SL 63 Base,"4,149 mi.","$116,999"
10,2017 Mercedes-Benz AMG SL 63 Base,"13,955 mi.","$119,851"
11,2018 Mercedes-Benz AMG SL 63 Base,"3,492 mi.","$142,900"
12,2017 Mercedes-Benz AMG SL 63 Base,"7,863 mi.","$119,950"
13,2017 Mercedes-Benz AMG SL 63 Base,"11,883 mi.","$105,900"
14,2017 Mercedes-Benz AMG SL 63 Base,"6,500 mi.","$112,995"
15,2017 Mercedes-Benz AMG SL 63 Base,"7,700 mi.","$109,995"
16,2017 Mercedes-Benz AMG SL 63 Base,"4,278 mi.","$119,895"
17,2009 Mercedes-Benz AMG SL 63,"12,000 mi.","$50,000"
