,Name,Mileage,Price
0,2018 Mercedes-Benz AMG SLC 43 Base,"7,723 mi.","$61,450"
1,2017 Mercedes-Benz AMG SLC 43 Base,"6,811 mi.","$48,970"
2,2017 Mercedes-Benz AMG SLC 43 Base,"7,375 mi.","$52,983"
3,2017 Mercedes-Benz AMG SLC 43 Base,"4,014 mi.","$55,997"
4,2017 Mercedes-Benz AMG SLC 43 Base,"4,416 mi.","$51,978"
5,2017 Mercedes-Benz AMG SLC 43 Base,"20,230 mi.","$47,995"
6,2017 Mercedes-Benz AMG SLC 43 Base,"3,638 mi.","$51,800"
7,2017 Mercedes-Benz AMG SLC 43 Base,"1,350 mi.","$49,995"
8,2017 Mercedes-Benz AMG SLC 43 Base,"2,524 mi.","$52,666"
9,2017 Mercedes-Benz AMG SLC 43 Base,239 mi.,"$60,717"
10,2017 Mercedes-Benz AMG SLC 43 SLC43R,"6,184 mi.","$49,891"
11,2018 Mercedes-Benz AMG SLC 43 Base,"6,910 mi.","$58,900"
12,2018 Mercedes-Benz AMG SLC 43 Base,0 mi.,"$64,940"
