,Name,Mileage,Price
0,2014 Mercedes-Benz Base,"13,705 mi.","$17,694"
1,2017 Mercedes-Benz B 250e,420 mi.,"$26,497"
2,2014 Mercedes-Benz Base,"20,725 mi.","$19,900"
3,2015 Mercedes-Benz Base,"5,092 mi.","$21,998"
4,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
5,2017 Mercedes-Benz B 250e,"6,414 mi.","$27,841"
6,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
7,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
8,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
9,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
10,2015 Mercedes-Benz Base,"34,132 mi.","$18,995"
11,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
12,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
13,2014 Mercedes-Benz Base,"28,834 mi.","$18,935"
14,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
15,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
16,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
17,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
18,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
19,2014 Mercedes-Benz Base,"19,346 mi.","$18,998"
20,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
21,2017 Mercedes-Benz B 250e,"15,139 mi.","$24,998"
22,2014 Mercedes-Benz Base,"18,313 mi.","$19,998"
23,2014 Mercedes-Benz Base,"15,416 mi.","$20,599"
24,2016 Mercedes-Benz B 250e,"13,907 mi.","$25,901"
25,2014 Mercedes-Benz Base,"14,406 mi.","$21,763"
26,2014 Mercedes-Benz Base,"31,162 mi.","$16,855"
27,2015 Mercedes-Benz B 250e,"21,074 mi.","$19,831"
28,2014 Mercedes-Benz Base,"52,127 mi.","$16,371"
29,2014 Mercedes-Benz Base,"20,143 mi.","$17,998"
30,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
31,2015 Mercedes-Benz Base,"34,260 mi.","$21,682"
32,2015 Mercedes-Benz Base,"44,139 mi.","$15,499"
33,2014 Mercedes-Benz Base,"30,408 mi.","$19,998"
34,2014 Mercedes-Benz Base,"43,871 mi.","$18,045"
35,2015 Mercedes-Benz Base,"21,103 mi.","$19,995"
36,2015 Mercedes-Benz Base,"19,852 mi.","$17,999"
37,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
38,2015 Mercedes-Benz Base,"25,652 mi.","$16,999"
39,2015 Mercedes-Benz Base,"19,852 mi.","$17,999"
40,2014 Mercedes-Benz Base,"20,812 mi.","$19,500"
41,2014 Mercedes-Benz Base,"28,664 mi.","$18,998"
42,2014 Mercedes-Benz Base,"20,812 mi.","$19,500"
43,2015 Mercedes-Benz Base,"25,849 mi.","$20,977"
44,2014 Mercedes-Benz Base,"18,301 mi.","$19,998"
45,2014 Mercedes-Benz Base,"50,123 mi.","$16,430"
46,2014 Mercedes-Benz Base,"30,330 mi.","$20,599"
47,2014 Mercedes-Benz Base,"15,529 mi.","$18,877"
48,2014 Mercedes-Benz Base,"41,234 mi.","$17,444"
49,2015 Mercedes-Benz Base,"35,918 mi.","$19,995"
50,2015 Mercedes-Benz Base,"50,458 mi.","$17,998"
51,2014 Mercedes-Benz Base,"38,150 mi.","$18,300"
52,2015 Mercedes-Benz Base,"34,223 mi.","$18,900"
53,2014 Mercedes-Benz Base,"10,564 mi.","$16,999"
54,2017 Mercedes-Benz B 250e,37 mi.,"$26,995"
55,2015 Mercedes-Benz Base,"20,510 mi.","$18,500"
56,2015 Mercedes-Benz Base,"6,965 mi.","$20,900"
57,2015 Mercedes-Benz Base,"20,959 mi.","$20,998"
58,2015 Mercedes-Benz Base,"24,291 mi.","$18,998"
59,2014 Mercedes-Benz Base,"21,249 mi.","$18,998"
