,Name,Mileage,Price
0,2014 Mercedes-Benz C 250 Sport,"48,941 mi.","$20,888"
1,2012 Mercedes-Benz C 250 Luxury,"74,025 mi.","$13,991"
2,2015 Mercedes-Benz C 300,"18,949 mi.","$24,480"
3,2018 Mercedes-Benz C 300,"11,138 mi.","$44,991"
4,2016 Mercedes-Benz C 450 AMG 4MATIC,"4,374 mi.","$42,981"
5,2014 Mercedes-Benz C 300 4MATIC,"43,788 mi.","$19,494"
6,2016 Mercedes-Benz C 300,"32,170 mi.","$26,999"
7,2016 Mercedes-Benz C 300,"36,236 mi.","$27,995"
8,2016 Mercedes-Benz C300 4MATIC,"20,341 mi.","$26,998"
9,2016 Mercedes-Benz C 300,"28,823 mi.","$23,296"
10,2016 Mercedes-Benz C300 4MATIC Sport,"28,786 mi.","$27,990"
11,2018 Mercedes-Benz AMG C 43,"3,034 mi.","$54,550"
12,2016 Mercedes-Benz C300 4MATIC,"33,241 mi.","$29,995"
13,2015 Mercedes-Benz C 350,"42,363 mi.","$23,850"
14,2016 Mercedes-Benz C 300,"28,504 mi.","$23,318"
15,2016 Mercedes-Benz C 300,"35,702 mi.","$24,991"
16,2009 Mercedes-Benz C 300 Sport 4MATIC,"137,087 mi.","$7,999"
17,2014 Mercedes-Benz C 300 4MATIC,"36,286 mi.","$17,944"
18,2011 Mercedes-Benz C 300,"111,426 mi.","$9,702"
19,2018 Mercedes-Benz C 300 4MATIC,"3,894 mi.","$39,500"
20,2018 Mercedes-Benz C 300 4MATIC,"3,310 mi.","$41,500"
21,2016 Mercedes-Benz C 450 AMG 4MATIC,"29,339 mi.","$39,995"
22,2017 Mercedes-Benz C 300 4MATIC,"31,499 mi.","$32,890"
23,2018 Mercedes-Benz C 300 4MATIC,"5,128 mi.","$41,334"
24,2018 Mercedes-Benz C 300 4MATIC,"16,005 mi.","$35,981"
25,2015 Mercedes-Benz C 300,"26,550 mi.","$25,983"
26,2016 Mercedes-Benz C 300 Sport,"19,989 mi.","$30,981"
27,2016 Mercedes-Benz C 450 AMG 4MATIC,"7,888 mi.","$40,972"
28,2016 Mercedes-Benz C 300,"28,197 mi.","$28,494"
29,2015 Mercedes-Benz C 300,"50,515 mi.","$22,997"
30,2013 Mercedes-Benz C 300 4MATIC,"34,803 mi.","$18,977"
31,2018 Mercedes-Benz C 300,"5,691 mi.","$36,693"
32,2013 Mercedes-Benz C 300 4MATIC,"32,599 mi.","$17,490"
33,2013 Mercedes-Benz C 300 4MATIC Sport,"46,945 mi.","$18,992"
34,2014 Mercedes-Benz C 300 4MATIC,"97,751 mi.","$14,877"
35,2016 Mercedes-Benz C 450 AMG 4MATIC,"29,080 mi.","$39,125"
36,2016 Mercedes-Benz C 300,"17,305 mi.","$28,990"
37,2016 Mercedes-Benz C 300,"30,382 mi.","$29,490"
38,2012 Mercedes-Benz C 300 Sport 4MATIC,"53,821 mi.","$16,261"
39,2016 Mercedes-Benz C 300,"9,844 mi.","$27,994"
40,2011 Mercedes-Benz C 350 Sport,"89,789 mi.","$10,800"
41,2018 Mercedes-Benz C 300,"3,092 mi.","$34,955"
42,2016 Mercedes-Benz C 300,"10,376 mi.","$26,991"
43,2016 Mercedes-Benz C 300,"21,151 mi.","$26,491"
44,2016 Mercedes-Benz C300 4MATIC Luxury,"35,845 mi.","$26,834"
45,2016 Mercedes-Benz C300 Sport,"45,066 mi.","$25,991"
46,2017 Mercedes-Benz C 300 4MATIC,"28,271 mi.","$48,900"
47,2014 Mercedes-Benz C 300 4MATIC,"40,404 mi.","$18,493"
48,2015 Mercedes-Benz C 300,"4,810 mi.","$25,939"
49,2016 Mercedes-Benz C300 4MATIC,"21,999 mi.","$29,991"
50,2016 Mercedes-Benz C 300,"13,428 mi.","$27,870"
51,2016 Mercedes-Benz C 300,"41,654 mi.","$22,883"
52,2017 Mercedes-Benz C 300 4MATIC,"3,284 mi.","$33,881"
53,2016 Mercedes-Benz C 300,"30,383 mi.","$23,498"
54,2010 Mercedes-Benz C300 Sport,"89,836 mi.","$9,560"
55,2015 Mercedes-Benz C 300,"21,542 mi.","$22,998"
56,2016 Mercedes-Benz C300 Sport,"3,006 mi.","$27,881"
57,2019 Mercedes-Benz C 300,286 mi.,"$39,989"
58,2014 Mercedes-Benz C250 Sport,"26,880 mi.","$19,406"
59,2013 Mercedes-Benz C300 4MATIC Sport,"28,700 mi.","$17,850"
60,2015 Mercedes-Benz C300 4MATIC Sport,"37,465 mi.","$22,990"
61,2016 Mercedes-Benz C 300 Luxury 4MATIC,"20,905 mi.","$26,990"
62,2013 Mercedes-Benz,"35,103 mi.","$17,990"
63,2014 Mercedes-Benz C300 4MATIC Sport,"83,382 mi.","$17,499"
64,2015 Mercedes-Benz C 300,"24,710 mi.","$22,569"
65,2015 Mercedes-Benz C 300 Luxury,"44,287 mi.","$23,891"
66,2016 Mercedes-Benz C300 4MATIC,"19,900 mi.","$34,900"
67,2016 Mercedes-Benz C300 4MATIC,"19,766 mi.","$34,900"
68,2017 Mercedes-Benz C 300 4MATIC Sport,"6,008 mi.","$34,103"
69,2017 Mercedes-Benz C300 4MATIC Sport,"7,931 mi.","$34,103"
70,2015 Mercedes-Benz C 300,"9,369 mi.","$24,121"
71,2015 Mercedes-Benz C 300,"10,497 mi.","$24,121"
72,2016 Mercedes-Benz C 300 4MATIC,"40,948 mi.","$30,999"
73,2016 Mercedes-Benz C 300 4MATIC,"27,248 mi.","$33,795"
74,2019 Mercedes-Benz C 300,"4,689 mi.","$54,975"
75,2015 Mercedes-Benz 4dr Sdn C 300 4MATIC,"24,212 mi.","$26,450"
76,2015 Mercedes-Benz,"22,587 mi.","$25,424"
77,2015 Mercedes-Benz C 300,"14,837 mi.","$26,897"
78,2018 Mercedes-Benz C 300 4MATIC,"6,199 mi.","$37,905"
79,2015 Mercedes-Benz C 300 4MATIC,"15,825 mi.","$26,340"
80,2016 Mercedes-Benz C 300 4MATIC,"7,847 mi.","$30,497"
81,2016 Mercedes-Benz C 300,"22,508 mi.","$31,901"
82,2016 Mercedes-Benz C 300 4MATIC,"30,527 mi.","$29,840"
83,2016 Mercedes-Benz C 300 4MATIC,"5,601 mi.","$29,995"
84,2015 Mercedes-Benz C 300,"26,561 mi.","$26,523"
85,2016 Mercedes-Benz C300 4MATIC,"39,036 mi.","$25,994"
86,2017 Mercedes-Benz C 300 4MATIC,"7,052 mi.","$37,975"
87,2015 Mercedes-Benz C 350 Sport 4MATIC,"35,366 mi.","$27,495"
88,2016 Mercedes-Benz C 300,"16,589 mi.","$28,506"
89,2016 Mercedes-Benz C 300,"14,305 mi.","$30,962"
90,2016 Mercedes-Benz C 300,"11,840 mi.","$27,779"
91,2016 Mercedes-Benz C 300,"26,526 mi.","$25,629"
92,2015 Mercedes-Benz C 300,"38,805 mi.","$23,972"
93,2015 Mercedes-Benz C 300,"22,570 mi.","$23,989"
94,2015 Mercedes-Benz C 300,"45,549 mi.","$22,800"
95,2015 Mercedes-Benz C 300,"32,845 mi.","$25,688"
96,2015 Mercedes-Benz C 300,"27,785 mi.","$24,494"
97,2012 Mercedes-Benz C300 4MATIC Luxury,"78,173 mi.","$12,998"
98,2015 Mercedes-Benz C 300,"45,857 mi.","$21,000"
99,2012 Mercedes-Benz C 300 4MATIC Sport,"52,627 mi.","$15,995"
