,Name,Mileage,Price
0,2008 Mercedes-Benz CLK 350,"70,387 mi.","$8,995"
1,2009 Mercedes-Benz CLK 350,"79,324 mi.","$13,995"
2,2000 Mercedes-Benz CLK320,"24,880 mi.","$11,888"
3,2005 Mercedes-Benz CLK320,"109,084 mi.","$6,995"
4,2005 Mercedes-Benz CLK320,"88,601 mi.","$7,999"
5,2009 Mercedes-Benz CLK350,"76,698 mi.","$12,995"
6,2005 Mercedes-Benz CLK500,"100,000 mi.","$6,999"
7,2008 Mercedes-Benz CLK 350,"108,000 mi.","$7,999"
8,2006 Mercedes-Benz CLK 350,"96,855 mi.","$7,500"
9,2009 Mercedes-Benz CLK350,"67,626 mi.","$10,498"
10,2000 Mercedes-Benz CLK430,"103,713 mi.","$7,919"
11,2006 Mercedes-Benz CLK 350,"101,566 mi.","$6,985"
12,2008 Mercedes-Benz CLK63 AMG Black Series,"35,693 mi.","$67,900"
13,2004 Mercedes-Benz CLK55 AMG,"120,583 mi.","$7,988"
14,2009 Mercedes-Benz CLK350,"75,552 mi.","$9,500"
15,2006 Mercedes-Benz 350 Cabriolet,"92,386 mi.","$9,987"
16,2000 Mercedes-Benz 430 Cabriolet,"72,376 mi.","$9,747"
17,2005 Mercedes-Benz 500,"95,432 mi.","$6,995"
18,2004 Mercedes-Benz CLK55 AMG,"46,927 mi.","$14,988"
19,2004 Mercedes-Benz CLK500,"144,072 mi.","$5,999"
20,2009 Mercedes-Benz CLK 350,"77,000 mi.","$9,995"
21,2005 Mercedes-Benz CLK500,"108,444 mi.","$7,250"
22,2006 Mercedes-Benz CLK 350,"110,667 mi.","$6,990"
23,2004 Mercedes-Benz CLK320,"65,267 mi.","$5,995"
24,2007 Mercedes-Benz CLK550,"71,904 mi.","$9,983"
25,2009 Mercedes-Benz CLK 350,"29,290 mi.","$16,550"
26,2003 Mercedes-Benz 5.0L,"116,704 mi.","$5,895"
27,2002 Mercedes-Benz AMG,"99,072 mi.","$7,950"
28,2007 Mercedes-Benz 350 Cabriolet,"69,200 mi.","$11,784"
29,2002 Mercedes-Benz AMG,"94,501 mi.","$7,990"
30,2003 Mercedes-Benz 3.2L,"104,592 mi.","$6,950"
31,2008 Mercedes-Benz CLK550,"26,382 mi.","$21,900"
