,Name,Mileage,Price
0,2018 Mercedes-Benz CLS 550 Base,"9,910 mi.","$65,000"
1,2017 Mercedes-Benz CLS 550 Base,"20,156 mi.","$53,901"
2,2018 Mercedes-Benz CLS 550 Base,"2,465 mi.","$69,895"
3,2017 Mercedes-Benz CLS 550 Base 4MATIC,"18,612 mi.","$65,250"
4,2017 Mercedes-Benz CLS 550 Base 4MATIC,"10,287 mi.","$59,995"
5,2017 Mercedes-Benz CLS 550 Base 4MATIC,"14,581 mi.","$64,498"
6,2018 Mercedes-Benz CLS 550 Base,"18,777 mi.","$53,598"
7,2017 Mercedes-Benz CLS 550 Base 4MATIC,"31,596 mi.","$59,989"
8,2017 Mercedes-Benz CLS 550 Base,"11,789 mi.","$57,777"
9,2017 Mercedes-Benz CLS 550 Base 4MATIC,"10,109 mi.","$63,996"
10,2018 Mercedes-Benz CLS 550 Base,70 mi.,"$78,991"
11,2018 Mercedes-Benz CLS 550 Base,"5,320 mi.","$66,981"
12,2017 Mercedes-Benz CLS 550 Base,"29,291 mi.","$51,888"
13,2017 Mercedes-Benz CLS 550 Base 4MATIC,"36,841 mi.","$55,991"
14,2017 Mercedes-Benz CLS 550 Base,"20,600 mi.","$58,769"
15,2017 Mercedes-Benz CLS 550 Base 4MATIC,"22,799 mi.","$62,187"
16,2017 Mercedes-Benz CLS 550 CLS550C4,"19,963 mi.","$61,478"
17,2017 Mercedes-Benz CLS 550 Base 4MATIC,"13,500 mi.","$62,239"
18,2017 Mercedes-Benz CLS 550 Base 4MATIC,"12,790 mi.","$62,995"
19,2017 Mercedes-Benz CLS 550 Base 4MATIC,"21,378 mi.","$64,500"
20,2018 Mercedes-Benz CLS 550 Base,"7,655 mi.","$63,987"
21,2017 Mercedes-Benz CLS 550 Base 4MATIC,"9,787 mi.","$65,499"
22,2017 Mercedes-Benz CLS 550 Base,"3,200 mi.","$63,900"
23,2017 Mercedes-Benz CLS 550 Base,"22,553 mi.","$51,994"
24,2018 Mercedes-Benz CLS 550 Base,"6,877 mi.","$69,948"
25,2017 Mercedes-Benz CLS 550 Base 4MATIC,"10,035 mi.","$66,988"
26,2017 Mercedes-Benz CLS 550 Base 4MATIC,"22,840 mi.","$61,981"
27,2017 Mercedes-Benz CLS 550 Base,"19,443 mi.","$56,298"
28,2018 Mercedes-Benz CLS 550 Base,25 mi.,"$73,278"
29,2018 Mercedes-Benz CLS 550 Base 4MATIC,"14,909 mi.","$67,494"
30,2017 Mercedes-Benz CLS 550 Base 4MATIC,"14,225 mi.","$64,899"
31,2017 Mercedes-Benz CLS 550 Base,"13,000 mi.","$58,900"
32,2017 Mercedes-Benz CLS 550 Base,"16,000 mi.","$59,900"
33,2018 Mercedes-Benz CLS 550 Base,0 mi.,"$79,433"
34,2018 Mercedes-Benz CLS 550 Base 4MATIC,"5,580 mi.",Not Priced
35,2017 Mercedes-Benz CLS 550 Base 4MATIC,"15,753 mi.",Not Priced
