,Name,Mileage,Price
0,2018 Mercedes-Benz GLA 250 Base 4MATIC,"10,561 mi.","$34,888"
1,2015 Mercedes-Benz GLA 250,"38,172 mi.","$23,988"
2,2017 Mercedes-Benz GLA 250 Base 4MATIC,"39,067 mi.","$24,776"
3,2015 Mercedes-Benz GLA 250,"29,507 mi.","$23,895"
4,2018 Mercedes-Benz GLA 250,"25,850 mi.","$25,490"
5,2018 Mercedes-Benz GLA 250 Base,"5,937 mi.","$28,993"
6,2016 Mercedes-Benz GLA 250,"36,120 mi.","$21,999"
7,2018 Mercedes-Benz GLA 250 Base 4MATIC,"23,454 mi.","$26,987"
8,2017 Mercedes-Benz GLA 250 Base,"11,481 mi.","$25,999"
9,2015 Mercedes-Benz GLA 250 4MATIC,"41,844 mi.","$21,499"
10,2017 Mercedes-Benz GLA 250 Base,"30,558 mi.","$27,794"
11,2016 Mercedes-Benz GLA 250,"28,790 mi.","$23,988"
12,2015 Mercedes-Benz 250 4MATIC,"31,929 mi.","$25,993"
13,2016 Mercedes-Benz 250 4MATIC,"26,045 mi.","$28,992"
14,2018 Mercedes-Benz GLA 250 Base 4MATIC,"6,171 mi.","$33,625"
15,2017 Mercedes-Benz GLA 250 Base 4MATIC,"7,854 mi.","$27,995"
16,2017 Mercedes-Benz GLA 250 Base 4MATIC,"11,647 mi.","$27,495"
17,2016 Mercedes-Benz GLA 250,"36,052 mi.","$28,985"
18,2016 Mercedes-Benz GLA 250,"44,688 mi.","$22,856"
19,2015 Mercedes-Benz GLA 250,"46,457 mi.","$23,690"
20,2018 Mercedes-Benz GLA 250 Base,"11,598 mi.","$31,482"
21,2016 Mercedes-Benz GLA 250,"25,760 mi.","$23,991"
22,2016 Mercedes-Benz GLA 250,"29,459 mi.","$25,193"
23,2018 Mercedes-Benz GLA 250 Base,"7,596 mi.","$29,987"
24,2015 Mercedes-Benz GLA 45 AMG,"32,220 mi.","$35,988"
25,2015 Mercedes-Benz GLA 250,"113,514 mi.","$16,988"
26,2018 Mercedes-Benz GLA 250 Base 4MATIC,"17,298 mi.","$32,929"
27,2015 Mercedes-Benz GLA 250,"23,802 mi.","$22,494"
28,2018 Mercedes-Benz GLA 250 Base 4MATIC,"13,138 mi.","$34,900"
29,2015 Mercedes-Benz GLA 250,"27,933 mi.","$23,983"
30,2015 Mercedes-Benz GLA 250 4MATIC,"31,805 mi.","$22,300"
31,2015 Mercedes-Benz GLA 250,"25,482 mi.","$23,500"
32,2019 Mercedes-Benz GLA 250 Base 4MATIC,183 mi.,"$37,000"
33,2018 Mercedes-Benz GLA 250 Base,"3,731 mi.","$33,500"
34,2016 Mercedes-Benz GLA 250,"39,225 mi.","$26,750"
35,2017 Mercedes-Benz GLA 250 Base 4MATIC,"10,677 mi.","$29,999"
36,2015 Mercedes-Benz GLA 250,"18,394 mi.","$27,995"
37,2016 Mercedes-Benz GLA 250,"34,579 mi.","$27,995"
38,2017 Mercedes-Benz GLA 250 Base 4MATIC,"6,168 mi.","$31,000"
39,2016 Mercedes-Benz GLA 250 4MATIC,"33,788 mi.","$22,999"
40,2015 Mercedes-Benz GLA 250 4MATIC,"59,926 mi.","$21,495"
41,2015 Mercedes-Benz GLA 45 AMG,"57,558 mi.","$28,800"
42,2016 Mercedes-Benz GLA 250 4MATIC,"26,386 mi.","$27,782"
43,2015 Mercedes-Benz GLA 250,"40,586 mi.","$23,100"
44,2017 Mercedes-Benz GLA 250 Base,"29,485 mi.","$25,981"
45,2015 Mercedes-Benz GLA 250,"39,467 mi.","$24,390"
46,2015 Mercedes-Benz GLA 250,"28,098 mi.","$22,977"
47,2018 Mercedes-Benz GLA 250,"10,090 mi.","$27,994"
48,2015 Mercedes-Benz GLA 250,"31,773 mi.","$25,000"
49,2015 Mercedes-Benz GLA 45 AMG,"19,607 mi.","$35,000"
50,2016 Mercedes-Benz GLA 250,"33,742 mi.","$28,499"
51,2016 Mercedes-Benz GLA 250 4MATIC,"27,442 mi.","$26,500"
52,2016 Mercedes-Benz GLA 250 4MATIC,"23,921 mi.","$28,986"
53,2015 Mercedes-Benz GLA 250,"42,156 mi.","$23,478"
54,2018 Mercedes-Benz GLA 250 Base,"24,952 mi.","$26,486"
55,2015 Mercedes-Benz GLA 250 4MATIC,"24,945 mi.","$22,180"
56,2015 Mercedes-Benz GLA 250,"19,533 mi.","$25,991"
57,2016 Mercedes-Benz GLA 250 4MATIC,"43,540 mi.","$22,000"
58,2018 Mercedes-Benz GLA 250 Base,"7,724 mi.","$30,777"
59,2018 Mercedes-Benz GLA 250 Base,"7,256 mi.","$30,777"
60,2018 Mercedes-Benz GLA 250 Base,"5,329 mi.","$29,991"
61,2015 Mercedes-Benz GLA 250,"18,632 mi.","$20,298"
62,2018 Mercedes-Benz GLA 250 Base,464 mi.,"$32,990"
63,2015 Mercedes-Benz GLA 250,"46,303 mi.","$24,650"
64,2015 Mercedes-Benz GLA 250,"26,170 mi.","$25,650"
65,2018 Mercedes-Benz GLA 250 Base,"9,685 mi.","$34,890"
66,2019 Mercedes-Benz GLA 250 Base 4MATIC,"2,370 mi.","$35,695"
67,2015 Mercedes-Benz GLA 250,"34,111 mi.","$20,600"
68,2018 Mercedes-Benz GLA 250 Base,"17,978 mi.","$28,990"
69,2016 Mercedes-Benz GLA 250,"22,594 mi.","$25,881"
70,2016 Mercedes-Benz GLA 250,"39,050 mi.","$26,881"
71,2016 Mercedes-Benz GLA 250,"16,662 mi.","$28,981"
72,2016 Mercedes-Benz GLA 250,"81,629 mi.","$16,290"
73,2018 Mercedes-Benz GLA 250 Base 4MATIC,"18,987 mi.","$26,787"
74,2015 Mercedes-Benz GLA 250 4MATIC,"53,268 mi.","$17,989"
75,2016 Mercedes-Benz GLA 250,"29,207 mi.","$20,978"
76,2015 Mercedes-Benz GLA 250,"42,653 mi.","$21,910"
77,2016 Mercedes-Benz GLA 250,"29,930 mi.","$26,756"
78,2015 Mercedes-Benz GLA 250,"26,375 mi.","$28,115"
79,2015 Mercedes-Benz GLA 250 4MATIC,"25,144 mi.","$27,132"
80,2019 Mercedes-Benz GLA 250 Base 4MATIC,"3,098 mi.","$39,499"
81,2016 Mercedes-Benz GLA 250 4MATIC,"34,842 mi.","$31,900"
82,2018 Mercedes-Benz GLA 250 Base 4MATIC,"9,076 mi.","$34,681"
83,2016 Mercedes-Benz GLA 250 4MATIC,"23,773 mi.","$26,298"
84,2016 Mercedes-Benz GLA 250 4MATIC,"25,732 mi.","$28,469"
85,2015 Mercedes-Benz GLA 250,"21,312 mi.","$27,901"
86,2018 Mercedes-Benz GLA 250 Base 4MATIC,"9,140 mi.","$34,577"
87,2016 Mercedes-Benz GLA 250 4MATIC,"12,980 mi.","$29,765"
88,2015 Mercedes-Benz GLA 250,"38,653 mi.","$18,994"
89,2015 Mercedes-Benz GLA 250,"16,208 mi.","$24,844"
90,2016 Mercedes-Benz GLA 250 4MATIC,"7,990 mi.","$31,331"
91,2015 Mercedes-Benz GLA 250,"33,310 mi.","$29,191"
92,2015 Mercedes-Benz GLA 250,"26,065 mi.","$22,148"
