,Name,Mileage,Price
0,2018 Mercedes-Benz GLE 550e Base 4MATIC,"8,420 mi.","$67,313"
1,2018 Mercedes-Benz GLE 550e GLE 550e,215 mi.,"$59,995"
2,2017 Mercedes-Benz GLE 550e GLE 550e,"17,225 mi.","$54,982"
3,2017 Mercedes-Benz GLE 550e Base 4MATIC,"26,564 mi.","$44,981"
4,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
5,2017 Mercedes-Benz GLE 550e Base 4MATIC,"14,497 mi.","$52,991"
6,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
7,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
8,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
9,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
10,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
11,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
12,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
13,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
14,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
15,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
16,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
17,2018 Mercedes-Benz GLE 550e GLE 550e,85 mi.,"$74,881"
18,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
19,2017 Mercedes-Benz GLE 550e Base 4MATIC,"9,642 mi.","$53,800"
20,2018 Mercedes-Benz GLE 550e Base 4MATIC,"1,096 mi.","$62,984"
21,2017 Mercedes-Benz GLE 550e Base 4MATIC,"27,568 mi.","$48,900"
22,2017 Mercedes-Benz GLE 550e Base 4MATIC,"27,337 mi.","$43,995"
23,2017 Mercedes-Benz GLE 550e Base 4MATIC,"29,120 mi.","$59,974"
