,Name,Mileage,Price
0,2016 Mercedes-Benz GLE 350,"46,138 mi.","$30,779"
1,2017 Mercedes-Benz GLE 350 Base,"41,159 mi.","$39,983"
2,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"29,619 mi.","$57,500"
3,2016 Mercedes-Benz GLE 350,"34,300 mi.","$34,800"
4,2016 Mercedes-Benz GLE 350,"45,168 mi.","$30,998"
5,2017 Mercedes-Benz GLE 350 Base,"19,377 mi.","$40,986"
6,2016 Mercedes-Benz GLE 400 4MATIC,"43,086 mi.","$39,895"
7,2018 Mercedes-Benz GLE 350 Base,"4,742 mi.","$41,993"
8,2018 Mercedes-Benz GLE 350 Base 4MATIC,"3,633 mi.","$48,981"
9,2018 Mercedes-Benz GLE 350 Base 4MATIC,"6,642 mi.","$48,985"
10,2018 Mercedes-Benz GLE 350 Base 4MATIC,"6,488 mi.","$54,985"
11,2016 Mercedes-Benz GLE 350 4MATIC,"22,271 mi.","$39,985"
12,2016 Mercedes-Benz GLE 350,"47,000 mi.","$32,888"
13,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"19,901 mi.","$56,422"
14,2017 Mercedes-Benz GLE 350 Base 4MATIC,"20,039 mi.","$43,981"
15,2017 Mercedes-Benz GLE 350 Base 4MATIC,"25,496 mi.","$42,981"
16,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"29,296 mi.","$59,986"
17,2016 Mercedes-Benz GLE 350 4MATIC,"30,497 mi.","$38,980"
18,2016 Mercedes-Benz GLE 300d 4MATIC,"17,533 mi.","$41,487"
19,2017 Mercedes-Benz GLE 350 Base 4MATIC,"40,253 mi.","$35,594"
20,2016 Mercedes-Benz 350 4MATIC,"21,137 mi.","$39,993"
21,2016 Mercedes-Benz GLE 350 4MATIC,"19,579 mi.","$37,399"
22,2017 Mercedes-Benz GLE 350 Base 4MATIC,"34,784 mi.","$38,448"
23,2017 Mercedes-Benz GLE 350 Base,"8,321 mi.","$42,998"
24,2017 Mercedes-Benz GLE 350 Base 4MATIC,"15,105 mi.","$45,310"
25,2016 Mercedes-Benz GLE 350,"29,177 mi.","$35,500"
26,2017 Mercedes-Benz GLE 350 Base,"29,843 mi.","$34,988"
27,2017 Mercedes-Benz GLE 350 Base 4MATIC,"42,075 mi.","$35,699"
28,2017 Mercedes-Benz GLE 350 Base 4MATIC,"2,261 mi.","$44,932"
29,2017 Mercedes-Benz GLE 350 Base 4MATIC,"51,445 mi.","$39,481"
30,2017 Mercedes-Benz GLE 350 Base 4MATIC,"42,355 mi.","$39,387"
31,2017 Mercedes-Benz GLE 350 Base 4MATIC,"34,956 mi.","$37,499"
32,2017 Mercedes-Benz GLE 350 Base 4MATIC,"20,725 mi.","$42,619"
33,2016 Mercedes-Benz GLE 350 4MATIC,"53,045 mi.","$33,043"
34,2016 Mercedes-Benz GLE 350 4MATIC,"26,207 mi.","$38,349"
35,2017 Mercedes-Benz GLE 350 Base 4MATIC,"30,129 mi.","$36,498"
36,2016 Mercedes-Benz GLE 350 4MATIC,"32,889 mi.","$37,500"
37,2016 Mercedes-Benz GLE 350 4MATIC,"35,575 mi.","$37,550"
38,2016 Mercedes-Benz GLE 350 4MATIC,"29,504 mi.","$35,291"
39,2017 Mercedes-Benz GLE 350 Base 4MATIC,"15,002 mi.","$42,488"
40,2017 Mercedes-Benz GLE 350 Base 4MATIC,"14,980 mi.","$44,498"
41,2016 Mercedes-Benz GLE 350 4MATIC,"32,406 mi.","$43,981"
42,2016 Mercedes-Benz GLE 350 4MATIC,"20,653 mi.","$42,981"
43,2017 Mercedes-Benz GLE 350 Base 4MATIC,"42,075 mi.","$35,699"
44,2016 Mercedes-Benz GLE 350 4MATIC,"28,270 mi.","$37,777"
45,2018 Mercedes-Benz GLE 350 Base 4MATIC,"13,636 mi.","$49,956"
46,2016 Mercedes-Benz GLE 350,"32,040 mi.","$33,995"
47,2016 Mercedes-Benz GLE 350 4MATIC,"54,309 mi.","$32,500"
48,2017 Mercedes-Benz GLE 350 Base,"12,728 mi.","$44,490"
49,2017 Mercedes-Benz GLE 350 Base 4MATIC,"32,165 mi.","$36,300"
50,2017 Mercedes-Benz GLE 350 Base 4MATIC,"11,104 mi.","$46,500"
51,2017 Mercedes-Benz GLE 350 Base 4MATIC,"10,102 mi.","$46,500"
52,2016 Mercedes-Benz GLE 350 4MATIC,"36,010 mi.","$38,283"
53,2017 Mercedes-Benz GLE 350 Base,"43,220 mi.","$40,954"
54,2017 Mercedes-Benz GLE 350 Base 4MATIC,"42,075 mi.","$35,699"
55,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"39,342 mi.","$51,932"
56,2016 Mercedes-Benz GLE 350,"30,285 mi.","$38,790"
57,2016 Mercedes-Benz GLE 300d 4MATIC,"27,463 mi.","$41,696"
58,2016 Mercedes-Benz GLE 350,"25,526 mi.","$37,498"
59,2016 Mercedes-Benz GLE 400 4MATIC,"48,947 mi.","$38,995"
60,2016 Mercedes-Benz GLE 350,"37,696 mi.","$30,999"
61,2017 Mercedes-Benz GLE 350 Base,"1,503 mi.","$43,941"
62,2016 Mercedes-Benz GLE 450 AMG,"44,530 mi.","$51,778"
63,2017 Mercedes-Benz GLE 350 Base 4MATIC,"44,754 mi.","$40,000"
64,2016 Mercedes-Benz GLE 350 4MATIC,"41,186 mi.","$41,621"
65,2016 Mercedes-Benz GLE 350 4MATIC,"37,271 mi.","$38,115"
66,2016 Mercedes-Benz GLE 350 4MATIC,"30,721 mi.","$39,995"
67,2016 Mercedes-Benz GLE 350 4MATIC,"40,005 mi.","$40,115"
68,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"35,508 mi.","$59,107"
69,2016 Mercedes-Benz GLE 450 AMG,"34,082 mi.","$58,876"
70,2016 Mercedes-Benz GLE 350 4MATIC,"10,156 mi.","$43,472"
71,2016 Mercedes-Benz GLE 450 AMG,"31,289 mi.","$59,900"
72,2016 Mercedes-Benz GLE 300d 4MATIC,"33,585 mi.","$46,488"
73,2017 Mercedes-Benz GLE 400 Base 4MATIC,"21,192 mi.","$49,918"
74,2016 Mercedes-Benz GLE 350 4MATIC,"34,382 mi.","$38,795"
75,2016 Mercedes-Benz GLE 350 4MATIC,"28,282 mi.","$44,900"
76,2016 Mercedes-Benz GLE 450 AMG,"41,665 mi.","$57,484"
77,2016 Mercedes-Benz GLE 400 4MATIC,"20,805 mi.","$50,495"
78,2016 Mercedes-Benz 4MATIC 4dr GLE 350,"16,460 mi.","$43,325"
79,2016 Mercedes-Benz GLE 350 4MATIC,"20,249 mi.","$42,901"
80,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"23,170 mi.","$59,901"
81,2016 Mercedes-Benz GLE 350 4MATIC,"14,334 mi.","$43,901"
82,2017 Mercedes-Benz GLE 350 Base 4MATIC,"63,482 mi.","$35,494"
83,2017 Mercedes-Benz GLE 350 Base 4MATIC,"42,075 mi.","$35,699"
84,2016 Mercedes-Benz GLE 350,"30,285 mi.","$32,999"
85,2018 Mercedes-Benz GLE 350 Base 4MATIC,"9,062 mi.","$49,448"
86,2016 Mercedes-Benz GLE 350 4MATIC,"27,006 mi.","$40,809"
87,2018 Mercedes-Benz GLE 350 Base 4MATIC,"3,841 mi.","$55,995"
88,2016 Mercedes-Benz GLE 400 4MATIC,"30,626 mi.","$46,995"
89,2016 Mercedes-Benz GLE 350 4MATIC,"18,975 mi.","$43,692"
90,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"21,040 mi.","$68,881"
91,2016 Mercedes-Benz GLE 350 4MATIC,"18,160 mi.","$38,994"
92,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"8,423 mi.","$59,995"
93,2016 Mercedes-Benz GLE 350 4MATIC,"41,065 mi.","$39,926"
94,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"23,619 mi.","$57,672"
95,2016 Mercedes-Benz GLE 350 4MATIC,"28,572 mi.","$39,998"
96,2016 Mercedes-Benz GLE 350 4MATIC,"25,800 mi.","$41,398"
97,2018 Mercedes-Benz GLE 550e Base 4MATIC,"8,420 mi.","$67,313"
98,2017 Mercedes-Benz GLE 350 Base 4MATIC,"15,171 mi.","$44,995"
99,2017 Mercedes-Benz GLE 350 Base 4MATIC,"30,000 mi.","$42,998"
100,2016 Mercedes-Benz GLE 350,"33,147 mi.","$33,498"
101,2018 Mercedes-Benz GLE 550e GLE 550e,215 mi.,"$59,995"
102,2017 Mercedes-Benz GLE 350 Base,"42,040 mi.","$34,988"
103,2016 Mercedes-Benz GLE 350,"30,140 mi.","$34,130"
104,2016 Mercedes-Benz GLE 350,"35,108 mi.","$36,111"
105,2017 Mercedes-Benz GLE 350 Base 4MATIC,"13,089 mi.","$40,600"
106,2016 Mercedes-Benz GLE 350,"42,221 mi.","$30,800"
107,2016 Mercedes-Benz GLE 350 4MATIC,"33,826 mi.","$39,799"
108,2016 Mercedes-Benz GLE 350 4MATIC,"30,450 mi.","$39,799"
109,2017 Mercedes-Benz GLE 350 Base 4MATIC,"27,767 mi.","$38,990"
110,2018 Mercedes-Benz GLE 350 Base 4MATIC,"9,300 mi.","$52,995"
111,2016 Mercedes-Benz GLE 350 4MATIC,"34,269 mi.","$34,988"
112,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"15,600 mi.","$59,877"
113,2016 Mercedes-Benz GLE 450 AMG,"30,087 mi.","$60,977"
114,2017 Mercedes-Benz GLE 350 Base 4MATIC,"35,110 mi.","$40,415"
115,2016 Mercedes-Benz GLE 350,"37,389 mi.","$32,950"
116,2016 Mercedes-Benz GLE 350,"37,611 mi.","$32,989"
117,2017 Mercedes-Benz GLE 350 Base,"31,437 mi.","$35,750"
118,2017 Mercedes-Benz GLE 350 Base 4MATIC,"13,824 mi.","$41,998"
119,2016 Mercedes-Benz GLE 350 4MATIC,"70,566 mi.","$26,995"
120,2016 Mercedes-Benz GLE 350,"69,897 mi.","$28,995"
121,2018 Mercedes-Benz GLE 350 Base 4MATIC,"15,279 mi.","$51,577"
122,2019 Mercedes-Benz GLE 400 Base 4MATIC,"5,285 mi.","$55,959"
123,2018 Mercedes-Benz GLE 350 Base,"2,273 mi.","$49,698"
124,2016 Mercedes-Benz GLE 350,"21,126 mi.","$35,971"
125,2016 Mercedes-Benz GLE 350,"24,699 mi.","$34,873"
126,2017 Mercedes-Benz GLE 350 Base 4MATIC,"27,215 mi.","$40,873"
127,2016 Mercedes-Benz GLE 450 AMG Coupe 4MATIC,"24,296 mi.","$58,282"
128,2017 Mercedes-Benz GLE 350 Base,"32,208 mi.","$36,998"
129,2017 Mercedes-Benz GLE 350 Base,"27,964 mi.","$35,998"
130,2016 Mercedes-Benz GLE 350 4MATIC,"34,759 mi.","$34,900"
131,2017 Mercedes-Benz GLE 350 Base 4MATIC,"32,870 mi.","$41,468"
132,2016 Mercedes-Benz GLE 350 4MATIC,"28,266 mi.","$38,814"
133,2017 Mercedes-Benz GLE 350 Base 4MATIC,"34,923 mi.","$38,380"
134,2016 Mercedes-Benz GLE 300d 4MATIC,"22,028 mi.","$38,994"
135,2017 Mercedes-Benz GLE 350,"10,037 mi.","$43,995"
136,2016 Mercedes-Benz GLE 350,"68,911 mi.","$27,999"
137,2017 Mercedes-Benz GLE 350 Base 4MATIC,"31,759 mi.","$35,900"
138,2017 Mercedes-Benz GLE 350 Base,"33,397 mi.","$34,900"
139,2016 Mercedes-Benz GLE 350 4MATIC,"50,757 mi.","$29,999"
140,2016 Mercedes-Benz GLE 350 4MATIC,"48,230 mi.","$30,775"
141,2016 Mercedes-Benz GLE 350 4MATIC,"37,441 mi.","$39,791"
142,2016 Mercedes-Benz GLE 350 4MATIC,"27,032 mi.","$39,990"
143,2016 Mercedes-Benz GLE 350 4MATIC,"38,198 mi.","$36,590"
144,2016 Mercedes-Benz GLE 350 4MATIC,"36,010 mi.","$38,283"
145,2016 Mercedes-Benz GLE 350 4MATIC,"38,198 mi.","$36,590"
146,2018 Mercedes-Benz GLE 350 Base,"10,047 mi.","$49,590"
147,2017 Mercedes-Benz GLE 350 Base,"24,844 mi.","$37,264"
148,2018 Mercedes-Benz GLE 350 Base 4MATIC,"9,846 mi.","$52,800"
149,2018 Mercedes-Benz GLE 350 Base 4MATIC,"13,505 mi.","$55,500"
150,2018 Mercedes-Benz GLE 350 Base,"3,049 mi.","$49,400"
151,2017 Mercedes-Benz GLE 350 Base 4MATIC,"13,089 mi.","$40,600"
152,2016 Mercedes-Benz GLE 350,"31,973 mi.","$33,990"
153,2016 Mercedes-Benz GLE 350 4MATIC,"36,881 mi.","$34,997"
154,2016 Mercedes-Benz GLE 350 4MATIC,"29,986 mi.","$38,611"
155,2018 Mercedes-Benz GLE 350 Base 4MATIC,"5,750 mi.","$48,998"
156,2018 Mercedes-Benz GLE 350 Base 4MATIC,"8,760 mi.","$54,619"
157,2017 Mercedes-Benz GLE 350 Base,"13,260 mi.","$41,997"
158,2017 Mercedes-Benz GLE 350 Base,"31,008 mi.","$35,399"
159,2018 Mercedes-Benz GLE 350 Base,"3,044 mi.","$51,294"
160,2016 Mercedes-Benz GLE 350 4MATIC,"35,890 mi.","$33,900"
161,2016 Mercedes-Benz GLE 350,"37,977 mi.","$32,990"
162,2016 Mercedes-Benz GLE 350,"36,789 mi.","$30,990"
163,2017 Mercedes-Benz GLE 350 Base 4MATIC,"44,086 mi.","$32,987"
164,2016 Mercedes-Benz GLE 350,"28,540 mi.","$35,990"
165,2016 Mercedes-Benz GLE 350,"32,009 mi.","$31,990"
166,2016 Mercedes-Benz GLE 300d 4MATIC,"50,577 mi.","$31,817"
167,2016 Mercedes-Benz GLE 350 4MATIC,"51,685 mi.","$32,989"
168,2016 Mercedes-Benz GLE 350 4MATIC,"48,047 mi.","$35,490"
