,Name,Mileage,Price
0,2015 Mercedes-Benz GLK 350,"31,082 mi.","$25,998"
1,2015 Mercedes-Benz GLK350,"73,310 mi.","$19,988"
2,2014 Mercedes-Benz GLK 350,"81,226 mi.","$16,950"
3,2014 Mercedes-Benz GLK 350,"41,313 mi.","$20,990"
4,2015 Mercedes-Benz GLK 350,"16,331 mi.","$29,881"
5,2015 Mercedes-Benz GLK 350 4MATIC,"44,813 mi.","$25,888"
6,2010 Mercedes-Benz GLK 350 4MATIC,"77,547 mi.","$14,991"
7,2015 Mercedes-Benz GLK 350 4MATIC,"7,097 mi.","$34,994"
8,2015 Mercedes-Benz GLK 350 4MATIC,"35,317 mi.","$25,583"
9,2013 Mercedes-Benz GLK 350 4MATIC,"42,704 mi.","$21,950"
10,2014 Mercedes-Benz GLK 350,"64,100 mi.","$17,951"
11,2015 Mercedes-Benz GLK350,"40,668 mi.","$27,324"
12,2015 Mercedes-Benz GLK350,"39,238 mi.","$26,656"
13,2010 Mercedes-Benz GLK 350 4MATIC,"53,920 mi.","$16,985"
14,2015 Mercedes-Benz GLK 350,"77,900 mi.","$18,733"
15,2013 Mercedes-Benz GLK 350,"34,571 mi.","$17,995"
16,2014 Mercedes-Benz GLK 350,"35,405 mi.","$19,996"
17,2015 Mercedes-Benz GLK 350,"26,952 mi.","$25,494"
18,2012 Mercedes-Benz GLK 350 4MATIC,"70,651 mi.","$13,886"
19,2012 Mercedes-Benz GLK 350,"71,250 mi.","$15,291"
20,2014 Mercedes-Benz GLK350,"47,458 mi.","$23,750"
21,2013 Mercedes-Benz GLK 350,"80,876 mi.","$14,995"
22,2015 Mercedes-Benz GLK250 BlueTEC,"81,271 mi.","$20,793"
23,2012 Mercedes-Benz GLK 350,"119,417 mi.","$10,995"
24,2015 Mercedes-Benz GLK350,"29,778 mi.","$27,422"
25,2015 Mercedes-Benz GLK350,"35,968 mi.","$25,675"
26,2014 Mercedes-Benz GLK 350 4MATIC,"84,711 mi.","$17,809"
27,2015 Mercedes-Benz GLK 350 4MATIC,"39,449 mi.","$23,521"
28,2015 Mercedes-Benz GLK 350,"27,840 mi.","$24,950"
29,2014 Mercedes-Benz GLK 350 4MATIC,"55,089 mi.","$19,998"
30,2013 Mercedes-Benz GLK 350,"71,174 mi.","$16,777"
31,2011 Mercedes-Benz GLK 350 4MATIC,"74,116 mi.","$15,877"
32,2015 Mercedes-Benz GLK350,"34,643 mi.","$31,900"
33,2015 Mercedes-Benz GLK 350,"34,513 mi.","$30,995"
34,2012 Mercedes-Benz GLK 350 4MATIC,"70,579 mi.","$16,990"
35,2013 Mercedes-Benz GLK 350 4MATIC,"69,725 mi.","$18,939"
