,Name,Mileage,Price
0,2003 Mitsubishi Diamante LS,"63,622 mi.","$4,950"
1,2003 Mitsubishi Diamante LS,"122,047 mi.","$3,495"
2,2004 Mitsubishi Diamante LS,"118,000 mi.","$3,499"
3,2004 Mitsubishi Diamante LS,"139,341 mi.","$3,363"
4,2002 Mitsubishi Diamante LS,"86,530 mi.","$3,277"
5,2001 Mitsubishi Diamante LS,"139,522 mi.","$3,495"
6,2002 Mitsubishi Diamante,"75,700 mi.","$5,995"
7,1998 Mitsubishi Diamante ES,"126,000 mi.","$2,995"
8,2002 Mitsubishi Diamante LS,"85,390 mi.","$4,999"
9,1997 Mitsubishi Diamante LS,"184,000 mi.",$995
10,2001 Mitsubishi Diamante ES,"96,000 mi.","$4,200"
