,Name,Mileage,Price
0,2004 Mitsubishi Endeavor LS,"104,190 mi.","$4,999"
1,2007 Mitsubishi Endeavor SE,"156,207 mi.","$5,991"
2,2007 Mitsubishi Endeavor LS,"124,047 mi.","$5,995"
3,2004 Mitsubishi Endeavor LS,"190,838 mi.","$3,995"
4,2004 Mitsubishi Endeavor XLS,"164,389 mi.","$4,900"
5,2010 Mitsubishi Endeavor LS,"129,494 mi.","$7,999"
6,2010 Mitsubishi Endeavor SE,"100,761 mi.","$9,599"
7,2007 Mitsubishi Endeavor SE,"113,000 mi.","$4,500"
8,2007 Mitsubishi Endeavor LS,"150,949 mi.","$5,291"
9,2004 Mitsubishi Endeavor LS,"158,399 mi.","$3,495"
10,2010 Mitsubishi Endeavor SE,"110,715 mi.","$7,999"
11,2008 Mitsubishi Endeavor LS,"109,386 mi.","$6,997"
12,2006 Mitsubishi Endeavor LS,"70,157 mi.","$9,200"
13,2010 Mitsubishi Endeavor SE,"124,540 mi.","$7,245"
14,2010 Mitsubishi Endeavor SE,"105,571 mi.","$7,500"
15,2011 Mitsubishi Endeavor LS,"74,985 mi.","$8,600"
16,2004 Mitsubishi Endeavor LS,"106,008 mi.","$5,455"
17,2006 Mitsubishi Endeavor LS,"174,971 mi.","$4,722"
18,2008 Mitsubishi Endeavor SE,"84,968 mi.","$8,000"
19,2011 Mitsubishi Endeavor LS AWD,"97,486 mi.","$7,885"
20,2004 Mitsubishi Endeavor XLS,"173,328 mi.","$4,760"
21,2011 Mitsubishi Endeavor SE,"86,674 mi.","$11,295"
22,2007 Mitsubishi Endeavor LS,"131,971 mi.","$3,750"
23,2011 Mitsubishi Endeavor LS,"67,027 mi.","$8,495"
24,2011 Mitsubishi Endeavor LS,"158,987 mi.","$4,750"
25,2011 Mitsubishi Endeavor LS,"98,098 mi.","$7,497"
26,2006 Mitsubishi Endeavor LS,"81,785 mi.","$6,995"
27,2008 Mitsubishi Endeavor LS,"186,181 mi.","$3,750"
28,2011 Mitsubishi Endeavor LS,"116,769 mi.","$10,995"
29,2010 Mitsubishi Endeavor SE,"154,550 mi.","$5,900"
30,2008 Mitsubishi Endeavor SE,"123,673 mi.","$5,795"
31,2006 Mitsubishi Endeavor LS,"162,672 mi.","$3,995"
32,2011 Mitsubishi Endeavor LS,"117,000 mi.","$7,995"
33,2004 Mitsubishi Endeavor XLS,"97,086 mi.","$8,988"
34,2008 Mitsubishi Endeavor LS,"118,001 mi.","$5,995"
35,2010 Mitsubishi Endeavor SE,"118,524 mi.","$6,199"
36,2008 Mitsubishi Endeavor SE,"90,852 mi.","$10,495"
37,2011 Mitsubishi Endeavor LS,"83,909 mi.","$6,950"
38,2008 Mitsubishi Endeavor LS,"79,835 mi.","$8,995"
39,2008 Mitsubishi Endeavor SE,"102,518 mi.","$5,995"
40,2005 Mitsubishi Endeavor Limited,"128,098 mi.","$5,779"
41,2008 Mitsubishi Endeavor LS,"176,975 mi.","$4,980"
42,2006 Mitsubishi Endeavor Limited,"102,123 mi.","$6,900"
43,2011 Mitsubishi Endeavor LS,"91,729 mi.","$8,800"
44,2006 Mitsubishi Endeavor Limited,"153,108 mi.","$4,900"
45,2011 Mitsubishi Endeavor LS,"95,000 mi.","$4,550"
46,2011 Mitsubishi Endeavor LS,"90,810 mi.","$9,695"
47,2011 Mitsubishi Endeavor LS,"118,221 mi.","$7,495"
48,2008 Mitsubishi Endeavor SE,"155,163 mi.","$5,995"
49,2004 Mitsubishi Endeavor XLS,"155,256 mi.","$3,990"
50,2007 Mitsubishi Endeavor LS,"173,380 mi.","$2,995"
51,2005 Mitsubishi Endeavor LS,"172,896 mi.","$3,500"
52,2011 Mitsubishi Endeavor LS,"99,218 mi.","$7,995"
53,2011 Mitsubishi Endeavor LS,"121,682 mi.","$6,196"
54,2010 Mitsubishi Endeavor LS AWD 4dr SUV,"105,040 mi.","$5,995"
55,2004 Mitsubishi Endeavor XLS,"186,944 mi.","$3,995"
56,2004 Mitsubishi Endeavor XLS,"101,380 mi.","$3,495"
57,2004 Mitsubishi Endeavor XLS,"240,825 mi.","$3,150"
58,2008 Mitsubishi Endeavor SE,"72,664 mi.","$8,495"
59,2010 Mitsubishi Endeavor LS,"127,253 mi.","$4,999"
60,2011 Mitsubishi Endeavor SE,"153,420 mi.","$6,900"
61,2011 Mitsubishi Endeavor SE,"90,691 mi.","$8,999"
62,2008 Mitsubishi Endeavor LS,"166,495 mi.","$4,499"
63,2008 Mitsubishi Endeavor LS,"137,000 mi.","$6,495"
64,2006 Mitsubishi Endeavor LS,"191,032 mi.","$3,299"
65,2005 Mitsubishi Endeavor XLS,"146,845 mi.","$2,955"
66,2008 Mitsubishi Endeavor Limited,"148,100 mi.","$3,995"
67,2005 Mitsubishi Endeavor Limited,"98,433 mi.","$6,699"
68,2005 Mitsubishi Endeavor LS,"135,000 mi.","$2,499"
69,2008 Mitsubishi Endeavor LS,"105,056 mi.","$5,999"
70,2006 Mitsubishi Endeavor LTD,"175,300 mi.","$4,750"
71,2004 Mitsubishi Endeavor XLS,"164,315 mi.","$3,850"
72,2005 Mitsubishi Endeavor LS,"66,790 mi.","$8,950"
73,2011 Mitsubishi Endeavor LS,"145,069 mi.","$5,600"
74,2007 Mitsubishi Endeavor LS,"134,090 mi.","$7,000"
75,2008 Mitsubishi Endeavor LS,"129,000 mi.","$6,495"
76,2007 Mitsubishi Endeavor LS,"103,260 mi.","$4,995"
77,2008 Mitsubishi Endeavor SE,"118,750 mi.","$4,990"
78,2004 Mitsubishi Endeavor LS,"155,456 mi.","$3,998"
79,2006 Mitsubishi Endeavor Limited,"213,332 mi.","$3,995"
80,2008 Mitsubishi Endeavor SE,"139,090 mi.","$6,950"
81,2010 Mitsubishi Endeavor LS,"55,106 mi.","$8,788"
82,2004 Mitsubishi Endeavor XLS,"140,750 mi.",Not Priced
83,2004 Mitsubishi Endeavor LS,"134,035 mi.","$5,499"
84,2008 Mitsubishi Endeavor LS,"211,304 mi.","$5,949"
85,2011 Mitsubishi Endeavor SE,"72,981 mi.","$10,177"
86,2007 Mitsubishi Endeavor LS,"172,935 mi.","$6,999"
87,2011 Mitsubishi Endeavor,"70,897 mi.","$9,975"
88,2007 Mitsubishi Endeavor LS,"92,185 mi.","$5,475"
89,2005 Mitsubishi Endeavor Limited AWD 4dr SUV,"72,953 mi.","$8,995"
90,2006 Mitsubishi Endeavor LS,"108,221 mi.","$4,995"
91,2008 Mitsubishi Endeavor LS,"179,454 mi.","$5,988"
92,2010 Mitsubishi Endeavor LS,"93,744 mi.","$5,991"
93,2005 Mitsubishi Endeavor LS,"153,858 mi.","$3,995"
94,2004 Mitsubishi Endeavor XLS,"177,959 mi.","$3,980"
95,2006 Mitsubishi Endeavor LS,"195,133 mi.","$3,995"
96,2004 Mitsubishi Endeavor Limited,"231,141 mi.","$4,950"
97,2004 Mitsubishi Endeavor XLS,"199,457 mi.","$3,995"
98,2006 Mitsubishi Endeavor LS,"195,133 mi.","$3,995"
99,2008 Mitsubishi Endeavor SE,"133,900 mi.","$4,995"
100,2005 Mitsubishi Endeavor Limited,"65,250 mi.","$8,990"
101,2008 Mitsubishi Endeavor LS,"149,000 mi.","$8,900"
102,2006 Mitsubishi Endeavor LS,"137,352 mi.","$7,250"
103,2005 Mitsubishi Endeavor XLS,"221,111 mi.","$3,950"
104,2006 Mitsubishi Endeavor Limited,"127,498 mi.","$7,495"
105,2004 Mitsubishi Endeavor Limited,"170,000 mi.","$5,990"
106,2005 Mitsubishi Endeavor LS,"199,215 mi.","$6,877"
107,2007 Mitsubishi Endeavor LS,"140,352 mi.","$7,999"
108,2005 Mitsubishi Endeavor LS,"136,368 mi.","$2,995"
109,2008 Mitsubishi Endeavor LS,"153,123 mi.","$6,995"
110,2008 Mitsubishi Endeavor SE,"103,000 mi.","$5,988"
111,2004 Mitsubishi Endeavor LS,"100,786 mi.","$3,995"
112,2004 Mitsubishi Endeavor LS,"186,613 mi.","$2,900"
113,2004 Mitsubishi Endeavor LS,"116,846 mi.","$2,995"
114,2005 Mitsubishi Endeavor Limited,"65,232 mi.","$3,500"
115,2004 Mitsubishi Endeavor LS,"71,274 mi.","$4,499"
116,2007 Mitsubishi Endeavor LS,"154,887 mi.","$2,750"
117,2005 Mitsubishi Endeavor Limited,"195,250 mi.","$5,995"
118,2010 Mitsubishi Endeavor LS,"86,600 mi.","$8,600"
119,2004 Mitsubishi Endeavor LS,"113,000 mi.","$5,000"
120,2011 Mitsubishi Endeavor LS,"163,992 mi.","$5,129"
121,2011 Mitsubishi Endeavor LS,"72,821 mi.","$11,998"
122,2005 Mitsubishi Endeavor LS,"129,760 mi.",Not Priced
123,2006 Mitsubishi Endeavor LS,"113,877 mi.","$5,700"
124,2004 Mitsubishi Endeavor Limited,"210,648 mi.","$1,999"
125,2005 Mitsubishi Endeavor LS,"148,996 mi.","$4,450"
126,2011 Mitsubishi Endeavor LS,"80,698 mi.",Not Priced
127,2011 Mitsubishi Endeavor SE,"90,040 mi.","$8,995"
