,Name,Mileage,Price
0,2014 Mitsubishi Lancer Sportback ES,"76,553 mi.","$8,325"
1,2013 Mitsubishi Lancer Sportback ES,"50,614 mi.","$8,800"
2,2014 Mitsubishi Lancer Sportback ES,"44,381 mi.","$9,999"
3,2012 Mitsubishi Lancer Sportback ES,"69,449 mi.","$7,100"
4,2013 Mitsubishi Lancer Sportback GT,"31,131 mi.","$10,495"
5,2010 Mitsubishi Lancer Sportback Ralliart,"54,593 mi.","$14,598"
6,2013 Mitsubishi Lancer Sportback GT,"52,260 mi.","$11,998"
7,2011 Mitsubishi Lancer Sportback GTS,"91,136 mi.","$6,900"
8,2013 Mitsubishi Lancer Sportback GT,"49,566 mi.","$11,295"
9,2013 Mitsubishi Lancer Sportback ES,"78,374 mi.","$7,495"
10,2010 Mitsubishi Lancer Sportback GTS,"103,099 mi.","$5,977"
11,2004 Mitsubishi Lancer Sportback Ralliart,"222,111 mi.","$1,000"
12,2013 Mitsubishi Lancer Sportback ES,"112,311 mi.","$7,363"
13,2013 Mitsubishi Lancer Sportback GT,"68,428 mi.","$10,991"
14,2011 Mitsubishi Lancer Sportback ES,"36,787 mi.","$7,788"
15,2010 Mitsubishi Lancer Sportback GTS,"92,897 mi.","$8,155"
16,2013 Mitsubishi Lancer Sportback ES,"77,949 mi.","$6,995"
17,2013 Mitsubishi Lancer Sportback ES,"27,885 mi.","$12,995"
18,2013 Mitsubishi Lancer Sportback ES,"108,680 mi.","$6,599"
19,2011 Mitsubishi Lancer Sportback ES,"97,010 mi.","$8,995"
20,2011 Mitsubishi Lancer Sportback ES,"130,967 mi.","$5,999"
21,2010 Mitsubishi Lancer Sportback GTS,"105,758 mi.","$8,900"
22,2011 Mitsubishi Lancer Sportback ES,"77,340 mi.","$4,957"
23,2010 Mitsubishi Lancer Sportback GTS,"155,958 mi.","$4,995"
24,2010 Mitsubishi Lancer Sportback GTS,"131,137 mi.","$7,000"
25,2010 Mitsubishi Lancer Sportback GTS,"74,716 mi.","$8,481"
26,2010 Mitsubishi Lancer Sportback Ralliart,"76,994 mi.","$11,990"
27,2011 Mitsubishi Lancer Sportback ES,"91,311 mi.",Not Priced
