,Name,Mileage,Price
0,1991 Nissan 240SX MITSUOKA LE SEYDE,"29,473 mi.","$17,999"
1,1992 Nissan 240SX LE,"33,596 mi.","$9,900"
2,1994 Nissan 240SX,"89,000 mi.","$5,999"
3,1991 Nissan 240SX,"79,000 mi.","$35,000"
4,1993 Nissan 240SX SE,"50,500 mi.","$25,000"
5,1989 Nissan 240SX SE,"180,000 mi.","$1,000"
6,1990 Nissan 240SX SE,"87,000 mi.","$9,500"
7,1995 Nissan 240SX SE,"105,000 mi.","$14,999"
8,1994 Nissan 240SX,"100,000 mi.","$4,900"
9,1997 Nissan 240SX LE,"111,763 mi.","$9,000"
10,1989 Nissan 240SX,0 mi.,"$3,995"
