,Name,Mileage,Price
0,1991 Nissan 300ZX 2dr Hatchback Coupe Turbo 5-Spd,"88,889 mi.","$19,888"
1,1993 Nissan 300ZX Seats,"236,164 mi.","$8,990"
2,1993 Nissan 300ZX Seats,"131,027 mi.","$7,995"
3,1991 Nissan 300ZX 2dr Hatchback Coupe Turbo 5-Spd,"93,752 mi.","$24,999"
4,1992 Nissan 300ZX 2dr Hatchback Coupe Turbo 5-Spd w/T-Bar,"55,451 mi.","$15,999"
5,1994 Nissan 300ZX 2dr Coupe Turbo Auto w/T-Bar,"135,290 mi.","$15,900"
6,1988 Nissan 300ZX GS,"104,070 mi.","$2,800"
7,1996 Nissan 300ZX Turbo,"63,511 mi.","$28,800"
8,1985 Nissan 300ZX 2dr Coupe 5-Spd,"55,900 mi.","$8,995"
9,1994 Nissan 300ZX,"127,290 mi.","$9,999"
10,1992 Nissan 300ZX 2+2,"35,349 mi.","$19,995"
11,1993 Nissan 300ZX,"97,929 mi.","$6,791"
12,1992 Nissan 300ZX Turbo,"52,506 mi.","$11,995"
13,1990 Nissan 300ZX Turbo 2dr Hatchback,"76,000 mi.","$15,995"
14,1992 Nissan 300ZX Turbo 2dr Hatchback,"19,995 mi.","$17,995"
15,1994 Nissan 300ZX,"152,910 mi.","$4,421"
16,1994 Nissan 300ZX,"73,150 mi.","$8,495"
17,1990 Nissan 300ZX GS 2+2,"33,431 mi.","$18,999"
18,1990 Nissan 300ZX GS,"85,738 mi.","$7,995"
19,1988 Nissan 300ZX GS,"119,767 mi.","$9,900"
20,1991 Nissan 300ZX Turbo,"51,700 mi.","$11,000"
21,1991 Nissan 300ZX Turbo,"74,526 mi.","$18,000"
22,1993 Nissan 300ZX 2+2,"90,686 mi.","$9,293"
23,1991 Nissan 300ZX Turbo,"44,736 mi.","$29,900"
24,1993 Nissan 300ZX Turbo,"113,535 mi.","$13,995"
25,1991 Nissan 300ZX Turbo,"88,888 mi.","$15,999"
26,1991 Nissan 300ZX 2+2,"137,634 mi.","$4,500"
27,1985 Nissan 300ZX 2dr Coupe 5-Spd,"123,213 mi.","$4,995"
28,1985 Nissan 300ZX,"79,401 mi.","$5,999"
29,1990 Nissan 300ZX Turbo,"150,104 mi.","$14,999"
30,1993 Nissan 300ZX 2+2,"127,000 mi.","$2,380"
31,1991 Nissan 300ZX,"93,537 mi.","$9,000"
32,1990 Nissan 300ZX Turbo,"85,500 mi.","$11,000"
33,1993 Nissan 300ZX,"87,000 mi.","$13,500"
34,1995 Nissan 300ZX Turbo,"151,000 mi.","$14,000"
35,1995 Nissan 300ZX Turbo,"79,843 mi.","$23,995"
36,1985 Nissan 300ZX 2+2,"125,178 mi.","$9,500"
37,1989 Nissan 300ZX Turbo,"49,000 mi.","$9,000"
38,1986 Nissan 300ZX 2+2,"89,000 mi.","$5,000"
39,1996 Nissan 300ZX 2+2,"113,485 mi.","$12,500"
40,1985 Nissan 300ZX 2+2,"65,000 mi.","$5,495"
41,1990 Nissan 300ZX Turbo,"80,300 mi.","$12,000"
42,1991 Nissan 300ZX,"101,000 mi.","$6,000"
43,1984 Nissan 300ZX,"120,000 mi.","$3,500"
44,1985 Nissan 300ZX,"197,050 mi.","$3,200"
45,1994 Nissan 300ZX 2+2,"120,000 mi.","$3,900"
46,1987 Nissan 300ZX 2dr Coupe 5-Spd,"205,583 mi.",Not Priced
47,1991 Nissan 300ZX Turbo,"133,000 mi.","$8,950"
48,1991 Nissan 300ZX 2dr Hatchback Coupe Turbo,"56,577 mi.","$29,995"
