,Name,Mileage,Price
0,2004 Nissan 350Z Touring,"71,395 mi.","$9,990"
1,2004 Nissan 350Z Touring,"85,616 mi.","$7,990"
2,2008 Nissan 350Z Enthusiast,"123,995 mi.","$10,998"
3,2004 Nissan 350Z Touring,"112,730 mi.","$7,995"
4,2006 Nissan 350Z,"145,164 mi.","$8,995"
5,2007 Nissan 350Z Touring,"116,316 mi.","$8,888"
6,2009 Nissan 350Z Touring,"89,858 mi.","$7,988"
7,2004 Nissan 350Z Enthusiast,"90,991 mi.","$9,000"
8,2006 Nissan 350Z Touring,"90,994 mi.","$8,990"
9,2008 Nissan 350Z Grand Touring,"83,000 mi.","$11,100"
10,2004 Nissan 350Z Enthusiast,"100,752 mi.","$8,996"
11,2008 Nissan 350Z Enthusiast,"107,531 mi.","$10,859"
12,2005 Nissan 350Z Touring,"111,000 mi.","$8,500"
13,2007 Nissan 350Z Touring,"74,019 mi.","$11,491"
14,2003 Nissan 350Z Touring,"138,973 mi.","$7,995"
15,2004 Nissan 350Z Touring,"71,524 mi.","$10,488"
16,2008 Nissan 350Z Touring,"86,586 mi.","$10,287"
17,2004 Nissan 350Z Enthusiast,"47,619 mi.","$11,811"
18,2006 Nissan 350Z,"104,902 mi.","$9,197"
19,2006 Nissan 350Z Grand Touring,"65,574 mi.","$9,993"
20,2006 Nissan 350Z Grand Touring,"115,460 mi.","$9,999"
21,2006 Nissan 350Z Touring,"28,888 mi.","$14,633"
22,2008 Nissan 350Z Enthusiast,"84,237 mi.","$11,499"
23,2007 Nissan 350Z Touring,"81,857 mi.","$10,999"
24,2007 Nissan 350Z Touring,"26,738 mi.","$13,900"
25,2006 Nissan 350Z Touring,"18,063 mi.","$14,795"
26,2004 Nissan 350Z Touring,"76,719 mi.","$8,999"
27,2006 Nissan 350Z,"118,373 mi.","$8,488"
28,2006 Nissan 350Z Grand Touring,"133,395 mi.","$7,488"
29,2005 Nissan 350Z Touring,"39,601 mi.","$11,495"
30,2006 Nissan 350Z Touring,"109,447 mi.","$7,594"
31,2004 Nissan 350Z Touring,"20,367 mi.","$11,995"
32,2004 Nissan 350Z Touring,"81,968 mi.","$8,991"
33,2008 Nissan 350Z Touring,"100,302 mi.","$9,000"
34,2007 Nissan 350Z Enthusiast,"98,165 mi.","$8,499"
35,2008 Nissan 350Z,"96,915 mi.","$8,499"
36,2008 Nissan 350Z Grand Touring,"93,120 mi.","$10,988"
37,2006 Nissan 350Z,"52,281 mi.","$13,995"
38,2005 Nissan 350Z Touring,"98,104 mi.","$8,995"
39,2005 Nissan 350Z Touring,"112,986 mi.","$7,990"
40,2007 Nissan 350Z Enthusiast,"49,570 mi.","$10,990"
41,2004 Nissan 350Z Touring,"113,407 mi.","$8,497"
42,2004 Nissan 350Z Touring,"55,513 mi.","$10,179"
43,2006 Nissan 350Z Grand Touring,"32,434 mi.","$13,500"
44,2006 Nissan 350Z Touring,"50,859 mi.","$11,519"
