,Name,Mileage,Price
0,2014 Nissan Altima 2.5 S,"88,085 mi.","$9,347"
1,2013 Nissan Altima 2.5 S,"23,042 mi.","$11,995"
2,2018 Nissan Altima 2.5 S,"2,801 mi.","$15,800"
3,2018 Nissan Altima 2.5 S,"2,325 mi.","$15,800"
4,2014 Nissan Altima 2.5 S,"61,164 mi.","$10,899"
5,2013 Nissan Altima 2.5 SV,"78,411 mi.","$8,795"
6,2016 Nissan Altima 2.5 SR,"51,137 mi.","$13,959"
7,2015 Nissan Altima 2.5 S,"57,469 mi.","$11,932"
8,2015 Nissan Altima 2.5,"75,828 mi.","$9,988"
9,2013 Nissan Altima 2.5 SL,"103,880 mi.","$9,596"
10,2015 Nissan Altima 2.5 S,"52,146 mi.","$12,999"
11,2017 Nissan Altima 2.5 SV,"43,700 mi.","$15,984"
12,2010 Nissan Altima 2.5 S,"153,316 mi.","$5,000"
13,2013 Nissan Altima 2.5 S,"76,090 mi.","$8,547"
14,2017 Nissan Altima 2.5 SR,"12,677 mi.","$14,950"
15,2015 Nissan Altima 2.5 S,"51,372 mi.","$11,732"
16,2018 Nissan Altima 2.5 S,"2,407 mi.","$16,966"
17,2017 Nissan Altima 2.5 SV,"3,400 mi.","$17,066"
18,2017 Nissan Altima 2.5 SL,"48,151 mi.","$15,900"
19,2016 Nissan Altima 3.5 SR,"48,956 mi.","$16,990"
20,2015 Nissan Altima 3.5 SL,"23,554 mi.","$19,393"
21,2015 Nissan Altima 2.5 S,"31,004 mi.","$13,312"
22,2018 Nissan Altima 2.5 SR,"7,943 mi.","$18,477"
23,2015 Nissan Altima 2.5 S,"49,288 mi.","$11,500"
24,2015 Nissan Altima 2.5 S,"45,189 mi.","$11,900"
25,2017 Nissan Altima 2.5 SV,"48,371 mi.","$14,464"
26,2015 Nissan Altima 2.5 S,"22,715 mi.","$14,622"
27,2014 Nissan Altima 2.5 SV,"69,080 mi.","$12,991"
28,2017 Nissan Altima 2.5 SV,"46,165 mi.","$13,990"
29,2017 Nissan Altima 3.5 SR,"36,867 mi.","$18,900"
30,2017 Nissan Altima 2.5,"46,050 mi.","$13,999"
31,2013 Nissan Altima 2.5 SL,"149,457 mi.","$7,579"
32,2017 Nissan Altima 2.5 S,"45,026 mi.","$12,840"
33,2017 Nissan Altima 3.5 SL,"53,533 mi.","$15,870"
34,2013 Nissan Altima 2.5 S,"45,977 mi.","$9,599"
35,2015 Nissan Altima 2.5 S,"12,930 mi.","$14,800"
36,2016 Nissan Altima 2.5 SR,"22,250 mi.","$14,874"
37,2016 Nissan Altima 2.5 S,"17,390 mi.","$14,000"
38,2017 Nissan Altima 2.5 S,"10,416 mi.","$15,000"
39,2014 Nissan Altima 2.5 SV,"93,110 mi.","$8,888"
40,"2015 Nissan Altima SPECIAL EDITION,BACKUP CAMERA,PREMIUM ALLOY WHEELS,BLUETOOTH","23,226 mi.","$13,490"
41,2015 Nissan Altima 2.5 SV,"32,778 mi.","$11,999"
42,2016 Nissan Altima 2.5 S,"70,703 mi.","$10,490"
43,2011 Nissan Altima 2.5 S,"92,072 mi.","$8,888"
44,2017 Nissan Altima 2.5 S,"45,898 mi.","$13,592"
45,2014 Nissan Altima 3.5 SL,"81,805 mi.","$13,488"
46,2017 Nissan Altima 2.5 S,"43,338 mi.","$11,775"
47,2015 Nissan Altima 2.5 S,"79,917 mi.","$10,498"
48,2014 Nissan Altima 2.5 S,"76,844 mi.","$10,300"
49,2012 Nissan Altima 2.5 S,"124,784 mi.","$7,988"
50,2015 Nissan Altima 2.5 S,"35,266 mi.","$12,995"
51,2018 Nissan Altima 2.5 SV,"17,370 mi.","$14,893"
52,2013 Nissan Altima 2.5 SV,"92,272 mi.","$9,690"
53,2013 Nissan Altima 2.5 SL,"52,478 mi.","$11,778"
54,2013 Nissan Altima 2.5 SL,"52,478 mi.","$11,778"
55,2015 Nissan Altima 2.5 S,"28,670 mi.","$11,990"
56,2017 Nissan Altima 2.5 SR,"10,387 mi.","$16,888"
57,2014 Nissan Altima 2.5 S,"90,164 mi.","$8,989"
58,2018 Nissan Altima 2.5 S,"6,662 mi.","$16,900"
59,2017 Nissan Altima 2.5 SR,"13,753 mi.","$15,994"
60,2013 Nissan Altima 2.5 SV,"87,803 mi.","$8,997"
61,2017 Nissan Altima 2.5 S,"15,913 mi.","$14,991"
62,2017 Nissan Altima 2.5 S,"28,080 mi.","$11,900"
63,2017 Nissan Altima 2.5 S,"50,959 mi.","$11,424"
64,2016 Nissan Altima 2.5 S,"49,371 mi.","$11,699"
65,2015 Nissan Altima 2.5 S,"53,304 mi.","$11,485"
66,2011 Nissan Altima 2.5 S,"117,169 mi.","$7,000"
67,2017 Nissan Altima 2.5 S,"36,227 mi.","$12,957"
68,2018 Nissan Altima 2.5 SL,"19,640 mi.","$15,599"
69,2015 Nissan Altima 2.5 S,"35,665 mi.","$10,799"
70,2016 Nissan Altima 2.5 SR,"28,121 mi.","$12,745"
71,2017 Nissan Altima 2.5 SR,"26,986 mi.","$16,997"
72,2016 Nissan Altima 2.5 S,"39,545 mi.","$13,880"
73,2015 Nissan Altima 2.5 S,"22,839 mi.","$14,880"
