,Name,Mileage,Price
0,2017 Nissan Armada SV,"47,729 mi.","$24,995"
1,2017 Nissan Armada SV,"41,361 mi.","$25,450"
2,2008 Nissan Armada SE,"79,648 mi.","$11,401"
3,2018 Nissan Armada SV,"40,448 mi.","$26,999"
4,2017 Nissan Armada SV,"44,453 mi.","$24,690"
5,2017 Nissan Armada Platinum,"48,130 mi.","$37,017"
6,2010 Nissan Armada SE,"88,718 mi.","$13,000"
7,2017 Nissan Armada SV,"52,124 mi.","$25,678"
8,2011 Nissan Armada Platinum,"93,874 mi.","$18,791"
9,2017 Nissan Armada SV,"55,078 mi.","$22,593"
10,2017 Nissan Armada SV,"42,404 mi.","$27,819"
11,2013 Nissan Armada SV,"96,770 mi.","$15,995"
12,2017 Nissan Armada SV,"44,288 mi.","$26,998"
13,2018 Nissan Armada SV,"35,855 mi.","$27,339"
14,2018 Nissan Armada SL,"28,067 mi.","$33,463"
15,2018 Nissan Armada SL,"9,517 mi.","$41,999"
16,2018 Nissan Armada SL,"25,796 mi.","$40,000"
17,2018 Nissan Armada SV,"35,992 mi.","$28,733"
18,2018 Nissan Armada SV,"39,982 mi.","$36,995"
19,2018 Nissan Armada SV,"40,948 mi.","$29,333"
20,2017 Nissan Armada Platinum,"13,954 mi.","$44,990"
21,2017 Nissan Armada SV,"47,982 mi.","$26,888"
22,2017 Nissan Armada SV,"46,829 mi.","$24,639"
23,2013 Nissan Armada SV,"127,510 mi.","$12,494"
24,2017 Nissan Armada SV,"49,676 mi.","$23,595"
25,2015 Nissan Armada SL,"52,224 mi.","$24,324"
26,2011 Nissan Armada SL,"120,444 mi.","$12,991"
27,2018 Nissan Armada SV,"36,926 mi.","$27,229"
28,2011 Nissan Armada SV,"108,283 mi.","$13,242"
29,2017 Nissan Armada SV,"17,243 mi.","$29,571"
30,2012 Nissan Armada SL,"98,152 mi.","$15,900"
31,2015 Nissan Armada SV,"30,100 mi.","$18,899"
32,2017 Nissan Armada SV,"44,363 mi.","$25,599"
33,2018 Nissan Armada SV,"23,264 mi.","$29,966"
34,2014 Nissan Armada SV,"122,861 mi.","$14,700"
35,2018 Nissan Armada SV,"35,152 mi.","$29,998"
36,2017 Nissan Armada SV,"44,363 mi.","$25,599"
37,2015 Nissan Armada SV,"30,100 mi.","$18,899"
38,2017 Nissan Armada SV,"46,348 mi.","$24,299"
39,2018 Nissan Armada SV,"43,436 mi.","$30,769"
40,2017 Nissan Armada SL,"27,145 mi.","$37,870"
41,2015 Nissan Armada SV,"28,512 mi.","$30,995"
42,2018 Nissan Armada Platinum,"12,612 mi.","$47,000"
43,2017 Nissan Armada SV,"43,678 mi.","$27,977"
44,2017 Nissan Armada SV,"45,577 mi.","$27,499"
45,2017 Nissan Armada SV,"11,417 mi.","$31,900"
46,2017 Nissan Armada Platinum,"33,876 mi.","$39,690"
47,2018 Nissan Armada SL,"15,159 mi.","$39,995"
48,2018 Nissan Armada SV,"36,955 mi.","$29,975"
49,2018 Nissan Armada Platinum,"10,903 mi.","$44,000"
50,2011 Nissan Armada Platinum,"171,071 mi.","$12,611"
51,2010 Nissan Armada Platinum,"118,707 mi.","$15,697"
52,2015 Nissan Armada SV,"30,100 mi.","$18,899"
53,2017 Nissan Armada SV,"44,363 mi.","$25,599"
54,2018 Nissan Armada SV,"43,451 mi.","$28,000"
55,2017 Nissan Armada SV,"57,672 mi.","$24,999"
