,Name,Mileage,Price
0,2016 Nissan GT-R Black Edition,"24,583 mi.","$69,981"
1,2014 Nissan GT-R Premium,"6,990 mi.","$75,999"
2,2013 Nissan GT-R Black Edition,"30,598 mi.","$67,900"
3,2014 Nissan GT-R Black Edition,"19,751 mi.","$66,200"
4,2017 Nissan GT-R Premium,"7,552 mi.","$90,350"
5,2014 Nissan GT-R Black Edition,"23,407 mi.","$68,999"
6,2009 Nissan GT-R Premium,"39,040 mi.","$79,800"
7,2015 Nissan GT-R Black Edition,"16,434 mi.","$74,996"
8,2009 Nissan GT-R Premium,"14,435 mi.","$54,991"
9,2013 Nissan GT-R Black Edition Coupe 2D,"47,861 mi.","$57,995"
10,2017 Nissan GT-R Premium,"5,182 mi.","$86,000"
11,2009 Nissan GT-R Premium,"7,211 mi.","$75,900"
12,2009 Nissan GT-R Premium,"28,939 mi.","$64,995"
13,2013 Nissan GT-R Premium,"22,931 mi.","$68,988"
14,2010 Nissan GT-R Premium,"33,960 mi.","$58,000"
15,2013 Nissan GT-R Premium,10 mi.,"$99,813"
16,2014 Nissan GT-R Premium,"38,500 mi.","$62,995"
17,2015 Nissan GT-R Premium,"11,331 mi.","$74,900"
18,2013 Nissan GT-R Black Edition,"10,479 mi.","$72,479"
19,2012 Nissan GT-R Black Edition,"37,091 mi.","$63,800"
20,2013 Nissan GT-R Black Edition,"25,327 mi.","$67,900"
21,2015 Nissan GT-R Premium,"17,935 mi.","$67,995"
22,2011 Nissan GT-R Premium,"13,039 mi.","$63,980"
23,2015 Nissan GT-R Premium,"17,040 mi.","$68,900"
24,2014 Nissan GT-R Premium,"13,157 mi.","$66,800"
25,2014 Nissan GT-R Track Edition,"30,115 mi.","$65,509"
26,2016 Nissan GT-R Premium,"22,566 mi.","$69,990"
27,2014 Nissan GT-R Black Edition,"37,995 mi.","$66,468"
28,2016 Nissan GT-R Premium,"34,615 mi.","$72,657"
29,2014 Nissan GT-R Black Edition,"12,899 mi.","$65,855"
30,2010 Nissan GT-R Premium,"36,507 mi.","$57,994"
31,2015 Nissan GT-R Black Edition,"11,862 mi.","$77,900"
32,2013 Nissan GT-R Black Edition,"46,968 mi.","$58,976"
33,2013 Nissan GT-R Premium,"31,172 mi.","$64,990"
34,2017 Nissan GT-R Premium,"21,000 mi.","$84,995"
35,2016 Nissan GT-R NISMO,"10,891 mi.","$142,216"
36,2017 Nissan GT-R Premium,"14,855 mi.","$84,975"
37,2013 Nissan GT-R Premium,"9,510 mi.","$69,978"
38,2010 Nissan GT-R Premium,"53,516 mi.","$54,995"
39,2015 Nissan GT-R Premium,"29,746 mi.","$68,954"
40,2014 Nissan GT-R Track Edition,"15,073 mi.","$69,800"
41,2014 Nissan GT-R Track Edition,"9,617 mi.","$74,444"
42,2014 Nissan GT-R Premium,"28,813 mi.","$66,995"
43,2016 Nissan GT-R Premium,"8,165 mi.","$72,991"
44,2016 Nissan GT-R NISMO,"10,805 mi.","$129,577"
45,2016 Nissan GT-R Premium,"3,547 mi.","$79,899"
46,2009 Nissan GT-R Premium,"21,000 mi.","$56,995"
47,2009 Nissan GT-R Premium,"24,475 mi.","$61,499"
48,2018 Nissan GT-R Premium,"4,801 mi.","$89,999"
49,2016 Nissan GT-R Premium,"6,522 mi.","$71,990"
50,2010 Nissan GT-R,"80,633 mi.","$46,981"
51,2017 Nissan GT-R Premium,"8,705 mi.","$89,900"
52,2014 Nissan GT-R Black Edition,"51,545 mi.","$64,800"
53,2015 Nissan GT-R NISMO,"6,991 mi.","$108,977"
54,2017 Nissan GT-R NISMO,"6,463 mi.","$148,000"
55,2014 Nissan GT-R Premium,"30,101 mi.","$64,500"
56,2015 Nissan GT-R Premium,"36,723 mi.","$63,999"
57,2009 Nissan GT-R Premium,"14,671 mi.","$60,995"
58,2015 Nissan GT-R Premium,"40,236 mi.","$59,999"
59,2015 Nissan GT-R Premium,"22,447 mi.","$72,711"
60,2016 Nissan GT-R NISMO,"11,176 mi.","$127,490"
61,2016 Nissan GT-R Black Edition,"9,444 mi.","$85,995"
62,2015 Nissan GT-R NISMO,"19,161 mi.","$110,995"
63,2016 Nissan GT-R Premium,"16,081 mi.","$76,996"
64,2010 Nissan GT-R Premium,"8,911 mi.","$53,997"
65,2016 Nissan GT-R Black Edition,"8,455 mi.","$77,998"
66,2015 Nissan GT-R Black Edition,"16,095 mi.","$72,895"
67,2015 Nissan GT-R Premium,"46,184 mi.","$64,996"
68,2017 Nissan GT-R Premium,"14,754 mi.","$84,999"
69,2009 Nissan GT-R Premium,"67,820 mi.","$46,995"
70,2015 Nissan GT-R Premium,"35,470 mi.","$62,750"
71,2013 Nissan GT-R Premium,"25,760 mi.","$66,000"
72,2009 Nissan GT-R Premium,"54,724 mi.","$49,900"
73,2018 Nissan GT-R Premium,"4,700 mi.","$92,932"
74,2011 Nissan GT-R Premium,"25,966 mi.","$71,800"
75,2017 Nissan GT-R NISMO,"4,550 mi.","$139,991"
76,2014 Nissan GT-R Black Edition,"47,649 mi.","$62,999"
77,2015 Nissan GT-R Premium,"28,076 mi.","$69,997"
78,2009 Nissan GT-R Premium,"41,279 mi.","$49,999"
79,2013 Nissan GT-R Premium,"45,036 mi.","$64,990"
80,2014 Nissan GT-R Black Edition,"19,160 mi.","$75,999"
81,2016 Nissan GT-R Premium,"28,546 mi.","$66,999"
82,2010 Nissan GT-R Premium,"19,515 mi.","$59,888"
83,2014 Nissan GT-R Black Edition,"32,127 mi.","$67,991"
84,2010 Nissan GT-R Premium,"70,754 mi.","$47,995"
85,2015 Nissan GT-R Black Edition,"14,768 mi.","$71,390"
86,2014 Nissan GT-R Black Edition,"11,765 mi.","$70,999"
87,2015 Nissan GT-R Premium,"49,984 mi.","$63,999"
88,2009 Nissan GT-R Premium,"71,309 mi.","$46,999"
89,2015 Nissan GT-R Premium,"23,647 mi.","$67,995"
90,2018 Nissan GT-R Premium,900 mi.,"$93,991"
91,2010 Nissan GT-R Premium,"42,750 mi.","$51,995"
92,2009 Nissan GT-R Premium,"15,510 mi.","$61,199"
93,2015 Nissan GT-R Premium,"30,996 mi.","$69,999"
94,2015 Nissan GT-R Premium,"30,474 mi.","$67,683"
95,2009 Nissan GT-R Premium,"20,421 mi.","$58,950"
96,2017 Nissan GT-R Premium,"5,882 mi.","$88,999"
97,2011 Nissan GT-R Premium,"33,096 mi.","$49,991"
98,2010 Nissan GT-R Premium,"14,873 mi.","$79,800"
99,2009 Nissan GT-R Premium,"90,125 mi.","$46,995"
100,2014 Nissan GT-R Premium,"31,785 mi.","$64,999"
101,2015 Nissan GT-R Premium,"29,746 mi.","$67,594"
102,2018 Nissan GT-R Premium,"3,289 mi.","$98,999"
103,2009 Nissan GT-R Premium,"50,888 mi.","$59,995"
104,2015 Nissan GT-R Premium,"16,337 mi.","$69,995"
105,2013 Nissan GT-R Black Edition,"35,723 mi.","$68,491"
106,2017 Nissan GT-R Premium,"1,775 mi.","$92,900"
107,2016 Nissan GT-R Premium,"9,210 mi.","$76,320"
108,2018 Nissan GT-R Premium,5 mi.,"$107,000"
109,2010 Nissan GT-R Premium,"21,436 mi.","$54,991"
110,2009 Nissan GT-R Premium,"5,261 mi.","$64,999"
111,2009 Nissan GT-R Premium,"7,550 mi.","$64,500"
112,2010 Nissan GT-R Premium,"13,151 mi.","$57,777"
113,2010 Nissan GT-R Premium,"38,221 mi.","$51,895"
114,2015 Nissan GT-R Premium,"14,080 mi.","$69,995"
115,2009 Nissan GT-R Premium,"36,137 mi.","$139,900"
116,2014 Nissan GT-R Premium,"35,807 mi.","$69,357"
117,2014 Nissan GT-R Premium,"27,041 mi.","$76,998"
118,2016 Nissan GT-R Premium,"20,377 mi.","$74,977"
119,2014 Nissan GT-R Black Edition,"9,985 mi.","$105,000"
120,2017 Nissan GT-R Premium,"13,270 mi.","$87,750"
121,2014 Nissan GT-R Premium,"2,405 mi.","$78,999"
122,2015 Nissan GT-R Premium,"13,740 mi.","$76,999"
123,2015 Nissan GT-R Black Edition,"24,000 mi.","$71,998"
124,2015 Nissan GT-R Premium,"12,700 mi.","$74,900"
125,2014 Nissan GT-R Premium,"8,900 mi.","$69,800"
126,2015 Nissan GT-R Premium,"22,000 mi.","$70,000"
127,2016 Nissan GT-R Black Edition,"4,200 mi.","$74,950"
128,2011 Nissan GT-R Premium,"29,710 mi.","$59,950"
129,2009 Nissan GT-R Premium,"66,000 mi.","$63,000"
130,2014 Nissan GT-R Premium,"45,022 mi.","$85,000"
131,2014 Nissan GT-R Black Edition,"5,400 mi.","$73,999"
132,2016 Nissan GT-R Premium,"36,250 mi.","$61,900"
133,2016 Nissan GT-R Premium,"36,000 mi.","$61,900"
134,2012 Nissan GT-R Black Edition,"9,500 mi.","$62,500"
135,2016 Nissan GT-R Premium,"12,653 mi.","$109,000"
136,2010 Nissan GT-R Premium,"25,000 mi.","$130,000"
137,2012 Nissan GT-R Premium,"37,244 mi.","$69,000"
138,2013 Nissan GT-R Black Edition,"46,000 mi.","$92,500"
139,2015 Nissan GT-R Premium,"21,500 mi.","$69,995"
140,2009 Nissan GT-R Premium,"54,000 mi.","$93,000"
141,2009 Nissan GT-R Premium,"61,000 mi.","$46,500"
142,2009 Nissan GT-R Premium,"30,000 mi.","$55,995"
143,2016 Nissan GT-R Premium,"26,200 mi.","$66,500"
144,2009 Nissan GT-R Premium,"15,731 mi.","$55,000"
145,2015 Nissan GT-R Black Edition,"16,700 mi.","$83,900"
146,2016 Nissan GT-R Premium,"4,541 mi.","$79,500"
147,2014 Nissan GT-R Black Edition,"7,980 mi.","$65,000"
148,2015 Nissan GT-R Premium,"33,900 mi.","$63,500"
149,2009 Nissan GT-R Premium,"28,000 mi.","$52,499"
150,2009 Nissan GT-R Premium,"30,000 mi.","$56,500"
151,2012 Nissan GT-R Black Edition,"14,800 mi.","$67,900"
152,2009 Nissan GT-R Premium,"9,850 mi.","$61,500"
153,2017 Nissan GT-R Premium,"20,000 mi.","$84,999"
154,2014 Nissan GT-R Premium,"51,200 mi.","$56,500"
155,2014 Nissan GT-R Black Edition,"12,500 mi.","$67,000"
156,2014 Nissan GT-R Black Edition,"31,058 mi.","$67,000"
157,2009 Nissan GT-R Premium,"30,000 mi.","$80,000"
158,2010 Nissan GT-R Premium,"33,960 mi.","$58,000"
159,2017 Nissan GT-R Premium,"4,472 mi.",Not Priced
160,2015 Nissan GT-R Black Edition,"18,000 mi.",Not Priced
161,2013 Nissan GT-R Premium,"40,517 mi.","$61,500"
162,2016 Nissan GT-R Premium,"5,427 mi.",Not Priced
163,2015 Nissan GT-R Premium,"31,000 mi.","$67,718"
164,2018 Nissan GT-R Premium,"6,678 mi.","$95,000"
165,2009 Nissan GT-R,"60,508 mi.","$46,000"
166,2013 Nissan GT-R Premium,"49,622 mi.","$60,991"
167,2011 Nissan GT-R Premium,"39,390 mi.","$55,991"
168,2009 Nissan GT-R Premium,"23,361 mi.","$57,999"
169,2010 Nissan GT-R Premium,"28,060 mi.",Not Priced
170,2013 Nissan GT-R Premium,"4,985 mi.",Not Priced
171,2017 Nissan GT-R Premium,"14,000 mi.","$80,980"
172,2013 Nissan GT-R Black Edition,"16,685 mi.",Not Priced
173,2015 Nissan GT-R Premium,"17,293 mi.","$65,999"
174,2010 Nissan GT-R Premium,"48,223 mi.","$53,995"
175,2014 Nissan GT-R Track Edition,"30,635 mi.",Not Priced
176,2015 Nissan GT-R Premium,"21,500 mi.","$69,995"
177,2018 Nissan GT-R Premium,27 mi.,"$95,800"
178,2017 Nissan GT-R Premium,"4,024 mi.","$87,800"
179,2018 Nissan GT-R Pure,"1,039 mi.","$97,900"
180,2009 Nissan GT-R Premium,0 mi.,"$54,999"
