,Name,Mileage,Price
0,2018 Nissan Murano SV,"27,386 mi.","$20,988"
1,2016 Nissan Murano S,"30,449 mi.","$19,478"
2,2015 Nissan Murano Platinum,"17,454 mi.","$25,995"
3,2017 Nissan Murano Platinum,"19,901 mi.","$30,498"
4,2012 Nissan Murano SL,"73,172 mi.","$12,485"
5,2015 Nissan Murano Platinum,"51,607 mi.","$22,498"
6,2017 Nissan Murano S,"5,722 mi.","$21,957"
7,2016 Nissan Murano SV,"33,228 mi.","$20,875"
8,2018 Nissan Murano SL,"17,623 mi.","$28,975"
9,2014 Nissan Murano S,"65,090 mi.","$12,910"
10,2017 Nissan Murano Platinum,"30,401 mi.","$27,995"
11,2017 Nissan Murano SL,"18,627 mi.","$25,709"
12,2016 Nissan Murano Platinum,"40,302 mi.","$25,933"
13,2015 Nissan Murano S,"20,866 mi.","$20,933"
14,2011 Nissan Murano S,"98,965 mi.","$8,988"
15,2015 Nissan Murano SL,"65,566 mi.","$20,381"
16,2015 Nissan Murano SV,"48,620 mi.","$17,991"
17,2018 Nissan Murano SV,"12,966 mi.","$21,999"
18,2018 Nissan Murano SV,"19,032 mi.","$24,000"
19,2010 Nissan Murano SL,"203,262 mi.","$7,900"
20,2009 Nissan Murano SL,"96,185 mi.","$7,994"
21,2018 Nissan Murano SV,"12,966 mi.","$21,999"
22,2017 Nissan Murano Platinum,"55,694 mi.","$28,999"
23,2016 Nissan Murano S,"36,016 mi.","$21,999"
24,2014 Nissan Murano LE,"82,107 mi.","$18,707"
25,2017 Nissan Murano S,"41,380 mi.","$18,437"
26,2013 Nissan Murano LE,"105,745 mi.","$10,656"
27,2017 Nissan Murano SV,"11,618 mi.","$24,800"
28,2016 Nissan Murano SL,"30,639 mi.","$25,823"
29,2016 Nissan Murano S,"19,007 mi.","$19,999"
30,2018 Nissan Murano SV,"26,491 mi.","$21,994"
31,2009 Nissan Murano SL,"95,697 mi.","$8,323"
32,2015 Nissan Murano S,"59,935 mi.","$18,546"
33,2018 Nissan Murano SV,"17,113 mi.","$23,650"
34,2016 Nissan Murano Platinum,"21,290 mi.","$27,746"
35,2018 Nissan Murano SV,"17,130 mi.","$24,895"
36,2017 Nissan Murano SV,"56,873 mi.","$18,577"
37,2017 Nissan Murano Platinum,"19,621 mi.","$29,195"
38,2017 Nissan Murano S,"36,448 mi.","$17,686"
39,2011 Nissan Murano SV,"153,672 mi.","$7,500"
40,2018 Nissan Murano SL,"3,131 mi.","$24,999"
41,2018 Nissan Murano SV,"12,966 mi.","$21,999"
42,2015 Nissan Murano Platinum,"43,597 mi.","$23,418"
43,2018 Nissan Murano SV,"30,586 mi.","$19,995"
44,2010 Nissan Murano SL,"108,660 mi.","$9,900"
45,2018 Nissan Murano S,"4,206 mi.","$24,848"
46,2016 Nissan Murano S,"28,643 mi.","$22,599"
47,2018 Nissan Murano SV,"22,544 mi.","$22,494"
48,2018 Nissan Murano SV,"26,956 mi.","$22,682"
49,2014 Nissan Murano LE,"74,621 mi.","$17,498"
50,2011 Nissan Murano SV,"39,530 mi.","$13,859"
51,2016 Nissan Murano S,"29,032 mi.","$18,699"
52,2018 Nissan Murano SV,"22,959 mi.","$19,999"
53,2010 Nissan Murano S,"70,066 mi.","$8,981"
54,2017 Nissan Murano SL,"13,944 mi.","$26,700"
55,2018 Nissan Murano SV,"29,351 mi.","$25,995"
56,2018 Nissan Murano SV,"26,661 mi.","$23,695"
57,2015 Nissan Murano S,"47,817 mi.","$17,680"
58,2011 Nissan Murano SV,"78,394 mi.","$12,775"
59,2014 Nissan Murano SL,"24,097 mi.","$18,900"
60,2017 Nissan Murano S,"39,474 mi.","$18,878"
61,2012 Nissan Murano S,"106,163 mi.","$9,500"
62,2011 Nissan Murano SV,"89,205 mi.","$10,000"
63,2014 Nissan Murano S,"69,892 mi.","$12,700"
64,2018 Nissan Murano SV,"19,732 mi.","$19,999"
65,2017 Nissan Murano SV,"30,048 mi.","$19,399"
66,2004 Nissan Murano SL,"91,340 mi.","$5,981"
67,2018 Nissan Murano SV,"22,959 mi.","$19,999"
68,2016 Nissan Murano SV,"29,032 mi.","$18,599"
69,2017 Nissan Murano Platinum,"25,820 mi.","$29,995"
70,2013 Nissan Murano S,"59,370 mi.","$14,367"
71,2018 Nissan Murano SV,"12,412 mi.","$24,912"
72,2018 Nissan Murano Platinum,"10,272 mi.","$34,498"
73,2016 Nissan Murano SV,"57,257 mi.","$18,000"
74,2015 Nissan Murano SL,"33,064 mi.","$23,595"
75,2018 Nissan Murano SV,"15,433 mi.","$21,299"
76,2017 Nissan Murano Platinum,"41,000 mi.","$25,800"
77,2016 Nissan Murano S,"49,856 mi.","$19,977"
78,2016 Nissan Murano SL,"18,815 mi.","$25,392"
79,2015 Nissan Murano S,"25,784 mi.","$17,995"
80,2017 Nissan Murano S,"11,417 mi.","$23,999"
81,2016 Nissan Murano SL,"17,897 mi.","$25,990"
82,2010 Nissan Murano SL,"93,992 mi.","$8,700"
83,2018 Nissan Murano SV,"12,966 mi.","$21,999"
84,2015 Nissan Murano S,"30,065 mi.","$17,199"
85,2017 Nissan Murano,"17,938 mi.","$23,950"
86,2015 Nissan Murano SL,"31,831 mi.","$21,881"
87,2018 Nissan Murano SV,"18,303 mi.","$23,086"
88,2018 Nissan Murano SV,"15,145 mi.","$23,988"
89,2012 Nissan Murano S,"43,488 mi.","$11,695"
90,2015 Nissan Murano SV,"83,606 mi.","$15,998"
91,2016 Nissan Murano S,"25,204 mi.","$18,997"
92,2016 Nissan Murano Platinum,"35,498 mi.","$29,950"
93,2015 Nissan Murano SV,"48,190 mi.","$14,973"
94,2015 Nissan Murano SL,"33,019 mi.","$24,673"
95,2015 Nissan Murano SV,"29,736 mi.","$23,853"
96,2015 Nissan Murano S,"31,125 mi.","$20,276"
97,2018 Nissan Murano Platinum,"14,768 mi.","$31,588"
98,2014 Nissan Murano LE,"56,618 mi.","$16,999"
99,2018 Nissan Murano SV,"19,716 mi.","$23,703"
100,2017 Nissan Murano SV,"44,382 mi.","$19,996"
101,2014 Nissan Murano S,"75,887 mi.","$11,000"
102,2012 Nissan Murano S,"92,042 mi.","$10,851"
103,2014 Nissan Murano SL,"74,136 mi.","$14,869"
104,2017 Nissan Murano Platinum,"23,022 mi.","$23,750"
105,2018 Nissan Murano SV,"17,592 mi.","$24,298"
106,2017 Nissan Murano S,"49,886 mi.","$18,477"
107,2018 Nissan Murano SV,"27,070 mi.","$22,000"
108,2016 Nissan Murano SV,"31,833 mi.","$19,889"
109,2018 Nissan Murano Platinum,"16,977 mi.","$32,988"
110,2015 Nissan Murano SV,"67,979 mi.","$18,999"
111,2015 Nissan Murano SL,"65,137 mi.","$19,633"
112,2018 Nissan Murano SV,"19,950 mi.","$24,486"
113,2018 Nissan Murano SV,"19,031 mi.","$24,759"
114,2003 Nissan Murano SE,"215,089 mi.","$2,999"
115,2009 Nissan Murano S,"208,180 mi.","$5,495"
116,2017 Nissan Murano SV,"25,443 mi.","$22,596"
117,2014 Nissan Murano S,"50,298 mi.","$13,156"
118,2017 Nissan Murano S,"22,797 mi.","$22,844"
119,2015 Nissan Murano S,"33,898 mi.","$19,449"
120,2012 Nissan Murano SL,"70,130 mi.","$13,500"
121,2017 Nissan Murano S,"19,448 mi.","$22,446"
122,2018 Nissan Murano SV,"20,257 mi.","$23,000"
123,2014 Nissan Murano SL,"66,522 mi.","$15,935"
124,2016 Nissan Murano SV,"23,808 mi.","$21,888"
125,2016 Nissan Murano S,"18,740 mi.","$18,000"
126,2017 Nissan Murano S,"32,461 mi.","$19,899"
127,2017 Nissan Murano S,"46,987 mi.","$20,008"
128,2012 Nissan Murano LE,"69,265 mi.","$12,250"
129,2007 Nissan Murano SL,"105,066 mi.","$6,990"
130,2017 Nissan Murano SV,"33,327 mi.","$20,490"
131,2014 Nissan Murano SL,"102,196 mi.","$12,498"
132,2016 Nissan Murano S,"52,903 mi.","$21,500"
133,2018 Nissan Murano SV,"24,259 mi.","$19,997"
134,2015 Nissan Murano S,"49,040 mi.","$17,992"
135,2017 Nissan Murano S,"1,195 mi.","$22,995"
136,2015 Nissan Murano S,"46,326 mi.","$20,999"
137,2017 Nissan Murano S,"45,764 mi.","$20,999"
138,2015 Nissan Murano SL,"25,150 mi.","$22,300"
139,2010 Nissan Murano LE,"137,860 mi.","$7,995"
140,2018 Nissan Murano SV,"12,966 mi.","$21,999"
141,2015 Nissan Murano SV,"35,107 mi.","$21,880"
142,2015 Nissan Murano SV,"26,398 mi.","$20,466"
143,2017 Nissan Murano S,"21,784 mi.","$22,599"
144,2018 Nissan Murano SV,"23,415 mi.","$19,999"
145,2018 Nissan Murano SV,"15,838 mi.","$20,999"
146,2018 Nissan Murano SV,"15,750 mi.","$20,999"
147,2016 Nissan Murano S,"44,995 mi.","$17,600"
148,2017 Nissan Murano SV,"43,537 mi.","$20,850"
149,2015 Nissan Murano S,"28,647 mi.","$18,395"
150,2015 Nissan Murano S,"31,061 mi.","$18,395"
151,2018 Nissan Murano SV,"17,632 mi.","$22,441"
152,2016 Nissan Murano SL,"32,606 mi.","$21,776"
153,2015 Nissan Murano S,"48,960 mi.","$16,960"
154,2014 Nissan Murano S,"64,315 mi.","$13,988"
155,2016 Nissan Murano SL,"21,261 mi.","$22,728"
156,2018 Nissan Murano SV,"13,265 mi.","$24,345"
157,2017 Nissan Murano S,"45,317 mi.","$18,975"
158,2007 Nissan Murano SL,"102,239 mi.","$6,631"
159,2013 Nissan Murano SV,"48,571 mi.","$14,700"
160,2018 Nissan Murano SV,"31,545 mi.","$18,999"
161,2016 Nissan Murano SV,"17,185 mi.","$18,738"
162,2018 Nissan Murano SV,"18,615 mi.","$22,615"
163,2013 Nissan Murano SV,"66,644 mi.","$11,663"
164,2017 Nissan Murano SV,"39,601 mi.","$17,798"
165,2016 Nissan Murano SL,"59,820 mi.","$19,991"
166,2014 Nissan Murano S,"51,055 mi.","$13,290"
167,2017 Nissan Murano SV,"35,979 mi.","$18,499"
168,2017 Nissan Murano SV,"41,221 mi.","$18,799"
169,2018 Nissan Murano SV,"23,415 mi.","$19,999"
170,2018 Nissan Murano SV,"15,838 mi.","$20,999"
171,2018 Nissan Murano SV,"15,750 mi.","$20,999"
172,2018 Nissan Murano SL,"14,428 mi.","$26,995"
173,2012 Nissan Murano SV,"51,400 mi.","$13,750"
174,2017 Nissan Murano SV,"20,078 mi.","$22,480"
175,2016 Nissan Murano SL,"42,120 mi.","$21,997"
176,2014 Nissan Murano SV,"52,318 mi.","$14,000"
177,2012 Nissan Murano SV,"100,893 mi.","$10,000"
178,2017 Nissan Murano S,"33,544 mi.","$20,942"
179,2017 Nissan Murano S,"12,013 mi.","$21,798"
180,2018 Nissan Murano SV,"23,420 mi.","$17,999"
181,2018 Nissan Murano SV,"19,871 mi.","$19,999"
182,2017 Nissan Murano SV,"42,111 mi.","$18,699"
183,2017 Nissan Murano S,"13,373 mi.","$23,888"
184,2016 Nissan Murano S,"31,755 mi.","$17,979"
185,2010 Nissan Murano S,"147,762 mi.","$6,698"
186,2017 Nissan Murano S,"14,385 mi.","$22,534"
187,2018 Nissan Murano SV,"12,966 mi.","$21,999"
188,2011 Nissan Murano SL,"90,991 mi.","$9,400"
189,2017 Nissan Murano SV,"44,678 mi.","$18,997"
190,2010 Nissan Murano SL,"129,033 mi.","$7,479"
191,2015 Nissan Murano SV,"31,524 mi.","$18,242"
192,2006 Nissan Murano SL,"132,436 mi.","$4,999"
193,2016 Nissan Murano Platinum,"34,724 mi.","$26,995"
194,2012 Nissan Murano SV,"85,600 mi.","$13,294"
195,2017 Nissan Murano SV,"43,148 mi.","$21,390"
196,2015 Nissan Murano SV,"32,721 mi.","$20,695"
197,2015 Nissan Murano SV,"32,721 mi.","$20,695"
198,2015 Nissan Murano SV,"44,480 mi.","$20,500"
199,2017 Nissan Murano SV,"26,652 mi.","$23,000"
200,2017 Nissan Murano S,"46,479 mi.","$18,633"
201,2014 Nissan Murano S,"68,262 mi.","$12,977"
202,2015 Nissan Murano SL,"36,982 mi.","$19,688"
203,2017 Nissan Murano SV,"39,353 mi.","$19,400"
204,2014 Nissan Murano S,"113,885 mi.","$12,992"
205,2013 Nissan Murano SV,"143,800 mi.","$7,483"
206,2015 Nissan Murano SL,"31,653 mi.","$21,611"
207,2018 Nissan Murano SV,"28,480 mi.","$23,555"
208,2013 Nissan Murano SL,"20,305 mi.","$18,991"
209,2014 Nissan Murano SV,"70,313 mi.","$15,300"
210,2018 Nissan Murano SV,"33,137 mi.","$21,789"
211,2018 Nissan Murano SV,"28,062 mi.","$21,990"
212,2018 Nissan Murano SV,"20,577 mi.","$24,485"
213,2009 Nissan Murano SL,"121,990 mi.","$8,871"
214,2017 Nissan Murano,"26,565 mi.","$20,888"
215,2017 Nissan Murano S,"42,336 mi.","$18,999"
216,2015 Nissan Murano SL,"34,956 mi.","$24,955"
217,2015 Nissan Murano SV,"22,835 mi.","$21,691"
218,2016 Nissan Murano SV,"33,356 mi.","$18,994"
219,2015 Nissan Murano S,"63,465 mi.","$17,200"
220,2015 Nissan Murano SV,"27,696 mi.","$19,686"
221,2014 Nissan Murano SV,"58,669 mi.","$14,500"
222,2004 Nissan Murano SL,"93,970 mi.","$5,491"
223,2017 Nissan Murano S,"39,700 mi.","$18,624"
224,2015 Nissan Murano Platinum,"35,502 mi.","$22,585"
225,2016 Nissan Murano SL,"20,982 mi.","$22,288"
226,2017 Nissan Murano SV,"15,333 mi.","$24,750"
227,2013 Nissan Murano S,"52,395 mi.","$12,999"
228,2014 Nissan Murano LE,"28,617 mi.","$20,000"
229,2017 Nissan Murano SV,"10,458 mi.","$25,470"
230,2015 Nissan Murano S,"48,012 mi.","$18,620"
231,2017 Nissan Murano S,"40,972 mi.","$19,475"
232,2017 Nissan Murano,"46,749 mi.","$19,995"
233,2018 Nissan Murano SV,"27,814 mi.","$23,598"
234,2013 Nissan Murano S,"97,735 mi.","$10,550"
235,2014 Nissan Murano S,"94,157 mi.","$11,800"
236,2012 Nissan Murano SV,"106,250 mi.","$9,774"
237,2012 Nissan Murano SL,"74,184 mi.","$13,900"
238,2017 Nissan Murano SV,"55,612 mi.","$19,572"
239,2012 Nissan Murano SL,"76,653 mi.","$14,489"
240,2012 Nissan Murano S,"113,370 mi.","$10,298"
241,2017 Nissan Murano SL,"8,690 mi.","$28,347"
242,2015 Nissan Murano S,"21,152 mi.","$19,300"
243,2009 Nissan Murano LE,"139,417 mi.","$7,990"
244,2015 Nissan Murano S,"40,005 mi.","$18,495"
245,2007 Nissan Murano SL,"122,885 mi.","$8,850"
246,2017 Nissan Murano SV,"8,986 mi.","$23,965"
247,2016 Nissan Murano S,"34,874 mi.","$19,999"
248,2016 Nissan Murano SV,"31,032 mi.","$23,035"
249,2007 Nissan Murano SL,"185,592 mi.","$4,755"
250,2015 Nissan Murano S,"81,851 mi.","$15,917"
251,2015 Nissan Murano SV,"33,055 mi.","$19,995"
252,2012 Nissan Murano LE,"71,253 mi.","$15,590"
253,2009 Nissan Murano SL,"117,656 mi.","$6,983"
254,2011 Nissan Murano SV,"95,910 mi.","$7,800"
255,2017 Nissan Murano SL,"19,804 mi.","$27,600"
256,2018 Nissan Murano Platinum,"17,433 mi.","$32,938"
257,2017 Nissan Murano S,"15,038 mi.","$22,748"
258,2018 Nissan Murano SV,"6,559 mi.","$24,487"
259,2014 Nissan Murano S,"71,291 mi.","$11,925"
260,2014 Nissan Murano S,"87,086 mi.","$12,000"
261,2014 Nissan Murano S,"53,573 mi.","$13,987"
262,2015 Nissan Murano S,"36,891 mi.","$18,497"
263,2018 Nissan Murano SL,"13,140 mi.","$29,277"
264,2009 Nissan Murano SL,"126,998 mi.","$8,472"
265,2015 Nissan Murano SV,"26,200 mi.","$21,236"
266,2015 Nissan Murano SL,"37,538 mi.","$23,846"
267,2016 Nissan Murano Platinum,"32,737 mi.","$28,450"
268,2012 Nissan Murano SL,"93,649 mi.","$12,970"
269,2018 Nissan Murano SV,"28,044 mi.","$21,800"
270,2018 Nissan Murano SV,"19,171 mi.","$21,893"
271,2016 Nissan Murano SV,"43,089 mi.","$19,500"
272,2017 Nissan Murano SV,"22,900 mi.","$21,989"
273,2016 Nissan Murano SV,"25,333 mi.","$19,900"
274,2015 Nissan Murano S,"17,863 mi.","$19,824"
275,2016 Nissan Murano SL,"47,260 mi.","$19,883"
276,2016 Nissan Murano S,"42,399 mi.","$17,000"
277,2015 Nissan Murano SL,"48,085 mi.","$22,500"
278,2012 Nissan Murano S,"90,870 mi.","$10,890"
279,2015 Nissan Murano Platinum,"33,606 mi.","$24,890"
280,2014 Nissan Murano SL,"54,904 mi.","$15,494"
281,2012 Nissan Murano S,"106,533 mi.","$8,690"
282,2014 Nissan Murano SV,"70,865 mi.","$10,988"
283,2016 Nissan Murano SV,"20,158 mi.","$16,988"
284,2017 Nissan Murano Platinum,"23,554 mi.","$19,978"
285,2012 Nissan Murano S,"84,947 mi.","$9,870"
286,2015 Nissan Murano SV,"65,989 mi.","$19,939"
287,2013 Nissan Murano S,"92,481 mi.","$12,294"
288,2012 Nissan Murano S,"117,673 mi.","$8,399"
