,Name,Mileage,Price
0,2015 Nissan NV Cargo NV2500 HD SV V6/SV V8,"23,688 mi.","$24,999"
1,2017 Nissan NV Cargo NV2500 HD S V6,"20,380 mi.","$23,900"
2,2017 Nissan NV Cargo NV2500 HD S V6,"26,702 mi.","$22,312"
3,2017 Nissan NV Cargo NV2500 HD SL V6,"11,101 mi.","$26,900"
4,2014 Nissan NV Cargo NV2500 HD S V6/S V8,"58,121 mi.","$21,998"
5,2017 Nissan NV Cargo NV2500 HD S V6,"23,718 mi.","$22,987"
6,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"89,973 mi.","$18,988"
7,2015 Nissan NV Cargo NV2500 HD S V6,"61,285 mi.","$16,995"
8,2016 Nissan NV Cargo NV2500 HD S V6,"20,665 mi.","$21,890"
9,2016 Nissan NV Cargo NV2500 HD S V6,"15,384 mi.","$22,000"
10,2017 Nissan NV Cargo NV2500 HD S V6,"17,442 mi.","$21,549"
11,2013 Nissan NV Cargo NV2500 HD S V6,"66,751 mi.","$19,985"
12,2015 Nissan NV Cargo NV2500 HD S V6/S V8,"52,201 mi.","$19,000"
13,2016 Nissan NV Cargo NV2500 HD S V6/S V8,"56,686 mi.","$20,577"
14,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"45,276 mi.","$24,617"
15,2017 Nissan NV Cargo NV2500 HD S V6/S V8,"27,470 mi.","$24,790"
16,2017 Nissan NV Cargo NV2500 HD S V6/S V8,"23,621 mi.","$24,970"
17,2013 Nissan NV Cargo NV2500 HD S V6,"36,921 mi.","$17,995"
18,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"78,409 mi.","$17,976"
19,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"112,076 mi.","$15,288"
20,2015 Nissan NV Cargo NV2500 HD SV V6/SV V8,"78,598 mi.","$21,488"
21,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"133,933 mi.","$16,250"
22,2013 Nissan NV Cargo NV2500 HD S V6,"122,199 mi.","$12,995"
23,2016 Nissan NV Cargo NV2500 HD S V6/S V8,"43,712 mi.","$20,908"
24,2018 Nissan NV Cargo NV2500 HD S V6/S V8,"1,555 mi.","$28,000"
25,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"70,400 mi.","$17,793"
26,2018 Nissan NV Cargo NV2500 HD SV V6,50 mi.,"$31,987"
27,2017 Nissan NV Cargo NV2500 HD S V6,"59,875 mi.","$17,995"
28,2017 Nissan NV Cargo NV2500 HD S V6,"59,875 mi.","$17,995"
29,2018 Nissan NV Cargo NV2500 HD S/SV V6/V8,"8,803 mi.","$28,541"
30,2017 Nissan NV Cargo NV2500 HD SV V6,"90,278 mi.","$22,995"
31,2016 Nissan NV Cargo NV2500 HD S V6/S V8,"147,616 mi.","$13,588"
32,2017 Nissan NV Cargo NV2500 HD S V6,"18,800 mi.","$23,995"
33,2015 Nissan NV Cargo NV2500 HD SL V6/SL V8,"41,505 mi.","$21,545"
34,2018 Nissan NV Cargo NV2500 HD SV V6,"4,602 mi.","$29,891"
35,2013 Nissan NV Cargo NV2500 HD S V6,"34,050 mi.","$17,990"
36,2018 Nissan NV Cargo NV2500 HD S V6,"14,465 mi.","$28,844"
37,2015 Nissan NV Cargo NV2500 HD S V6,"26,842 mi.","$25,995"
38,2017 Nissan NV Cargo NV2500 HD S V6,"34,517 mi.","$21,265"
39,2017 Nissan NV Cargo NV2500 HD S V6,"32,808 mi.","$23,455"
40,2017 Nissan NV Cargo NV2500 HD S V6,"35,794 mi.","$21,995"
41,2017 Nissan NV Cargo NV2500 HD S V6,"41,215 mi.","$23,995"
42,2017 Nissan NV Cargo NV2500 HD S V6,"31,723 mi.","$21,900"
43,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"68,317 mi.","$21,971"
44,2015 Nissan NV Cargo NV2500 HD S V6,"67,632 mi.","$17,500"
45,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"136,253 mi.","$12,900"
46,2015 Nissan NV Cargo NV2500 HD SL V6/SL V8,"22,975 mi.","$23,756"
47,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"106,369 mi.","$16,995"
48,2018 Nissan NV Cargo NV2500 HD SV V6/SV V8,"9,686 mi.","$26,900"
49,2017 Nissan NV Cargo NV2500 HD S/SV V6/V8,"22,215 mi.","$22,522"
50,2017 Nissan NV Cargo NV2500 HD S V6,"35,234 mi.","$20,990"
51,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"31,242 mi.","$25,995"
52,2013 Nissan NV Cargo NV2500 HD S V6,"13,979 mi.","$14,995"
53,2017 Nissan NV Cargo NV2500 HD S V6,"18,812 mi.","$23,995"
54,2017 Nissan NV Cargo NV2500 HD SV V6,"71,741 mi.","$25,866"
55,2017 Nissan NV Cargo NV2500 HD S/SV V6/V8,"40,141 mi.","$20,741"
56,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"4,611 mi.","$25,711"
57,2016 Nissan NV Cargo NV2500 HD SL V6/SL V8,"73,526 mi.","$22,891"
58,2015 Nissan NV Cargo NV2500 HD SV V6/SV V8,"182,082 mi.","$14,995"
59,2017 Nissan NV Cargo NV2500 HD S V6,"28,309 mi.","$23,985"
60,2018 Nissan NV Cargo NV2500 HD SV V6,"5,048 mi.","$31,999"
61,2014 Nissan NV Cargo NV2500 HD S V6,"51,991 mi.","$21,995"
62,2017 Nissan NV Cargo NV2500 HD SV V6,"4,392 mi.","$30,866"
63,2017 Nissan NV Cargo NV2500 HD S/SV V6/V8,"21,054 mi.","$21,788"
64,2014 Nissan NV Cargo NV2500 HD S V6,"71,388 mi.","$17,999"
65,2014 Nissan NV Cargo NV2500 HD S V6,"78,387 mi.","$16,900"
66,2014 Nissan NV Cargo NV2500 HD S V6,"61,061 mi.","$18,999"
67,2017 Nissan NV Cargo NV2500 HD S V6,"26,524 mi.","$23,495"
68,2017 Nissan NV Cargo NV2500 HD SV V6,"142,010 mi.","$16,995"
69,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"8,000 mi.","$27,950"
70,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"2,942 mi.","$27,950"
71,2015 Nissan NV Cargo NV2500 HD S V6,"82,823 mi.","$16,000"
72,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"79,930 mi.","$21,995"
73,2015 Nissan NV Cargo NV2500 HD S V6,"102,183 mi.","$14,750"
74,2015 Nissan NV Cargo NV2500 HD S V6,"99,356 mi.","$16,000"
75,2016 Nissan NV Cargo NV2500 HD S V6,"126,437 mi.","$15,995"
76,2015 Nissan NV Cargo NV2500 HD S V6,"94,304 mi.","$16,400"
77,2013 Nissan NV Cargo NV2500 HD SV V8,"76,990 mi.","$14,900"
78,2016 Nissan NV Cargo NV2500 HD S V6,"46,662 mi.","$17,988"
79,2017 Nissan NV Cargo NV2500 HD SV V6,"18,143 mi.","$21,990"
80,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"4,433 mi.","$32,961"
81,2015 Nissan NV Cargo NV2500 HD S V6/S V8,"28,507 mi.","$25,895"
82,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"102,684 mi.","$16,888"
83,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"15,852 mi.","$29,999"
84,2014 Nissan NV Cargo NV2500 HD S V6,"118,390 mi.","$18,875"
85,2017 Nissan NV Cargo NV2500 HD S V6,"2,613 mi.","$26,495"
86,2017 Nissan NV Cargo NV2500 HD S V6,"35,295 mi.","$23,995"
87,2017 Nissan NV Cargo NV2500 HD S V6/S V8,"17,910 mi.","$23,899"
88,2018 Nissan NV Cargo NV2500 HD SV V6,"4,558 mi.","$26,349"
89,2013 Nissan NV Cargo NV2500 HD S V6,"135,266 mi.","$14,000"
90,2017 Nissan NV Cargo NV2500 HD S V6,"33,104 mi.","$24,999"
91,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"19,655 mi.","$7,795"
92,2014 Nissan NV Cargo NV2500 HD SV V6/SV V8,"71,000 mi.","$7,795"
93,2017 Nissan NV Cargo NV2500 HD S V6,"11,919 mi.","$24,772"
94,2018 Nissan NV Cargo NV2500 HD SV V6,262 mi.,"$28,895"
95,2018 Nissan NV Cargo NV2500 HD S V6,"14,493 mi.","$26,295"
96,2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,"19,491 mi.","$29,974"
97,2017 Nissan NV Cargo NV2500 HD S V6,665 mi.,"$28,995"
98,2016 Nissan NV Cargo NV2500 HD S V6,"14,995 mi.","$22,652"
99,2016 Nissan NV Cargo NV2500 HD S V6/S V8,"40,985 mi.",Not Priced
100,2014 Nissan NV Cargo NV2500 HD S V6/S V8,"88,364 mi.","$14,998"
101,2018 Nissan NV Cargo NV2500 HD S/SV V6/V8,19 mi.,"$28,490"
102,2017 Nissan NV Cargo NV2500 HD SV V6/SV V8,"1,609 mi.","$29,990"
103,2018 Nissan NV Cargo NV2500 HD SV V6,"5,331 mi.","$26,977"
