,Name,Mileage,Price
0,2017 Nissan Quest SV,"51,378 mi.","$15,954"
1,2017 Nissan Quest SV,"34,541 mi.","$16,952"
2,2015 Nissan Quest S,"48,135 mi.","$14,500"
3,2015 Nissan Quest S,"45,989 mi.","$15,488"
4,2012 Nissan Quest SV,"78,950 mi.","$9,995"
5,2016 Nissan Quest SV,"37,383 mi.","$13,849"
6,2017 Nissan Quest SV,"34,764 mi.","$14,999"
7,2012 Nissan Quest SV,"65,160 mi.","$10,997"
8,2015 Nissan Quest S,"34,599 mi.","$15,992"
9,2016 Nissan Quest SV,"38,857 mi.","$16,998"
10,2017 Nissan Quest SV,"32,107 mi.","$17,998"
11,2016 Nissan Quest SV,"37,854 mi.","$14,250"
12,2016 Nissan Quest SV,"40,876 mi.","$13,000"
13,2017 Nissan Quest SV,"46,472 mi.","$13,995"
14,2017 Nissan Quest SV,"47,101 mi.","$13,995"
15,2014 Nissan Quest S,"115,605 mi.","$12,333"
16,2013 Nissan Quest SV,"78,683 mi.","$12,999"
17,2017 Nissan Quest SV,"44,438 mi.","$14,790"
18,2014 Nissan Quest LE,"51,920 mi.","$16,912"
19,2017 Nissan Quest SV,"46,799 mi.","$14,294"
20,2015 Nissan Quest SL,"13,598 mi.","$23,998"
21,2015 Nissan Quest SV,"39,300 mi.","$13,999"
22,2017 Nissan Quest SV,"41,666 mi.","$17,998"
23,2015 Nissan Quest SV,"55,524 mi.","$14,500"
24,2013 Nissan Quest SV,"62,489 mi.","$14,986"
25,2016 Nissan Quest SL,"33,215 mi.","$22,969"
26,2017 Nissan Quest SV,"49,176 mi.","$17,450"
27,2015 Nissan Quest SV,"56,923 mi.","$13,400"
28,2008 Nissan Quest 3.5 SE,"81,269 mi.","$7,650"
29,2012 Nissan Quest SL,"56,423 mi.","$11,650"
30,2015 Nissan Quest SV,"42,873 mi.","$16,514"
31,2015 Nissan Quest SL,"58,613 mi.","$19,818"
32,2017 Nissan Quest SV,"48,137 mi.","$17,625"
33,2017 Nissan Quest SV,"45,226 mi.","$17,926"
34,2014 Nissan Quest S,"45,670 mi.","$14,975"
35,2012 Nissan Quest SV,"82,815 mi.","$11,982"
36,2012 Nissan Quest SV,"74,445 mi.","$11,950"
37,2011 Nissan Quest SV,"111,821 mi.","$9,999"
38,2011 Nissan Quest SL,"94,993 mi.","$11,990"
39,2015 Nissan Quest SV,"37,467 mi.","$17,880"
40,2012 Nissan Quest SL,"109,937 mi.","$12,397"
41,2015 Nissan Quest SV,"39,300 mi.","$13,999"
42,2017 Nissan Quest SV,"43,419 mi.","$16,900"
43,2017 Nissan Quest SV,"45,269 mi.","$15,900"
44,2012 Nissan Quest S,"96,858 mi.","$9,597"
45,2009 Nissan Quest 3.5 S,"78,605 mi.","$6,999"
46,2015 Nissan Quest S,"54,050 mi.","$16,499"
47,2012 Nissan Quest S,"95,476 mi.","$10,485"
48,2011 Nissan Quest LE,"131,349 mi.","$9,999"
49,2012 Nissan Quest S,"126,018 mi.","$8,988"
50,2013 Nissan Quest SV,"139,906 mi.","$8,984"
51,2017 Nissan Quest SV,"47,729 mi.","$15,000"
52,2017 Nissan Quest SV,"52,999 mi.","$14,902"
53,2017 Nissan Quest SV,"46,633 mi.","$14,800"
54,2009 Nissan Quest 3.5,"94,524 mi.","$6,308"
55,2015 Nissan Quest SV,"44,359 mi.","$15,773"
56,2015 Nissan Quest S,"67,768 mi.","$12,995"
57,2016 Nissan Quest S,"51,604 mi.","$13,100"
58,2015 Nissan Quest SL,"33,545 mi.","$20,895"
59,2017 Nissan Quest SV,"46,107 mi.","$13,987"
60,2017 Nissan Quest SV,"45,959 mi.","$13,687"
61,2012 Nissan Quest S,"89,224 mi.","$9,300"
62,2016 Nissan Quest SV,"75,348 mi.","$9,900"
63,2014 Nissan Quest S,"82,327 mi.","$10,900"
64,2017 Nissan Quest SV,"42,705 mi.","$13,999"
65,2011 Nissan Quest SV,"151,321 mi.","$8,483"
66,2013 Nissan Quest LE,"101,060 mi.","$11,999"
67,2013 Nissan Quest SV,"103,779 mi.","$9,750"
68,2015 Nissan Quest S,"46,423 mi.","$13,480"
