,Name,Mileage,Price
0,2017 Nissan Titan XD PRO-4X,"33,963 mi.","$37,999"
1,2017 Nissan Titan XD PRO-4X,"5,379 mi.","$33,995"
2,2017 Nissan Titan XD SV,"35,716 mi.","$29,000"
3,2016 Nissan Titan XD S,"25,439 mi.","$27,995"
4,2016 Nissan Titan XD Platinum Reserve,"18,044 mi.","$38,900"
5,2016 Nissan Titan XD SV,"80,502 mi.","$27,608"
6,2017 Nissan Titan XD SV,"19,235 mi.","$33,578"
7,2017 Nissan Titan XD Platinum Reserve,"16,595 mi.","$38,348"
8,2017 Nissan Titan XD PRO-4X,"30,310 mi.","$37,995"
9,2016 Nissan Titan XD Platinum Reserve,"38,658 mi.","$37,531"
10,2017 Nissan Titan XD PRO-4X,"11,016 mi.","$40,054"
11,2017 Nissan Titan XD Platinum Reserve,"17,673 mi.","$44,982"
12,2016 Nissan Titan XD SV,"82,377 mi.","$28,999"
13,2017 Nissan Titan XD SV,"23,651 mi.","$33,894"
14,2017 Nissan Titan XD SL,"27,651 mi.","$33,998"
15,2016 Nissan Titan XD SV,"24,058 mi.","$28,100"
16,2016 Nissan Titan XD Platinum Reserve,"57,805 mi.","$32,789"
17,2016 Nissan Titan XD SV,"26,193 mi.","$28,998"
18,2017 Nissan Titan XD S,"18,971 mi.","$25,999"
19,2017 Nissan Titan XD SV,"9,271 mi.","$30,499"
20,2016 Nissan Titan XD SL,"25,508 mi.","$29,000"
21,2017 Nissan Titan XD SV,"15,228 mi.","$25,977"
22,2017 Nissan Titan XD S,"14,037 mi.","$28,931"
23,2017 Nissan Titan XD SV,"13,556 mi.","$36,498"
24,2016 Nissan Titan XD SV,"30,147 mi.","$27,345"
25,2018 Nissan Titan XD PRO-4X,"6,217 mi.","$37,225"
26,2016 Nissan Titan XD SV,"35,569 mi.","$28,777"
27,2017 Nissan Titan XD S,"18,971 mi.","$25,999"
28,2017 Nissan Titan XD SV,"9,271 mi.","$30,499"
29,2017 Nissan Titan XD SV,"14,406 mi.","$31,000"
30,2016 Nissan Titan XD PRO-4X,"38,629 mi.","$36,998"
31,2017 Nissan Titan XD Platinum Reserve,"32,392 mi.","$40,998"
32,2017 Nissan Titan XD S,"29,166 mi.","$24,995"
33,2017 Nissan Titan XD SV,"12,498 mi.","$27,900"
34,2017 Nissan Titan XD SV,"31,162 mi.","$33,000"
35,2016 Nissan Titan XD PRO-4X,"70,827 mi.","$31,466"
36,2017 Nissan Titan XD PRO-4X,"29,004 mi.","$36,499"
37,2017 Nissan Titan XD SV,"5,350 mi.","$26,998"
38,2016 Nissan Titan XD SL,"25,478 mi.","$33,998"
39,2017 Nissan Titan XD SL,"13,258 mi.","$38,991"
40,2018 Nissan Titan XD SV,"4,096 mi.","$42,825"
41,2017 Nissan Titan XD SV,"19,323 mi.","$35,588"
42,2017 Nissan Titan XD SV,"6,654 mi.","$24,000"
43,2016 Nissan Titan XD Platinum Reserve,"38,545 mi.","$31,999"
44,2017 Nissan Titan XD SV,"18,875 mi.","$25,432"
45,2017 Nissan Titan XD S,"18,971 mi.","$25,999"
46,2017 Nissan Titan XD SV,"9,271 mi.","$30,499"
47,2017 Nissan Titan XD SV,"2,215 mi.","$24,497"
48,2017 Nissan Titan XD SV,"19,689 mi.","$29,495"
49,2016 Nissan Titan XD Platinum Reserve,"54,791 mi.","$30,494"
