,Name,Mileage,Price
0,2017 Nissan Titan SV,"18,726 mi.","$26,978"
1,2014 Nissan Titan PRO-4X,"23,391 mi.","$26,995"
2,2014 Nissan Titan SV,"23,563 mi.","$22,995"
3,2017 Nissan Titan SV,"30,920 mi.","$27,983"
4,2014 Nissan Titan SV,"80,569 mi.","$18,100"
5,2012 Nissan Titan SL,"42,643 mi.","$22,995"
6,2018 Nissan Titan SV,"7,904 mi.","$29,800"
7,2017 Nissan Titan PRO-4X,"18,751 mi.","$35,313"
8,2013 Nissan Titan PRO-4X,"56,319 mi.","$27,998"
9,2015 Nissan Titan SV,"62,415 mi.","$18,333"
10,2015 Nissan Titan SV,"69,460 mi.","$20,493"
11,2004 Nissan Titan SE King Cab,"96,554 mi.","$7,995"
12,2007 Nissan Titan XE Crew Cab,"81,490 mi.","$13,988"
13,2014 Nissan Titan SV,"34,621 mi.","$23,000"
14,2017 Nissan Titan SV,"32,019 mi.","$24,985"
15,2017 Nissan Titan SL,"47,413 mi.","$27,994"
16,2014 Nissan Titan PRO-4X,"39,266 mi.","$27,991"
17,2014 Nissan Titan SV,"62,629 mi.","$22,450"
18,2012 Nissan Titan SV,"103,327 mi.","$15,950"
19,2017 Nissan Titan SV,"41,061 mi.","$25,494"
20,2018 Nissan Titan SV,"5,931 mi.","$29,998"
21,2012 Nissan Titan SV,"86,749 mi.","$19,900"
22,2017 Nissan Titan S,"8,980 mi.","$21,999"
23,2011 Nissan Titan Pro-4X,"94,175 mi.","$17,744"
24,2017 Nissan Titan SV,"10,801 mi.","$28,998"
25,2014 Nissan Titan SL,"58,073 mi.","$25,995"
26,2012 Nissan Titan SV,"71,303 mi.","$18,225"
27,2017 Nissan Titan PRO-4X,"26,966 mi.","$32,999"
28,2018 Nissan Titan S,"4,342 mi.","$27,999"
29,2012 Nissan Titan SV,"68,018 mi.","$19,888"
30,2017 Nissan Titan SV,"17,438 mi.","$26,034"
31,2018 Nissan Titan S,"19,441 mi.","$28,292"
32,2008 Nissan Titan XE Crew Cab,"108,508 mi.","$8,675"
33,2017 Nissan Titan SV,"31,840 mi.","$26,290"
34,2018 Nissan Titan PRO-4X,"1,468 mi.","$34,997"
35,2018 Nissan Titan SV,424 mi.,"$34,997"
36,2018 Nissan Titan SV,"20,674 mi.","$26,997"
37,2018 Nissan Titan SV,"19,370 mi.","$28,497"
38,2015 Nissan Titan PRO-4X,"39,476 mi.","$24,977"
39,2018 Nissan Titan SV,"13,386 mi.","$28,300"
40,2012 Nissan Titan SL,"32,434 mi.","$24,999"
