,Name,Mileage,Price
0,2015 Nissan SV,"33,391 mi.","$19,088"
1,2015 Nissan PRO-4X,"30,294 mi.","$30,995"
2,2017 Nissan S,"8,283 mi.","$25,998"
3,2017 Nissan S,"23,122 mi.","$21,900"
4,2016 Nissan S,"39,531 mi.","$21,188"
5,2018 Nissan SV V6,"15,256 mi.","$23,995"
6,2018 Nissan SV V6,"12,751 mi.","$23,995"
7,2017 Nissan SV,"11,603 mi.","$26,787"
8,1989 Nissan Special,"109,000 mi.",Not Priced
9,2018 Nissan SV V6,"17,490 mi.","$20,899"
10,2018 Nissan SV V6,"12,931 mi.","$21,799"
11,2018 Nissan SV V6,"11,837 mi.","$19,699"
12,2018 Nissan PRO-4X,"19,623 mi.","$23,999"
13,2013 Nissan SV V6/SV V8,"83,276 mi.","$16,483"
14,2017 Nissan SL,"29,201 mi.","$34,501"
15,2016 Nissan S,"7,385 mi.","$27,899"
16,2012 Nissan S,"56,167 mi.","$14,588"
17,2018 Nissan PRO-4X,"23,550 mi.","$23,999"
18,2018 Nissan SV V6,"15,462 mi.","$21,999"
19,2017 Nissan 2500 S,"22,795 mi.","$21,995"
20,2012 Nissan S,"77,238 mi.","$14,999"
21,2016 Nissan SV,"37,541 mi.","$15,533"
22,2017 Nissan SL,"37,936 mi.","$30,681"
23,2016 Nissan S,"14,647 mi.","$26,388"
24,2016 Nissan SV,"119,667 mi.","$17,995"
25,2017 Nissan S,"27,240 mi.","$20,896"
26,2012 Nissan S,"105,548 mi.","$15,499"
27,2013 Nissan SV V6/SV V8,"105,944 mi.","$14,999"
28,2017 Nissan SL,"28,010 mi.","$35,170"
29,2015 Nissan SV,"89,335 mi.","$21,590"
30,2016 Nissan SV,"40,838 mi.","$17,911"
31,2018 Nissan SV,"36,954 mi.","$20,800"
32,2016 Nissan SV,"26,816 mi.","$18,500"
33,2014 Nissan S,"45,943 mi.","$16,099"
34,2016 Nissan S,"60,962 mi.","$23,495"
35,2017 Nissan S,"5,599 mi.","$21,894"
36,2017 Nissan SL,"11,008 mi.","$32,000"
37,2017 Nissan SV,"17,242 mi.","$30,597"
38,2016 Nissan SL,"42,285 mi.","$30,235"
39,2017 Nissan S,"46,187 mi.","$20,405"
40,2018 Nissan SV,"8,004 mi.","$31,872"
41,2012 Nissan SV,"121,858 mi.","$13,995"
42,2012 Nissan SV,"110,567 mi.","$14,500"
43,2017 Nissan S,"52,799 mi.","$23,500"
44,2013 Nissan S V6/S V8,"151,410 mi.","$11,988"
45,2012 Nissan SV V6,"105,850 mi.","$15,500"
46,2017 Nissan S,"60,042 mi.","$18,781"
47,2012 Nissan S,"170,575 mi.","$16,500"
48,2016 Nissan SV,"9,068 mi.","$27,998"
49,2012 Nissan S,"93,287 mi.","$13,990"
50,2013 Nissan SV V6/SV V8,"77,362 mi.","$18,495"
51,2015 Nissan SV,"34,803 mi.","$16,500"
52,2013 Nissan SV V6/SV V8,"131,173 mi.","$13,177"
53,2016 Nissan S,"38,426 mi.","$15,999"
54,1996 Nissan XE/SE,"140,000 mi.","$4,995"
55,2014 Nissan SV,"78,752 mi.","$17,990"
56,2017 Nissan S,"1,091 mi.","$30,891"
57,2017 Nissan SV,"16,786 mi.","$23,990"
58,2013 Nissan S V6/S V8,"73,737 mi.","$14,500"
59,2018 Nissan SV,"20,377 mi.","$31,991"
