,Name,Mileage,Price
0,2018 Porsche 718 Boxster S,"5,471 mi.","$75,969"
1,2018 Porsche 718 Boxster S,"6,781 mi.","$73,969"
2,2018 Porsche 718 Boxster,"3,167 mi.","$58,900"
3,2018 Porsche 718 Boxster S,258 mi.,"$69,881"
4,2018 Porsche 718 Boxster S,"4,264 mi.","$67,986"
5,2017 Porsche 718 Boxster S,"11,083 mi.","$58,200"
6,2017 Porsche 718 Boxster S,"18,963 mi.","$64,989"
7,2017 Porsche 718 Boxster S,"3,981 mi.","$68,993"
8,2017 Porsche 718 Boxster Base,"13,698 mi.","$54,891"
9,2017 Porsche 718 Boxster S,"10,951 mi.","$69,900"
10,2018 Porsche 718 Boxster GTS,"1,850 mi.","$78,500"
11,2017 Porsche 718 Boxster Base,"19,211 mi.","$47,990"
12,2017 Porsche 718 Boxster S,"9,821 mi.","$65,500"
13,2017 Porsche 718 Boxster S,"6,955 mi.","$65,900"
14,2017 Porsche 718 Boxster S,"15,957 mi.","$63,767"
15,2017 Porsche 718 Boxster S,"22,428 mi.","$65,995"
16,2017 Porsche 718 Boxster S,"39,778 mi.","$62,395"
17,2017 Porsche 718 Boxster S,"2,950 mi.","$65,799"
18,2017 Porsche 718 Boxster Base,"7,153 mi.","$50,944"
19,2017 Porsche 718 Boxster Base,"29,895 mi.","$48,995"
20,2017 Porsche 718 Boxster S,"3,447 mi.","$69,999"
21,2017 Porsche 718 Boxster Base,"9,476 mi.","$54,999"
22,2017 Porsche 718 Boxster Base,"3,724 mi.","$54,999"
23,2018 Porsche 718 Boxster Base,"14,406 mi.","$56,999"
24,2018 Porsche 718 Boxster 2DR ROADSTER,"11,357 mi.","$57,900"
25,2017 Porsche 718 Boxster Base,"7,230 mi.","$56,950"
26,2018 Porsche 718 Boxster Base,"9,449 mi.","$58,998"
27,2017 Porsche 718 Boxster S,"14,596 mi.","$59,982"
28,2018 Porsche 718 Boxster S,"1,921 mi.","$78,718"
29,2017 Porsche 718 Boxster S,"8,061 mi.","$60,884"
30,2017 Porsche 718 Boxster Base,"13,026 mi.","$51,977"
31,2018 Porsche 718 Boxster S,"4,342 mi.","$75,990"
32,2018 Porsche 718 Boxster GTS,"4,735 mi.","$84,995"
33,2017 Porsche 718 Boxster S,"2,148 mi.","$68,900"
34,2018 Porsche 718 Boxster GTS,213 mi.,"$82,950"
35,2017 Porsche 718 Boxster S,"6,358 mi.","$64,000"
36,2018 Porsche 718 Boxster S,"7,459 mi.","$74,000"
37,2018 Porsche 718 Boxster Base,361 mi.,"$69,857"
38,2018 Porsche 718 Boxster S,"1,882 mi.","$71,757"
39,2017 Porsche 718 Boxster S,"5,330 mi.","$65,800"
40,2018 Porsche 718 Boxster S,"14,259 mi.","$69,000"
41,2017 Porsche 718 Boxster S,"9,989 mi.","$64,000"
42,2018 Porsche 718 Boxster GTS,"2,550 mi.","$92,995"
43,2018 Porsche 718 Boxster GTS,"5,849 mi.","$82,995"
44,2017 Porsche 718 Boxster S,"10,819 mi.","$62,981"
45,2017 Porsche 718 Boxster S,"3,524 mi.","$65,572"
46,2018 Porsche 718 Boxster Base,635 mi.,"$59,997"
47,2017 Porsche 718 Boxster Base,"10,826 mi.","$50,990"
48,2017 Porsche 718 Boxster S,"7,927 mi.","$61,995"
49,2017 Porsche 718 Boxster Base,"16,793 mi.","$48,749"
50,2018 Porsche 718 Boxster GTS,"1,133 mi.","$87,848"
51,2017 Porsche 718 Boxster Base,"6,743 mi.","$56,950"
52,2018 Porsche 718 Boxster S,"6,080 mi.","$73,729"
53,2018 Porsche 718 Boxster S,"6,504 mi.","$73,626"
54,2018 Porsche 718 Boxster Base,"3,674 mi.","$64,900"
55,2018 Porsche 718 Boxster S,"8,932 mi.","$76,980"
56,2018 Porsche 718 Boxster Base,305 mi.,"$64,341"
57,2017 Porsche 718 Boxster Base,"24,092 mi.","$53,853"
58,2018 Porsche 718 Boxster GTS,"1,362 mi.","$83,900"
59,2018 Porsche 718 Boxster Base,"4,950 mi.","$69,990"
60,2017 Porsche 718 Boxster,"6,956 mi.","$53,854"
61,2017 Porsche 718 Boxster S,"6,552 mi.","$64,200"
62,2017 Porsche 718 Boxster Base,"11,224 mi.","$54,900"
