,Name,Mileage,Price
0,2015 Porsche 918 Spyder w/Weissach Pkg,"2,722 mi.","$1,649,995"
1,2015 Porsche 918 Spyder W/WEISSACH PKG,"10,363 mi.","$1,395,395"
2,2015 Porsche 918 Spyder 2dr Roadster,"1,408 mi.","$1,650,777"
3,2015 Porsche 918 Spyder,"1,316 mi.","$1,488,888"
4,2015 Porsche 918 Spyder W/WEISSACH PKG,869 mi.,"$1,999,950"
5,2015 Porsche 918 Spyder W/WEISSACH PACKAGE,"4,931 mi.","$1,490,000"
6,2015 Porsche 918 Spyder,999 mi.,"$1,485,000"
7,2015 Porsche 918 Spyder w/Weissach Pkg,330 mi.,"$1,749,999"
8,2015 Porsche 918 Spyder w/Weissach Pkg,591 mi.,"$1,999,000"
9,2015 Porsche 918 Spyder,"2,534 mi.","$1,785,000"
10,2015 Porsche 918 Spyder,"4,093 mi.",Not Priced
11,2015 Porsche 918 Spyder,119 mi.,Not Priced
12,2015 Porsche 918 Spyder,595 mi.,Not Priced
13,2015 Porsche 918 Spyder W/WEISSACH PKG,998 mi.,"$1,999,999"
14,2015 Porsche 918 Spyder w/Weissach Pkg,25 mi.,Not Priced
