,Name,Mileage,Price
0,1982 Porsche 928,"39,463 mi.","$30,000"
1,1984 Porsche 928 S,"88,000 mi.","$26,000"
2,1991 Porsche 928 S4,"79,311 mi.","$29,328"
3,1983 Porsche 928,"22,762 mi.","$35,000"
4,1987 Porsche 928 S4,"43,846 mi.","$18,495"
5,1985 Porsche 928 S,"71,459 mi.","$22,971"
6,1986 Porsche 928 S,"97,500 mi.","$16,500"
7,1988 Porsche 928 S4,"150,000 mi.","$14,400"
8,1995 Porsche 928 GTS,"23,483 mi.","$49,000"
9,1987 Porsche 928 S4,"99,586 mi.","$19,900"
10,1987 Porsche 928 S4,"82,000 mi.","$27,500"
11,1989 Porsche 928 S4,"100,450 mi.","$25,500"
12,1988 Porsche 928 S4,"76,000 mi.","$43,500"
13,1990 Porsche 928 S4,"89,900 mi.","$26,928"
14,1986 Porsche 928 S,0 mi.,"$14,888"
15,1986 Porsche 928 S,"86,000 mi.","$20,000"
