,Name,Mileage,Price
0,2005 Porsche Carrera GT 2dr Carrera,"7,847 mi.","$749,991"
1,2004 Porsche Carrera GT,"3,049 mi.","$849,000"
2,2005 Porsche Carrera GT 2dr Carrera,"4,775 mi.","$729,999"
3,2005 Porsche Carrera GT,"4,503 mi.","$730,000"
4,2005 Porsche Carrera GT 2dr Carrera,"2,738 mi.","$899,900"
5,2005 Porsche Carrera GT 2dr Carrera,"4,217 mi.","$729,991"
6,2004 Porsche Carrera GT 2dr Carrera,"6,044 mi.","$779,991"
7,2005 Porsche Carrera GT,"7,890 mi.","$695,000"
8,2007 Porsche Carrera GT,"120,000 mi.","$27,950"
9,2005 Porsche Carrera GT,"6,000 mi.",Not Priced
