,Name,Mileage,Price
0,2016 RAM 2500 SLT,"19,988 mi.","$41,890"
1,2018 RAM 2500 SLT,"16,453 mi.","$44,542"
2,2017 RAM 2500 Longhorn,"37,056 mi.","$53,977"
3,2017 RAM 2500 SLT,"44,949 mi.","$30,388"
4,2016 RAM 2500 Tradesman,"14,479 mi.","$32,995"
5,2017 RAM 2500 Power Wagon,"15,458 mi.","$46,555"
6,2016 RAM 2500 Tradesman,"41,244 mi.","$29,997"
7,2014 RAM 2500 SLT,"25,454 mi.","$43,423"
8,2012 RAM 2500 SLT,"55,125 mi.","$33,995"
9,2012 RAM 2500 SLT,"108,262 mi.","$17,975"
10,2016 RAM 2500 Tradesman,"57,799 mi.","$28,989"
11,2015 RAM 2500 Laramie,"40,925 mi.","$38,900"
12,2012 RAM 2500 SLT,"70,479 mi.","$26,499"
13,2012 RAM 2500 Laramie,"63,926 mi.","$28,677"
14,2012 RAM 2500 Laramie,"86,534 mi.","$37,995"
15,2014 RAM 2500 Tradesman,"95,290 mi.","$20,988"
16,2018 RAM 2500 Tradesman,"12,451 mi.","$36,856"
17,2018 RAM 2500 SLT,"24,386 mi.","$35,994"
18,2017 RAM 2500 Tradesman,"9,898 mi.","$35,998"
19,2013 RAM 2500 Tradesman,"133,590 mi.","$29,888"
20,2016 RAM 2500 Tradesman,"32,583 mi.","$30,000"
21,2014 RAM 2500 Tradesman,"28,216 mi.","$24,200"
22,2012 RAM 2500 Laramie Longhorn,"97,765 mi.","$34,497"
23,2015 RAM 2500 Big Horn,"88,633 mi.","$34,988"
24,2016 RAM 2500 Tradesman,"62,414 mi.","$27,991"
25,2015 RAM 2500 Tradesman,"81,768 mi.","$31,995"
26,2016 RAM 2500 Tradesman,"81,697 mi.","$25,421"
27,2017 RAM 2500 Laramie,"25,177 mi.","$43,995"
28,2016 RAM 2500 Tradesman,"30,330 mi.","$28,885"
29,2015 RAM 2500 SLT,"25,750 mi.","$34,925"
30,2015 RAM 2500 Laramie,"67,261 mi.","$35,225"
31,2016 RAM 2500 Laramie,"71,354 mi.","$34,758"
32,2018 RAM 2500 Laramie,"3,163 mi.","$46,922"
33,2016 RAM 2500 SLT,"33,267 mi.","$43,795"
34,2017 RAM 2500 Tradesman,"58,706 mi.","$32,999"
35,2014 RAM 2500 Big Horn,"95,601 mi.","$25,999"
36,2014 RAM 2500 SLT,"157,112 mi.","$18,255"
37,2014 RAM 2500 Tradesman,"76,274 mi.","$25,000"
38,2016 RAM 2500 Tradesman,"86,843 mi.","$24,896"
39,2016 RAM 2500 SLT,"71,141 mi.","$36,988"
40,2016 RAM 2500 Tradesman,"40,413 mi.","$29,332"
41,2016 RAM 2500 Tradesman,"42,098 mi.","$26,316"
42,2015 RAM 2500 Tradesman,"41,209 mi.","$30,000"
