,Name,Mileage,Price
0,2015 RAM ProMaster 3500 Low Roof,"59,796 mi.","$23,000"
1,2018 RAM ProMaster 3500 High Roof,20 mi.,"$36,900"
2,2016 RAM ProMaster 3500 High Roof,"18,336 mi.","$33,933"
3,2017 RAM ProMaster 3500 High Roof,"3,101 mi.","$33,492"
4,2015 RAM ProMaster 3500 High Roof,"54,750 mi.","$22,899"
5,2017 RAM ProMaster 3500 High Roof,"52,097 mi.","$28,000"
6,2018 RAM ProMaster 3500 High Roof,"11,874 mi.","$33,097"
7,2017 RAM ProMaster 3500 High Roof,"38,179 mi.","$26,788"
8,2016 RAM ProMaster 3500 High Roof,"37,718 mi.","$27,500"
9,2016 RAM ProMaster 3500 High Roof,"70,659 mi.","$24,498"
10,2015 RAM ProMaster 3500 High Roof,"59,631 mi.","$25,677"
11,2018 RAM ProMaster 3500 High Roof,"11,836 mi.","$34,574"
12,2014 RAM ProMaster 3500 Tradesman,"37,723 mi.","$25,995"
13,2015 RAM ProMaster 3500 High Roof,"29,018 mi.","$28,142"
14,2015 RAM ProMaster 3500 High Roof,"152,007 mi.","$15,425"
15,2017 RAM ProMaster 3500 High Roof,509 mi.,"$69,500"
16,2017 RAM ProMaster 3500 High Roof,703 mi.,"$69,950"
17,2015 RAM ProMaster 3500 High Roof,"51,689 mi.","$26,900"
18,2015 RAM ProMaster 3500 High Roof,"65,193 mi.","$25,890"
19,2014 RAM ProMaster 3500 Tradesman,"86,295 mi.","$21,498"
20,2014 RAM ProMaster 3500 Tradesman,"111,522 mi.","$21,950"
21,2018 RAM ProMaster 3500 High Roof,"1,693 mi.","$31,959"
22,2015 RAM ProMaster 3500 High Roof,"64,522 mi.","$28,999"
23,2015 RAM ProMaster 3500 High Roof,"94,219 mi.","$20,999"
24,2015 RAM ProMaster 3500 High Roof,"74,382 mi.","$27,963"
25,2018 RAM ProMaster 3500 High Roof,"15,885 mi.","$30,900"
26,2017 RAM ProMaster 3500 High Roof,"24,529 mi.","$28,990"
27,2014 RAM ProMaster 3500 Tradesman,"43,387 mi.","$26,558"
28,2014 RAM ProMaster 3500 Tradesman,"91,290 mi.","$18,777"
29,2016 RAM ProMaster 3500 High Roof,"42,138 mi.","$27,995"
30,2016 RAM ProMaster 3500 High Roof,"35,165 mi.","$29,888"
31,2018 RAM ProMaster 3500 High Roof,"66,393 mi.","$29,995"
32,2016 RAM ProMaster 3500 High Roof,"63,378 mi.","$29,267"
33,2018 RAM ProMaster 3500 High Roof,"20,364 mi.","$32,305"
34,2015 RAM ProMaster 3500 High Roof,"84,711 mi.","$23,477"
35,2016 RAM ProMaster 3500 High Roof,"42,083 mi.","$31,900"
36,2014 RAM ProMaster 3500 Tradesman,"82,205 mi.","$25,995"
37,2016 RAM ProMaster 3500 High Roof,"67,262 mi.","$28,000"
38,2018 RAM ProMaster 3500 High Roof,"36,629 mi.","$31,900"
39,2019 RAM ProMaster 3500 High Roof,10 mi.,"$43,805"
40,2015 RAM ProMaster 3500 High Roof,"12,900 mi.","$29,995"
41,2015 RAM ProMaster 3500 High Roof,"53,138 mi.","$33,900"
42,2016 RAM ProMaster 3500 High Roof,"46,769 mi.","$24,900"
43,2018 RAM ProMaster 3500 High Roof,"6,048 mi.",Not Priced
44,2018 RAM ProMaster 3500 High Roof,"3,794 mi.",Not Priced
45,2014 RAM ProMaster 3500 Tradesman,"64,855 mi.","$22,430"
46,2015 RAM ProMaster 3500 High Roof,"92,472 mi.","$19,962"
47,2017 RAM ProMaster 3500 High Roof,"56,561 mi.","$30,000"
48,2017 RAM ProMaster 3500 High Roof,"34,694 mi.","$29,777"
49,2015 RAM ProMaster 3500 High Roof,"278,717 mi.","$14,195"
50,2015 RAM ProMaster 3500 High Roof,"58,101 mi.","$26,999"
51,2016 RAM ProMaster 3500 High Roof,0 mi.,"$8,995"
52,2016 RAM ProMaster 3500 High Roof,"125,486 mi.","$22,997"
