,Name,Mileage,Price
0,2010 Saab 9-3 2dr Conv FWD,"57,843 mi.","$9,990"
1,2007 Saab 9-3 2.0T,"90,335 mi.","$5,900"
2,2007 Saab 9-3 2dr Conv Auto,"49,197 mi.","$9,742"
3,2006 Saab 9-3 2dr Conv,"83,788 mi.","$5,999"
4,2005 Saab 9-7X Linear,"79,278 mi.","$6,995"
5,2007 Saab 9-7X I6,"54,708 mi.","$9,989"
6,2000 Saab 9-3 SE,"81,338 mi.","$1,800"
7,2008 Saab 9-3 2dr Conv,"107,405 mi.","$5,995"
8,2007 Saab 9-7X 5.3i,"146,359 mi.","$6,995"
9,2008 Saab 9-3 Aero,"116,332 mi.","$7,700"
10,2010 Saab 9-3 2.0T,"83,710 mi.","$7,694"
11,2010 Saab 9-3 2.0T,"60,794 mi.","$9,999"
12,2011 Saab 9-3 2.0T,"67,427 mi.","$8,999"
13,2008 Saab 9-3 2.0T SportCombi,"83,131 mi.","$5,999"
14,2008 Saab 9-3 Aero,"69,780 mi.","$10,999"
15,2007 Saab 9-3 2dr Conv Auto,"100,100 mi.","$4,700"
16,2010 Saab 9-3X Base,"99,374 mi.","$10,888"
17,2006 Saab 9-3 2.0T,"122,000 mi.","$3,799"
18,2007 Saab 9-3 2.0T,"102,649 mi.","$4,910"
19,2008 Saab 9-3 2dr Conv,"77,084 mi.","$7,989"
20,2011 Saab 9-4X 3.0i Premium,"106,075 mi.","$9,985"
21,2003 Saab 9-3 2.0T,"123,986 mi.","$2,997"
22,2008 Saab 9-3 2.0T,"125,839 mi.","$4,999"
23,2006 Saab 9-3 2.0T,"95,110 mi.","$3,995"
24,2004 Saab 9-3 Arc,"35,031 mi.","$7,995"
25,2007 Saab 9-7X I6,"110,604 mi.","$7,900"
26,2006 Saab 9-3 2.0T,"82,150 mi.","$6,250"
27,2004 Saab 9-3 Arc,"140,272 mi.","$2,741"
28,2008 Saab 9-3 2.0T,"118,135 mi.","$6,499"
29,2005 Saab 9-3 Arc,"162,283 mi.","$4,250"
30,2008 Saab 9-7X 5.3i,"98,211 mi.","$7,995"
31,2005 Saab 9-3 Linear,"146,041 mi.","$3,150"
32,2007 Saab 9-3 2.0T,"79,361 mi.","$5,995"
33,2009 Saab 9-7X 4.2i,"124,592 mi.","$7,995"
34,2009 Saab 9-7X 5.3i,"138,403 mi.","$5,993"
35,2008 Saab 9-7X 4.2i,"143,690 mi.","$5,000"
36,2009 Saab 9-3 XWD,"101,078 mi.","$6,995"
37,2009 Saab 9-7X 4.2i,"126,107 mi.","$6,000"
38,2007 Saab 9-3 2.0T,"106,575 mi.","$4,300"
39,2011 Saab 9-3 2.0T,"105,974 mi.","$7,989"
40,2007 Saab 9-3 2.0T,"139,872 mi.","$3,588"
41,2008 Saab 9-3 2dr Conv,"95,853 mi.","$6,495"
42,2011 Saab 9-3 2.0T,"69,133 mi.","$11,985"
43,2011 Saab 9-5 Turbo4,"109,412 mi.","$8,800"
44,2008 Saab 9-7X 4.2i,"84,828 mi.","$10,997"
45,2008 Saab 9-7X 4.2i,"110,615 mi.","$4,600"
46,2007 Saab 9-3 2.0T,"97,927 mi.","$3,500"
47,2008 Saab 9-3 Aero,"79,514 mi.","$8,699"
48,2009 Saab 9-3 Touring,"61,178 mi.","$9,899"
49,2010 Saab 9-3,"19,394 mi.","$17,994"
50,2007 Saab 9-3 2.0T,"191,501 mi.","$2,595"
51,2001 Saab 9-3 SE,"73,989 mi.","$3,587"
52,2006 Saab 9-3 Aero,"104,118 mi.","$5,495"
53,2001 Saab 9-3 SE,"53,490 mi.","$7,799"
54,2009 Saab 9-3 Touring,"82,583 mi.","$8,499"
55,2009 Saab 9-7X 4.2i,"57,808 mi.","$9,500"
56,2010 Saab 9-3 2dr Conv FWD,"92,838 mi.","$10,000"
