,Name,Mileage,Price
0,2014 Subaru BRZ Limited,"46,169 mi.","$17,998"
1,2014 Subaru BRZ Premium,"23,909 mi.","$17,999"
2,2015 Subaru BRZ Limited,"34,720 mi.","$18,400"
3,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
4,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
5,2016 Subaru BRZ Limited,"51,888 mi.","$19,000"
6,2016 Subaru BRZ Limited,"12,143 mi.","$21,500"
7,2016 Subaru BRZ Limited,"17,359 mi.","$20,692"
8,2017 Subaru BRZ Series.Yellow,"23,111 mi.","$24,394"
9,2017 Subaru BRZ Limited,"15,322 mi.","$22,991"
10,2015 Subaru BRZ Premium,"30,540 mi.","$18,900"
11,2014 Subaru BRZ Limited,"25,050 mi.","$18,667"
12,2016 Subaru BRZ Limited,"43,160 mi.","$19,998"
13,2015 Subaru BRZ Series.Blue,"49,615 mi.","$20,998"
14,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
15,2017 Subaru BRZ Premium,"25,818 mi.","$17,025"
16,2017 Subaru BRZ Series.Yellow,"13,580 mi.","$24,995"
17,2016 Subaru BRZ Limited,"17,262 mi.","$21,998"
18,2015 Subaru BRZ Limited,"55,467 mi.","$15,995"
19,2013 Subaru BRZ Premium,"77,063 mi.","$14,831"
20,2015 Subaru BRZ Limited,"23,463 mi.","$19,993"
21,2014 Subaru BRZ Premium,"35,660 mi.","$16,888"
22,2014 Subaru BRZ Limited,"45,926 mi.","$17,897"
23,2016 Subaru BRZ Limited,"29,568 mi.","$22,788"
24,2014 Subaru BRZ Limited,"68,086 mi.","$17,087"
25,2013 Subaru BRZ Premium,"58,137 mi.","$16,495"
26,2016 Subaru BRZ Premium,"44,536 mi.","$17,712"
27,2017 Subaru BRZ Premium,"16,125 mi.","$23,750"
28,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
29,2015 Subaru BRZ Limited,"35,951 mi.","$17,988"
30,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
31,2013 Subaru BRZ Limited,"39,920 mi.","$18,500"
32,2015 Subaru BRZ Limited,"47,324 mi.","$19,998"
33,2018 Subaru BRZ Limited,270 mi.,"$26,981"
34,2013 Subaru BRZ Premium,"59,386 mi.","$16,193"
35,2016 Subaru BRZ Premium,"29,819 mi.","$17,995"
36,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
37,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
38,2017 Subaru BRZ Limited,"38,107 mi.","$20,325"
39,2017 Subaru BRZ Premium,"18,862 mi.","$22,495"
40,2013 Subaru BRZ Limited,"19,051 mi.","$18,532"
41,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
42,2017 Subaru BRZ Limited,"12,795 mi.","$23,995"
43,2013 Subaru BRZ Premium,"40,597 mi.","$16,995"
44,2017 Subaru BRZ Limited,"20,673 mi.","$23,217"
45,2016 Subaru BRZ Premium,"28,836 mi.","$19,967"
46,2014 Subaru BRZ Limited,"73,894 mi.","$15,991"
47,2015 Subaru BRZ Limited,"48,257 mi.","$18,450"
48,2016 Subaru BRZ Limited,"11,983 mi.","$20,998"
49,2016 Subaru BRZ Limited,"25,085 mi.","$21,700"
50,2017 Subaru BRZ Premium,"23,380 mi.","$18,999"
