,Name,Mileage,Price
0,2016 Subaru Crosstrek 2.0i Premium,"59,023 mi.","$18,599"
1,2017 Subaru Crosstrek 2.0i Premium,"13,682 mi.","$21,900"
2,2016 Subaru Crosstrek 2.0i Premium,"51,511 mi.","$20,492"
3,2018 Subaru Crosstrek 2.0i Limited,"23,004 mi.","$26,988"
4,2016 Subaru Crosstrek Premium,"32,107 mi.","$19,991"
5,2016 Subaru Crosstrek 2.0i Premium,"45,893 mi.","$18,978"
6,2016 Subaru Crosstrek 2.0i Premium,"45,554 mi.","$19,942"
7,2019 Subaru Crosstrek 2.0i Premium,"5,311 mi.","$24,939"
8,2018 Subaru Crosstrek 2.0i Premium,"7,469 mi.","$24,874"
9,2018 Subaru Crosstrek 2.0i Limited,"15,282 mi.","$25,980"
10,2016 Subaru Crosstrek 2.0i Premium,"34,205 mi.","$19,782"
11,2016 Subaru Crosstrek 2.0i Limited,"41,384 mi.","$16,980"
12,2017 Subaru Crosstrek 2.0i Premium,"27,977 mi.","$19,800"
13,2018 Subaru Crosstrek 2.0i Limited,"4,590 mi.","$28,990"
14,2018 Subaru Crosstrek 2.0i Premium,"4,226 mi.","$24,770"
15,2017 Subaru Crosstrek 2.0i Premium,"38,825 mi.","$22,882"
16,2019 Subaru Crosstrek 2.0i Premium,"2,878 mi.","$23,993"
17,2018 Subaru Crosstrek 2.0i Premium,"19,633 mi.","$21,494"
18,2016 Subaru Crosstrek 2.0i Premium,"47,768 mi.","$18,490"
19,2016 Subaru Crosstrek 2.0i Limited,"26,290 mi.","$20,988"
20,2018 Subaru Crosstrek 2.0i Premium,"9,721 mi.","$25,488"
21,2018 Subaru Crosstrek 2.0i Premium,"1,891 mi.","$26,488"
22,2016 Subaru Crosstrek 2.0i Premium,"31,559 mi.","$17,999"
23,2017 Subaru Crosstrek Limited,"36,349 mi.","$21,991"
24,2016 Subaru Crosstrek 2.0i Premium,"31,559 mi.","$17,999"
25,2017 Subaru Crosstrek 2.0i Premium,"47,033 mi.","$20,991"
26,2016 Subaru Crosstrek 2.0i,"48,085 mi.","$17,495"
27,2017 Subaru Crosstrek 2.0i,"7,221 mi.","$20,596"
28,2017 Subaru Crosstrek 2.0i Premium,"36,780 mi.","$20,477"
29,2016 Subaru Crosstrek 2.0i Limited,"27,978 mi.","$21,501"
30,2018 Subaru Crosstrek 2.0i Premium,"4,686 mi.","$22,973"
31,2016 Subaru Crosstrek 2.0i Premium,"69,965 mi.","$17,914"
32,2016 Subaru Crosstrek Premium,"45,506 mi.","$20,493"
33,2018 Subaru Crosstrek Limited,"6,845 mi.","$28,493"
34,2017 Subaru Crosstrek Limited,"7,535 mi.","$25,493"
35,2016 Subaru Crosstrek Limited,"84,963 mi.","$17,993"
36,2016 Subaru Crosstrek Premium,"34,944 mi.","$20,393"
37,2017 Subaru Crosstrek Limited,"15,033 mi.","$23,893"
38,2016 Subaru Crosstrek 2.0i Premium,"18,767 mi.","$22,440"
39,2016 Subaru Crosstrek 2.0i Premium,"31,559 mi.","$17,999"
40,2019 Subaru Crosstrek 2.0i Premium,"6,469 mi.","$23,500"
41,2017 Subaru Crosstrek 2.0i Limited,"25,354 mi.","$23,410"
