,Name,Mileage,Price
0,2011 Subaru Impreza Outback Sport Base,"80,748 mi.","$8,995"
1,2011 Subaru Impreza Outback Sport Outback Sport,"66,978 mi.","$10,777"
2,2011 Subaru Impreza Outback Sport Outback Sport,"81,058 mi.","$10,399"
3,2011 Subaru Impreza Outback Sport Outback Sport,"117,894 mi.","$9,488"
4,2011 Subaru Impreza Outback Sport Base,"113,750 mi.","$9,178"
5,2011 Subaru Impreza Outback Sport Outback Sport,"93,275 mi.","$10,975"
6,2011 Subaru Impreza Outback Sport Base,"133,451 mi.","$9,888"
7,2011 Subaru Impreza Outback Sport Outback Sport,"105,305 mi.","$8,995"
8,2011 Subaru Impreza Outback Sport Base,"85,182 mi.","$10,944"
9,2011 Subaru Impreza Outback Sport Base,"134,696 mi.","$6,995"
10,2011 Subaru Impreza Outback Sport Outback Sport,"98,866 mi.","$9,995"
11,2011 Subaru Impreza Outback Sport Outback Sport,"124,119 mi.","$8,888"
12,2011 Subaru Impreza Outback Sport Base,"110,912 mi.","$8,000"
13,2011 Subaru Impreza Outback Sport Base,"67,219 mi.","$12,950"
14,2011 Subaru Impreza Outback Sport Outback Sport,"136,897 mi.","$8,395"
15,2011 Subaru Impreza Outback Sport Base,"41,368 mi.","$12,900"
16,2011 Subaru Impreza Outback Sport Base,"104,453 mi.","$9,495"
17,2011 Subaru Impreza Outback Sport Base,"115,090 mi.","$8,980"
18,2011 Subaru Impreza Outback Sport Outback Sport,"99,112 mi.","$9,991"
19,2011 Subaru Impreza Outback Sport Base,"64,313 mi.","$11,990"
20,2011 Subaru Impreza Outback Sport Outback Sport,"36,457 mi.","$10,580"
21,2011 Subaru Impreza Outback Sport Outback Sport,"109,954 mi.","$9,911"
22,2011 Subaru Impreza Outback Sport Outback Sport,"88,408 mi.","$7,995"
23,2011 Subaru Impreza Outback Sport Base,"144,087 mi.","$7,495"
24,2011 Subaru Impreza Outback Sport Base,"96,000 mi.","$8,750"
25,2011 Subaru Impreza Outback Sport Outback Sport,"94,251 mi.","$11,998"
26,2011 Subaru Impreza Outback Sport Outback Sport,"64,395 mi.","$10,999"
27,2011 Subaru Impreza Outback Sport Outback Sport,"110,869 mi.","$6,995"
