,Name,Mileage,Price
0,2015 Subaru Legacy 3.6R Limited,"39,426 mi.","$17,777"
1,2016 Subaru Legacy 2.5i Premium,"39,782 mi.","$15,885"
2,2018 Subaru Legacy 2.5i Premium,"3,958 mi.","$22,998"
3,2016 Subaru Legacy 2.5i Premium,"22,901 mi.","$18,299"
4,2018 Subaru Legacy 2.5i Sport,"3,437 mi.","$25,993"
5,2014 Subaru Legacy 3.6R Limited,"42,340 mi.","$17,892"
6,2011 Subaru Legacy 2.5 GT Limited,"87,134 mi.","$17,454"
7,2017 Subaru Legacy 2.5i Premium,"22,878 mi.","$18,599"
8,2015 Subaru Legacy 3.6R Limited,"54,138 mi.","$20,349"
9,2016 Subaru Legacy 2.5i Limited,"21,215 mi.","$18,000"
10,2018 Subaru Legacy 2.5i Premium,"7,889 mi.","$23,999"
11,2016 Subaru Legacy 3.6R Limited,"31,263 mi.","$23,993"
12,2013 Subaru Legacy 2.5i Premium,"83,198 mi.","$9,977"
13,2017 Subaru Legacy 2.5i Limited,"19,578 mi.","$22,678"
14,2008 Subaru Legacy Base,"137,940 mi.","$8,995"
15,2018 Subaru Legacy 2.5i,758 mi.,"$22,977"
16,2016 Subaru Legacy 3.6R Limited,"36,870 mi.","$17,499"
17,2016 Subaru Legacy 3.6R Limited,"36,870 mi.","$17,499"
18,2018 Subaru Legacy 2.5i Premium,"7,530 mi.","$21,899"
19,2011 Subaru Legacy 3.6R Limited,"77,857 mi.","$12,950"
20,2016 Subaru Legacy 2.5i Limited,"25,415 mi.","$20,991"
21,2011 Subaru Legacy 2.5 i Premium,"195,200 mi.","$5,680"
22,2018 Subaru Legacy 2.5i Premium,"10,459 mi.","$22,995"
23,2018 Subaru Legacy 2.5i Premium,"11,988 mi.","$22,995"
24,2018 Subaru Legacy 2.5i Premium,"9,701 mi.","$21,995"
25,2015 Subaru Legacy 2.5i Limited,"98,451 mi.","$14,440"
26,2017 Subaru Legacy 2.5i Sport,"33,841 mi.","$20,440"
27,2011 Subaru Legacy 3.6 R Premium,"83,322 mi.","$11,801"
28,2016 Subaru Legacy 3.6R Limited,"36,870 mi.","$17,499"
29,2015 Subaru Legacy 2.5i Limited,"36,677 mi.","$15,099"
30,2016 Subaru Legacy 2.5i Premium,"66,689 mi.","$14,986"
31,2016 Subaru Legacy 2.5i,"30,210 mi.","$17,200"
32,2009 Subaru Legacy Ltd,"121,020 mi.","$6,500"
33,2015 Subaru Legacy 2.5i Limited,"36,677 mi.","$15,099"
34,2016 Subaru Legacy 2.5i Limited,"32,552 mi.","$19,758"
35,2017 Subaru Legacy Limited,"19,730 mi.","$22,541"
36,2017 Subaru Legacy 2.5i Premium,"70,469 mi.","$15,246"
37,2016 Subaru Legacy 2.5i Premium,"10,522 mi.","$16,923"
38,2015 Subaru Legacy 2.5i Limited,"80,307 mi.","$16,775"
39,2016 Subaru Legacy 2.5i Limited,"26,930 mi.","$23,500"
40,2016 Subaru Legacy 2.5i Premium,"77,339 mi.","$13,386"
41,2014 Subaru Legacy 2.5i Premium,"90,985 mi.","$11,995"
42,2007 Subaru Legacy Outback R LL Bean,"119,092 mi.","$7,738"
43,2016 Subaru Legacy 2.5i,"9,978 mi.","$16,000"
44,2015 Subaru Legacy 2.5i Limited,"29,890 mi.","$13,493"
45,2011 Subaru Legacy 2.5i,"83,525 mi.","$9,391"
46,2017 Subaru Legacy 2.5i,"15,209 mi.","$17,000"
47,2018 Subaru Legacy 2.5i Premium,"13,873 mi.","$21,300"
48,2016 Subaru Legacy 3.6R Limited,"36,870 mi.","$17,499"
49,2016 Subaru Legacy 2.5i,"25,000 mi.","$16,100"
50,2012 Subaru Legacy 3.6R Limited,"78,178 mi.","$11,600"
51,2015 Subaru Legacy 2.5i Premium,"54,390 mi.","$13,373"
52,2015 Subaru Legacy 2.5i Limited,"36,677 mi.","$15,099"
53,2015 Subaru Legacy 2.5i Premium,"51,530 mi.","$15,000"
54,2018 Subaru Legacy 2.5i,"5,341 mi.","$22,900"
55,2017 Subaru Legacy 2.5i Premium,"20,332 mi.","$16,900"
56,2016 Subaru Legacy 3.6R Limited,"36,870 mi.","$17,499"
57,2015 Subaru Legacy 2.5i Premium,"52,992 mi.","$13,599"
58,2015 Subaru Legacy 2.5i Limited,"36,677 mi.","$15,099"
59,2014 Subaru Legacy 3.6R Limited,"61,219 mi.","$15,920"
60,2013 Subaru Legacy 2.5i Premium,"129,450 mi.","$8,499"
