,Name,Mileage,Price
0,2010 Subaru Tribeca 3.6R Premium,"114,000 mi.","$10,995"
1,2012 Subaru Tribeca 3.6R Limited,"68,958 mi.","$15,500"
2,2009 Subaru Tribeca Limited 7-Passenger,"118,524 mi.","$9,900"
3,2010 Subaru Tribeca 3.6R Limited,"89,577 mi.","$10,389"
4,2009 Subaru Tribeca Special Edition 5-Passenger,"84,719 mi.","$10,995"
5,2008 Subaru Tribeca Limited 5-Passenger,"177,478 mi.","$4,900"
6,2014 Subaru Tribeca 3.6R Limited,"86,164 mi.","$17,599"
7,2008 Subaru Tribeca Limited 7-Passenger,"133,020 mi.","$8,468"
8,2008 Subaru Tribeca Limited 5-Passenger,"132,090 mi.","$8,995"
9,2014 Subaru Tribeca 3.6R Limited,"55,798 mi.","$21,995"
10,2011 Subaru Tribeca 3.6 R Limited,"102,086 mi.","$11,810"
11,2013 Subaru Tribeca 3.6R Limited,"89,510 mi.","$14,998"
12,2008 Subaru Tribeca Limited 7-Passenger,"144,826 mi.","$7,299"
13,2008 Subaru Tribeca Limited 7-Passenger,"141,136 mi.","$5,991"
14,2011 Subaru Tribeca 3.6 R Premium,"83,133 mi.","$13,532"
15,2014 Subaru Tribeca 3.6R Limited,"94,370 mi.","$15,990"
16,2011 Subaru Tribeca 3.6R Limited,"86,969 mi.","$13,599"
17,2009 Subaru Tribeca Base,"69,457 mi.","$9,895"
18,2013 Subaru Tribeca Limited,"40,985 mi.","$18,495"
19,2009 Subaru Tribeca Special Edition 7-Passenger,"123,221 mi.","$8,995"
20,2010 Subaru Tribeca 3.6R Limited,"105,262 mi.","$12,995"
21,2011 Subaru Tribeca 3.6 R Limited,"91,828 mi.","$12,697"
22,2010 Subaru Tribeca 3.6R Limited,"90,776 mi.","$11,977"
23,2013 Subaru Tribeca 3.6R Limited,"75,048 mi.","$16,750"
24,2008 Subaru Tribeca Limited 7-Passenger,"145,690 mi.","$6,995"
25,2008 Subaru Tribeca Limited 5-Passenger,"122,697 mi.","$8,490"
26,2009 Subaru Tribeca Special Edition 5-Passenger,"162,689 mi.","$7,900"
27,2009 Subaru Tribeca Limited 7-Passenger,"87,433 mi.","$12,910"
28,2008 Subaru Tribeca Limited 7-Passenger,"68,392 mi.","$11,999"
29,2009 Subaru Tribeca Limited 5-Passenger,"159,160 mi.","$6,900"
30,2011 Subaru Tribeca 3.6R Limited,"128,330 mi.","$8,999"
31,2010 Subaru Tribeca 3.6R Limited,"141,105 mi.","$9,180"
32,2013 Subaru Tribeca 3.6R Limited,"59,043 mi.","$17,916"
33,2008 Subaru Tribeca Base,"122,991 mi.","$11,487"
34,2012 Subaru Tribeca 3.6R Limited,"90,862 mi.","$14,995"
35,2011 Subaru Tribeca 3.6 R Limited,"63,116 mi.","$12,900"
36,2012 Subaru Tribeca 3.6R Limited,"118,003 mi.","$10,295"
37,2008 Subaru Tribeca 5-Pass Ltd,"82,566 mi.","$11,600"
38,2009 Subaru Tribeca Special Edition 5-Passenger,"107,004 mi.","$8,772"
39,2008 Subaru Tribeca Limited 5-Passenger,"166,132 mi.","$5,999"
40,2010 Subaru Tribeca 3.6 R Limited,"101,525 mi.","$10,977"
41,2011 Subaru Tribeca 3.6R Touring,"45,872 mi.","$17,999"
42,2009 Subaru Tribeca Special Edition 5-Passenger,"87,993 mi.","$10,000"
43,2008 Subaru Tribeca Limited 5-Passenger,"120,649 mi.","$7,490"
44,2008 Subaru Tribeca Limited 7-Passenger,"97,006 mi.","$9,000"
45,2009 Subaru Tribeca Limited 7-Passenger,"110,628 mi.","$10,995"
46,2008 Subaru Tribeca Limited 5-Passenger,"169,014 mi.","$6,550"
47,2008 Subaru Tribeca Base,"116,259 mi.","$8,700"
48,2013 Subaru Tribeca 3.6R Limited,"77,300 mi.","$15,999"
49,2008 Subaru Tribeca Limited 5-Passenger,"73,160 mi.","$10,995"
50,2008 Subaru Tribeca Limited 5-Passenger,"96,402 mi.","$7,995"
51,2011 Subaru Tribeca 3.6 R Touring,"106,626 mi.","$10,971"
52,2011 Subaru Tribeca 3.6 R Touring,"85,948 mi.","$13,990"
53,2014 Subaru Tribeca 3.6R Limited,"56,786 mi.","$17,995"
54,2008 Subaru Tribeca Limited 5-Passenger,"43,509 mi.","$12,575"
55,2014 Subaru Tribeca 3.6R Limited,"59,430 mi.","$16,432"
56,2008 Subaru Tribeca 5-Pass Ltd,"175,906 mi.","$6,301"
57,2014 Subaru Tribeca Limited,"97,464 mi.","$16,998"
58,2013 Subaru Tribeca 3.6R Limited,"69,325 mi.","$18,000"
59,2009 Subaru Tribeca Special Edition 7-Passenger,"159,619 mi.","$6,597"
60,2013 Subaru Tribeca 3.6R Limited,"69,325 mi.","$18,000"
61,2008 Subaru Tribeca Limited 7-Passenger,"153,669 mi.","$8,000"
62,2013 Subaru Tribeca 3.6R Limited,"43,379 mi.","$16,995"
63,2011 Subaru Tribeca Limited,"91,441 mi.","$13,995"
64,2011 Subaru Tribeca 3.6 R Limited,"145,766 mi.","$11,987"
65,2012 Subaru Tribeca 3.6R Limited,"83,512 mi.","$14,995"
66,2008 Subaru Tribeca Base,"154,079 mi.","$8,995"
67,2009 Subaru Tribeca Base,"109,000 mi.","$9,900"
68,2008 Subaru Tribeca Limited 5-Passenger,"124,793 mi.","$8,098"
69,2008 Subaru Tribeca Limited 7-Passenger,"106,682 mi.","$8,595"
70,2009 Subaru Tribeca Base,"112,017 mi.","$9,990"
71,2009 Subaru Tribeca Limited 5-Passenger,"40,043 mi.","$16,998"
72,2008 Subaru Tribeca Limited 7-Passenger,"103,319 mi.","$11,950"
73,2010 Subaru Tribeca 3.6R Premium,"109,531 mi.","$9,213"
74,2009 Subaru Tribeca Special Edition 7-Passenger,"153,000 mi.","$8,995"
75,2008 Subaru Tribeca Limited 5-Passenger,"79,227 mi.","$9,981"
76,2008 Subaru Tribeca Limited 5-Passenger,"178,624 mi.","$6,899"
77,2012 Subaru Tribeca 3.6R Touring,"66,433 mi.","$14,990"
78,2012 Subaru Tribeca 3.6R Limited,"85,210 mi.","$12,950"
79,2009 Subaru Tribeca Limited 7-Passenger,"107,000 mi.","$11,995"
80,2012 Subaru Tribeca 3.6 Touring,"117,456 mi.","$12,391"
81,2014 Subaru Tribeca 3.6R Limited,"67,344 mi.","$17,000"
82,2009 Subaru Tribeca Special Edition 7-Passenger,"88,344 mi.","$7,990"
83,2008 Subaru Tribeca Limited 7-Passenger,"97,125 mi.","$9,449"
84,2008 Subaru Tribeca Limited 7-Passenger,"124,000 mi.","$8,900"
85,2009 Subaru Tribeca Special Edition 7-Passenger,"94,205 mi.","$9,995"
86,2009 Subaru Tribeca Special Edition 7-Passenger,"123,428 mi.","$10,995"
87,2008 Subaru Tribeca Limited 5-Passenger,"144,006 mi.","$7,979"
88,2008 Subaru Tribeca Limited 7-Passenger,"167,990 mi.","$7,900"
89,2008 Subaru Tribeca Limited 7-Passenger,"154,101 mi.","$5,995"
90,2009 Subaru Tribeca Limited,"242,938 mi.","$5,250"
91,2008 Subaru Tribeca Limited 7-Passenger,"135,630 mi.","$7,991"
92,2010 Subaru Tribeca 3.6 R Touring,"42,384 mi.","$37,995"
93,2008 Subaru Tribeca Limited 5-Passenger,"130,758 mi.","$7,996"
94,2011 Subaru Tribeca 3.6 R Limited,"112,552 mi.","$12,995"
95,2008 Subaru Tribeca Limited 5-Passenger,"107,682 mi.","$7,746"
96,2008 Subaru Tribeca Base,"109,571 mi.","$7,195"
97,2009 Subaru Tribeca Limited 5-Passenger,"136,000 mi.","$9,950"
98,2008 Subaru Tribeca Limited 7-Passenger,"108,000 mi.","$9,500"
99,2009 Subaru Tribeca Limited 5-Passenger,"123,950 mi.","$6,988"
100,2010 Subaru Tribeca 3.6R Touring,"116,486 mi.","$12,900"
101,2009 Subaru Tribeca Limited 7-Passenger,"94,841 mi.","$16,746"
102,2008 Subaru Tribeca Base,"158,224 mi.","$4,995"
103,2012 Subaru Tribeca 3.6R Limited,"73,020 mi.","$13,750"
104,2010 Subaru Tribeca 3.6 R Limited,"43,801 mi.","$13,995"
105,2008 Subaru Tribeca Limited,"154,136 mi.","$5,998"
106,2014 Subaru Tribeca 3.6R Limited,"47,561 mi.","$12,995"
107,2008 Subaru Tribeca Limited 7-Passenger,"140,100 mi.","$7,500"
