,Name,Mileage,Price
0,2014 Subaru STI Limited,"30,651 mi.","$27,250"
1,2014 Subaru STI Limited,"32,991 mi.","$26,995"
2,2013 Subaru STI Limited,"36,305 mi.","$24,652"
3,2013 Subaru STI Limited,"100,475 mi.","$19,950"
4,2007 Subaru STI Limited,"84,068 mi.","$21,995"
5,2013 Subaru STI Limited,"73,350 mi.","$23,711"
6,2013 Subaru STI Limited,"71,000 mi.","$22,999"
7,2014 Subaru STI Limited,"54,814 mi.","$25,812"
8,2014 Subaru STI Limited,"74,005 mi.","$22,661"
9,2007 Subaru STI Limited,"54,053 mi.","$23,995"
10,2013 Subaru STI Limited,"67,588 mi.","$19,955"
11,2013 Subaru STI Limited,"84,905 mi.","$17,000"
12,2013 Subaru STI Limited,"89,397 mi.","$18,999"
13,2013 Subaru STI Limited,"35,999 mi.","$28,788"
14,2014 Subaru STI Limited,"9,079 mi.","$32,995"
15,2014 Subaru STI Limited,"30,651 mi.","$27,250"
16,2013 Subaru STI Limited,"55,207 mi.","$26,991"
17,2013 Subaru STI Limited,"65,062 mi.","$24,988"
18,2015 Subaru 4DR SDN MT,"21,583 mi.","$21,750"
19,2005 Subaru Sport,"124,151 mi.","$7,588"
20,2010 Subaru STI Limited,"63,679 mi.","$24,998"
21,2005 Subaru Turbo,"103,370 mi.","$14,988"
22,2016 Subaru Base,"35,003 mi.","$20,499"
23,2005 Subaru Sport,"157,902 mi.","$9,495"
24,2005 Subaru Sport,"99,360 mi.","$9,950"
25,2005 Subaru Sport,"138,740 mi.","$9,888"
26,2005 Subaru Sport,"94,211 mi.","$10,495"
27,2016 Subaru Base,"63,765 mi.","$18,995"
28,2014 Subaru STI Limited,"54,433 mi.","$25,997"
29,2013 Subaru STI Limited,"77,951 mi.","$24,995"
30,2007 Subaru LSi,"127,095 mi.","$5,988"
31,2014 Subaru WRX,"56,581 mi.","$20,000"
32,2015 Subaru,"25,829 mi.","$24,990"
33,2015 Subaru,"37,499 mi.",Not Priced
34,2005 Subaru Turbo,"137,755 mi.",Not Priced
35,2015 Subaru,"50,908 mi.",Not Priced
36,2015 Subaru,"23,248 mi.","$22,590"
37,2013 Subaru STI Limited,"86,048 mi.","$21,845"
38,2015 Subaru,"26,825 mi.",Not Priced
39,2015 Subaru,"31,934 mi.","$23,497"
40,2005 Subaru Sport,"105,891 mi.","$8,695"
41,2015 Subaru,"47,462 mi.",Not Priced
42,2015 Subaru,"18,652 mi.",Not Priced
43,2015 Subaru,"18,478 mi.","$26,999"
44,2015 Subaru,"17,332 mi.","$25,999"
45,2015 Subaru,"35,256 mi.","$22,495"
