,Name,Mileage,Price
0,2018 Subaru WRX STI Base,"25,414 mi.","$32,498"
1,2017 Subaru WRX STI Base,"28,241 mi.","$30,000"
2,2017 Subaru WRX STI Base,"30,077 mi.","$29,500"
3,2015 Subaru WRX STI Limited,"32,475 mi.","$29,995"
4,2017 Subaru WRX STI Limited w/ Wing,"34,979 mi.","$29,800"
5,2018 Subaru WRX STI Limited,"1,896 mi.","$36,500"
6,2017 Subaru WRX STI Base,"10,797 mi.","$25,499"
7,2018 Subaru WRX STI Base,"2,601 mi.","$42,788"
8,2018 Subaru WRX STI Limited,"1,789 mi.","$34,995"
9,2018 Subaru WRX STI Base,"16,247 mi.","$31,495"
10,2018 Subaru WRX STI Base,"13,204 mi.","$34,988"
11,2016 Subaru WRX STI Limited,"15,501 mi.","$32,988"
12,2016 Subaru WRX STI Base,"27,310 mi.","$29,900"
13,2017 Subaru WRX STI Base,"40,046 mi.","$27,599"
14,2016 Subaru WRX STI Base,"42,617 mi.","$26,700"
15,2018 Subaru WRX STI Base,"9,813 mi.","$33,991"
16,2015 Subaru WRX STI WRX STi,"16,660 mi.","$30,000"
17,2016 Subaru WRX STI Limited,"41,128 mi.","$27,997"
18,2017 Subaru WRX STI Base,"5,718 mi.","$26,699"
19,2016 Subaru WRX STI Base,"84,413 mi.","$28,287"
20,2016 Subaru WRX STI Base,"25,168 mi.","$28,990"
21,2018 Subaru WRX STI Base,"6,326 mi.","$33,223"
22,2015 Subaru WRX STI Limited,"20,054 mi.","$29,997"
23,2018 Subaru WRX STI Limited w/ Wing,"6,163 mi.","$35,997"
24,2015 Subaru WRX STI Base,"50,164 mi.","$27,999"
25,2016 Subaru WRX STI Base,"42,813 mi.","$29,429"
26,2015 Subaru WRX STI Limited,"27,361 mi.","$27,988"
27,2018 Subaru WRX STI Base,"12,927 mi.","$34,488"
28,2017 Subaru WRX STI Base,"12,439 mi.","$33,995"
29,2017 Subaru WRX STI Base,"26,251 mi.","$29,842"
30,2016 Subaru WRX STI Limited,"22,099 mi.","$26,999"
31,2018 Subaru WRX STI Base,"5,711 mi.","$35,230"
32,2015 Subaru WRX STI Launch Edition,"29,339 mi.","$31,991"
33,2018 Subaru WRX STI Base,"5,711 mi.","$35,230"
34,2016 Subaru WRX STI STi,"13,835 mi.","$31,450"
35,2016 Subaru WRX STI Base,"33,878 mi.","$28,688"
36,2015 Subaru WRX STI Base,"36,126 mi.","$26,995"
37,2016 Subaru WRX STI Limited,"40,991 mi.","$28,954"
38,2016 Subaru WRX STI STi,"24,798 mi.","$30,993"
39,2018 Subaru WRX STI Base,"11,339 mi.","$33,324"
40,2017 Subaru WRX STI Base,"17,179 mi.","$31,349"
41,2017 Subaru WRX STI Base,"29,366 mi.","$29,751"
42,2017 Subaru WRX STI Base,"9,671 mi.","$32,552"
43,2017 Subaru WRX STI Base,"10,441 mi.","$32,222"
44,2016 Subaru WRX STI Limited,"22,099 mi.","$26,999"
45,2017 Subaru WRX STI Base,"13,302 mi.","$33,388"
46,2015 Subaru WRX STI,"55,500 mi.","$28,999"
47,2016 Subaru WRX STI Limited,"22,099 mi.","$26,999"
48,2018 Subaru WRX STI Base,"9,179 mi.","$32,661"
49,2017 Subaru WRX STI Base,"28,222 mi.","$32,995"
50,2015 Subaru WRX STI STI2.5T,"72,092 mi.","$24,000"
51,2016 Subaru WRX STI Base,"45,157 mi.","$26,800"
52,2017 Subaru WRX STI Base,"20,249 mi.","$29,300"
53,2018 Subaru WRX STI Limited w/ Wing,"11,292 mi.","$35,990"
54,2017 Subaru WRX STI Base,"26,182 mi.","$28,475"
55,2018 Subaru WRX STI Base,"24,012 mi.","$30,000"
56,2015 Subaru WRX STI Limited,"26,043 mi.","$29,237"
57,2015 Subaru WRX STI Limited,"29,338 mi.","$29,990"
58,2016 Subaru WRX STI Limited,"30,603 mi.","$29,700"
59,2016 Subaru WRX STI Base,"26,512 mi.","$28,228"
60,2016 Subaru WRX STI Base,"29,495 mi.","$29,888"
61,2018 Subaru WRX STI Base,"12,551 mi.","$32,000"
62,2018 Subaru WRX STI Base,"5,659 mi.","$34,991"
63,2018 Subaru WRX STI Base,"12,160 mi.","$31,895"
64,2017 Subaru WRX STI Base,"46,633 mi.","$25,498"
65,2016 Subaru WRX STI Limited,"31,700 mi.","$27,490"
66,2018 Subaru WRX STI Base,"17,866 mi.","$30,517"
67,2016 Subaru WRX STI Base,"11,030 mi.","$28,511"
68,2015 Subaru WRX STI,"19,066 mi.","$29,000"
69,2017 Subaru WRX STI Base,"8,782 mi.","$31,888"
70,2016 Subaru WRX STI Limited,"40,015 mi.","$28,995"
71,2018 Subaru WRX STI Base,"6,526 mi.","$33,795"
72,2017 Subaru WRX STI Limited w/ Lip,"7,732 mi.","$33,495"
73,2018 Subaru WRX STI Limited w/ Lip,"8,842 mi.","$35,993"
74,2019 Subaru WRX STI Base,301 mi.,"$34,646"
75,2018 Subaru WRX STI Base,"4,381 mi.","$33,500"
76,2017 Subaru WRX STI Limited,"10,300 mi.","$32,000"
77,2018 Subaru WRX STI Base,"15,936 mi.","$32,888"
78,2015 Subaru WRX STI Limited,"39,503 mi.","$28,385"
