,Name,Mileage,Price
0,2015 Subaru XV Crosstrek Hybrid Base,"51,129 mi.","$16,999"
1,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"55,955 mi.","$17,250"
2,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"56,149 mi.","$15,998"
3,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"16,022 mi.","$23,998"
4,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"66,887 mi.","$17,899"
5,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"56,159 mi.","$17,097"
6,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid,"63,689 mi.","$16,998"
7,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"92,206 mi.","$14,688"
8,2014 Subaru XV Crosstrek Hybrid Base,"58,854 mi.","$17,576"
9,2014 Subaru XV Crosstrek Hybrid Base,"42,522 mi.","$17,622"
10,2015 Subaru XV Crosstrek Hybrid Base,"40,955 mi.","$18,960"
11,2014 Subaru XV Crosstrek Hybrid Base,"65,800 mi.","$16,709"
12,2014 Subaru XV Crosstrek Hybrid Base,"39,482 mi.","$19,497"
13,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"39,604 mi.","$20,988"
14,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"61,861 mi.","$18,530"
15,2015 Subaru XV Crosstrek Hybrid Base,"10,550 mi.","$21,581"
16,2014 Subaru XV Crosstrek Hybrid Base,"35,099 mi.","$19,418"
17,2015 Subaru XV Crosstrek Hybrid Base,"32,323 mi.","$19,640"
18,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid,"33,767 mi.","$19,998"
19,2014 Subaru XV Crosstrek Hybrid Base,"26,604 mi.","$18,999"
20,2014 Subaru XV Crosstrek Hybrid Base,"67,409 mi.","$18,358"
21,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"42,826 mi.","$18,498"
22,2014 Subaru XV Crosstrek Hybrid Touring,"40,687 mi.","$18,295"
23,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"43,078 mi.","$18,892"
24,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"70,052 mi.","$16,942"
25,2014 Subaru XV Crosstrek Hybrid Base,"61,748 mi.","$16,480"
26,2014 Subaru XV Crosstrek Hybrid Touring,"80,937 mi.","$15,449"
27,2014 Subaru XV Crosstrek Hybrid Base,"53,669 mi.","$17,353"
28,2014 Subaru XV Crosstrek Hybrid Base,"100,285 mi.","$11,994"
29,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"33,511 mi.","$19,690"
30,2014 Subaru XV Crosstrek Hybrid Touring,"52,755 mi.","$16,786"
31,2014 Subaru XV Crosstrek Hybrid Touring,"76,603 mi.","$16,432"
32,2014 Subaru XV Crosstrek Hybrid Base,"40,567 mi.","$17,991"
33,2014 Subaru XV Crosstrek Hybrid Touring,"29,935 mi.","$17,990"
34,2014 Subaru XV Crosstrek Hybrid Base,"77,579 mi.","$15,500"
35,2014 Subaru XV Crosstrek Hybrid Touring,"92,482 mi.","$14,399"
36,2015 Subaru XV Crosstrek Hybrid Base,"87,877 mi.","$14,497"
37,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"72,810 mi.","$15,388"
38,2014 Subaru XV Crosstrek Hybrid Base,"71,869 mi.","$13,990"
39,2015 Subaru XV Crosstrek Hybrid Base,"25,441 mi.","$20,999"
40,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid,"57,311 mi.","$15,998"
41,2015 Subaru XV Crosstrek Hybrid Base,"51,573 mi.","$16,900"
42,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"29,628 mi.","$17,975"
43,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"98,079 mi.","$13,490"
44,2014 Subaru XV Crosstrek Hybrid Touring,"65,530 mi.","$17,400"
45,2015 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"54,001 mi.","$17,771"
46,2015 Subaru XV Crosstrek Hybrid Base,"19,236 mi.","$21,495"
47,2014 Subaru XV Crosstrek Hybrid Base,"62,310 mi.","$16,099"
48,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid Touring,"38,644 mi.","$20,998"
49,2014 Subaru XV Crosstrek Hybrid 2.0i Hybrid,"44,915 mi.","$18,998"
