,Name,Mileage,Price
0,2014 Subaru XV Crosstrek 2.0i Limited,"57,839 mi.","$17,999"
1,2014 Subaru XV Crosstrek 2.0i Limited,"78,015 mi.","$16,900"
2,2013 Subaru XV Crosstrek 2.0i Premium,"48,189 mi.","$14,995"
3,2014 Subaru XV Crosstrek Premium,"51,085 mi.","$17,600"
4,2015 Subaru XV Crosstrek 2.0i Limited,"33,420 mi.","$19,934"
5,2015 Subaru XV Crosstrek 2.0i Premium,"52,502 mi.","$19,600"
6,2015 Subaru XV Crosstrek 2.0i Limited,"54,717 mi.","$19,838"
7,2014 Subaru XV Crosstrek 2.0i Premium,"41,025 mi.","$16,694"
8,2014 Subaru XV Crosstrek 2.0i Premium,"57,680 mi.","$15,498"
9,2015 Subaru XV Crosstrek 2.0i Premium,"29,407 mi.","$19,113"
10,2015 Subaru XV Crosstrek 2.0i Premium,"40,576 mi.","$17,490"
11,2014 Subaru XV Crosstrek 2.0i Premium,"96,208 mi.","$12,994"
12,2014 Subaru XV Crosstrek 2.0i Limited,"121,615 mi.","$13,280"
13,2015 Subaru XV Crosstrek 2.0i Premium,"51,955 mi.","$19,996"
14,2014 Subaru XV Crosstrek 2.0i Limited,"85,675 mi.","$15,999"
15,2014 Subaru XV Crosstrek Premium,"15,336 mi.","$19,998"
16,2014 Subaru XV Crosstrek 2.0i Limited,"43,215 mi.","$18,488"
17,2015 Subaru XV Crosstrek 2.0i Premium,"63,911 mi.","$16,988"
18,2014 Subaru XV Crosstrek 2.0i Premium,"25,178 mi.","$19,888"
19,2014 Subaru XV Crosstrek 2.0i Limited,"54,873 mi.","$18,998"
20,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
21,2013 Subaru XV Crosstrek 2.0i Premium,"67,577 mi.","$16,998"
22,2015 Subaru XV Crosstrek 2.0i Limited,"35,170 mi.","$19,600"
23,2015 Subaru XV Crosstrek 2.0i Limited,"44,873 mi.","$19,300"
24,2015 Subaru XV Crosstrek 2.0i Premium,"60,053 mi.","$17,990"
25,2013 Subaru XV Crosstrek 2.0i Premium,"166,120 mi.","$10,490"
26,2014 Subaru XV Crosstrek 2.0i Limited,"88,790 mi.","$15,870"
27,2014 Subaru XV Crosstrek 2.0i Limited,"36,286 mi.","$19,869"
28,2014 Subaru XV Crosstrek 2.0i Limited,"68,572 mi.","$16,032"
29,2014 Subaru XV Crosstrek 2.0i Premium,"44,537 mi.","$17,985"
30,2014 Subaru XV Crosstrek 2.0i Limited,"72,448 mi.","$14,999"
31,2014 Subaru XV Crosstrek 2.0i Limited,"44,063 mi.","$18,210"
32,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
33,2015 Subaru XV Crosstrek 2.0i Premium,"60,940 mi.","$16,995"
34,2015 Subaru XV Crosstrek 2.0i Premium,"53,127 mi.","$16,900"
35,2013 Subaru XV Crosstrek 2.0i Limited,"147,718 mi.","$8,900"
36,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
37,2014 Subaru XV Crosstrek 2.0i Premium,"99,752 mi.","$14,995"
38,2014 Subaru XV Crosstrek Limited,"55,556 mi.","$16,592"
39,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
40,2014 Subaru XV Crosstrek Limited,"66,229 mi.","$15,900"
41,2015 Subaru XV Crosstrek 2.0i Limited,"26,881 mi.","$21,462"
42,2013 Subaru XV Crosstrek 2.0i Limited,"93,337 mi.","$15,995"
43,2014 Subaru XV Crosstrek Premium,"66,875 mi.","$15,965"
44,2015 Subaru XV Crosstrek 2.0i Premium,"24,038 mi.","$19,569"
45,2015 Subaru XV Crosstrek 2.0i Premium,"61,329 mi.","$16,990"
46,2014 Subaru XV Crosstrek 2.0i Premium,"12,744 mi.","$17,789"
47,2015 Subaru XV Crosstrek 2.0i Limited,"14,530 mi.","$19,799"
48,2014 Subaru XV Crosstrek 2.0i Premium,"87,053 mi.","$12,783"
49,2013 Subaru XV Crosstrek 2.0i Premium,"68,720 mi.","$14,593"
50,2015 Subaru XV Crosstrek 2.0i Limited,"32,794 mi.","$18,495"
51,2014 Subaru XV Crosstrek 2.0i Limited,"64,438 mi.","$15,995"
52,2015 Subaru XV Crosstrek 2.0i Premium,"17,548 mi.","$18,922"
53,2014 Subaru XV Crosstrek Premium,"35,474 mi.","$16,630"
54,2014 Subaru XV Crosstrek 2.0i Limited,"61,378 mi.","$15,490"
55,2014 Subaru XV Crosstrek 2.0i Premium,"71,655 mi.","$15,499"
56,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,899"
57,2015 Subaru XV Crosstrek 2.0i Limited,"106,264 mi.","$14,988"
58,2014 Subaru XV Crosstrek Limited,"63,231 mi.","$16,900"
59,2014 Subaru XV Crosstrek Premium,"63,671 mi.","$16,500"
60,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
61,2015 Subaru XV Crosstrek 2.0i Premium,"2,208 mi.","$20,200"
62,2014 Subaru XV Crosstrek Premium,"69,572 mi.","$15,895"
63,2014 Subaru XV Crosstrek Premium,"33,913 mi.","$17,478"
64,2014 Subaru XV Crosstrek 2.0i Limited,"59,263 mi.","$16,899"
65,2014 Subaru XV Crosstrek Limited,"75,973 mi.","$17,349"
66,2015 Subaru XV Crosstrek 2.0i Premium,"53,186 mi.","$17,890"
67,2015 Subaru XV Crosstrek 2.0i Premium,"54,604 mi.","$17,499"
68,2014 Subaru XV Crosstrek Premium,"28,562 mi.","$18,686"
69,2014 Subaru XV Crosstrek 2.0i Limited,"67,350 mi.","$15,790"
70,2013 Subaru XV Crosstrek 2.0i Premium,"105,254 mi.","$12,450"
71,2013 Subaru XV Crosstrek 2.0i Limited,"87,865 mi.","$13,690"
72,2015 Subaru XV Crosstrek 2.0i Premium,"77,174 mi.","$15,334"
73,2015 Subaru XV Crosstrek 2.0i Premium,"32,009 mi.","$19,255"
74,2013 Subaru XV Crosstrek 2.0i Limited,"52,621 mi.","$16,500"
75,2014 Subaru XV Crosstrek 2.0i Premium,"39,740 mi.","$15,950"
76,2013 Subaru XV Crosstrek 2.0i Limited,"40,291 mi.","$17,950"
77,2014 Subaru XV Crosstrek Premium,"108,143 mi.","$13,537"
78,2015 Subaru XV Crosstrek 2.0i Premium,"35,656 mi.","$17,695"
79,2014 Subaru XV Crosstrek 2.0i Limited,"34,158 mi.","$17,995"
80,2015 Subaru XV Crosstrek 2.0i Limited,"28,450 mi.","$18,799"
81,2015 Subaru XV Crosstrek 2.0i Limited,"29,310 mi.","$18,856"
82,2014 Subaru XV Crosstrek 2.0i Premium,"55,331 mi.","$17,995"
83,2014 Subaru XV Crosstrek 2.0i Premium,"55,958 mi.","$17,497"
84,2013 Subaru XV Crosstrek 2.0i Premium,"72,292 mi.","$11,095"
85,2014 Subaru XV Crosstrek 2.0i Premium,"52,802 mi.","$14,996"
