,Name,Mileage,Price
0,2018 Toyota C-HR XLE,"7,867 mi.","$22,895"
1,2018 Toyota C-HR XLE,"15,305 mi.","$21,395"
2,2018 Toyota C-HR XLE Premium,"13,998 mi.","$21,990"
3,2019 Toyota C-HR LE,682 mi.,"$21,299"
4,2018 Toyota C-HR XLE,"19,774 mi.","$17,998"
5,2018 Toyota C-HR XLE,"2,921 mi.","$19,688"
6,2018 Toyota C-HR XLE Premium,"29,336 mi.","$21,488"
7,2018 Toyota C-HR XLE,"34,430 mi.","$17,200"
8,2018 Toyota C-HR XLE,"12,289 mi.","$20,481"
9,2018 Toyota C-HR XLE,"3,975 mi.","$20,994"
10,2018 Toyota C-HR XLE,"1,738 mi.","$20,885"
11,2018 Toyota C-HR,"13,232 mi.","$20,995"
12,2018 Toyota C-HR XLE FWD (Natl),"8,854 mi.","$24,950"
13,2019 Toyota C-HR LE,727 mi.,"$21,999"
14,2018 Toyota C-HR XLE Premium,"8,359 mi.","$23,998"
15,2018 Toyota C-HR XLE,"13,226 mi.","$19,586"
16,2018 Toyota C-HR XLE Premium,"8,691 mi.","$21,853"
17,2018 Toyota C-HR,"25,202 mi.","$19,981"
18,2018 Toyota C-HR,"6,213 mi.","$21,490"
19,2018 Toyota C-HR XLE Premium,"7,443 mi.","$20,760"
20,2019 Toyota C-HR Limited,"2,438 mi.","$25,270"
21,2018 Toyota C-HR XLE Premium,"11,809 mi.","$21,890"
22,2018 Toyota C-HR XLE,"12,375 mi.","$19,000"
23,2018 Toyota C-HR XLE Premium,"22,809 mi.","$18,922"
24,2018 Toyota C-HR XLE Premium,"14,505 mi.","$19,414"
25,2018 Toyota C-HR XLE Premium,"7,655 mi.","$19,999"
26,2018 Toyota C-HR XLE,"16,089 mi.","$20,195"
27,2018 Toyota C-HR XLE,"7,929 mi.","$19,233"
28,2018 Toyota C-HR XLE,"11,420 mi.","$19,776"
29,2018 Toyota C-HR XLE,"14,085 mi.","$18,975"
30,2018 Toyota C-HR XLE Premium,"4,773 mi.","$20,900"
31,2019 Toyota C-HR XLE,"6,235 mi.","$22,688"
32,2018 Toyota C-HR XLE Premium,"8,724 mi.","$20,999"
33,2018 Toyota C-HR XLE Premium,"15,508 mi.","$18,990"
34,2018 Toyota C-HR XLE,"7,758 mi.","$19,688"
35,2018 Toyota C-HR XLE Premium,"21,573 mi.","$19,922"
36,2018 Toyota C-HR XLE,"26,148 mi.","$19,900"
37,2018 Toyota C-HR XLE Premium,"10,960 mi.","$18,366"
38,2018 Toyota C-HR XLE,"5,835 mi.","$19,990"
39,2018 Toyota C-HR XLE,"11,030 mi.","$21,989"
40,2018 Toyota C-HR XLE,"11,404 mi.","$21,447"
41,2018 Toyota C-HR XLE,"7,283 mi.","$22,988"
42,2018 Toyota C-HR XLE,"12,129 mi.","$19,509"
43,2018 Toyota C-HR XLE,"19,468 mi.","$18,995"
44,2018 Toyota C-HR XLE Premium,"21,474 mi.","$21,990"
45,2018 Toyota C-HR XLE Premium,"4,810 mi.","$20,790"
46,2018 Toyota C-HR XLE,"8,328 mi.","$20,595"
47,2018 Toyota C-HR XLE,"8,577 mi.","$20,997"
48,2018 Toyota C-HR XLE Premium,"32,557 mi.","$18,992"
49,2018 Toyota C-HR XLE,"3,652 mi.","$20,000"
50,2018 Toyota C-HR XLE Premium,"24,688 mi.","$20,949"
51,2018 Toyota C-HR XLE Premium,"2,752 mi.","$21,500"
52,2018 Toyota C-HR XLE,"8,414 mi.","$20,490"
53,2018 Toyota C-HR XLE,"16,061 mi.","$19,848"
54,2018 Toyota C-HR XLE Premium,"4,987 mi.","$22,550"
55,2018 Toyota C-HR,"1,195 mi.","$20,710"
56,2018 Toyota C-HR XLE,"3,517 mi.","$19,393"
57,2018 Toyota C-HR XLE Premium,"4,287 mi.","$21,557"
58,2018 Toyota C-HR XLE Premium,"13,800 mi.","$20,000"
59,2018 Toyota C-HR XLE,"29,492 mi.","$17,998"
60,2018 Toyota C-HR XLE Premium,"22,848 mi.","$19,995"
61,2018 Toyota C-HR XLE,"14,760 mi.","$18,494"
62,2018 Toyota C-HR XLE,"14,023 mi.","$20,311"
63,2018 Toyota C-HR XLE Premium,"31,403 mi.","$19,921"
64,2018 Toyota C-HR XLE Premium,"2,857 mi.","$20,998"
65,2018 Toyota C-HR XLE Premium,"27,033 mi.","$17,900"
66,2018 Toyota C-HR XLE,"13,131 mi.","$19,899"
67,2018 Toyota C-HR XLE,"23,542 mi.","$17,485"
68,2018 Toyota C-HR XLE,"22,573 mi.","$18,600"
69,2019 Toyota C-HR XLE,613 mi.,"$20,888"
70,2018 Toyota C-HR XLE,"19,270 mi.","$17,313"
71,2018 Toyota C-HR XLE,"12,860 mi.","$17,995"
72,2018 Toyota C-HR XLE Premium,"3,003 mi.","$22,998"
73,2018 Toyota C-HR XLE Premium,"5,627 mi.","$21,500"
74,2018 Toyota C-HR XLE,"19,364 mi.","$18,700"
75,2018 Toyota C-HR XLE,"22,732 mi.","$17,700"
76,2018 Toyota C-HR XLE,"21,698 mi.","$18,948"
77,2018 Toyota C-HR XLE,"9,581 mi.","$20,198"
78,2018 Toyota C-HR XLE,"11,784 mi.","$18,990"
79,2018 Toyota C-HR XLE,"20,612 mi.","$17,477"
80,2018 Toyota C-HR XLE,"8,159 mi.","$19,985"
81,2018 Toyota C-HR XLE,"9,878 mi.","$18,980"
82,2018 Toyota C-HR XLE,"16,041 mi.","$18,890"
83,2018 Toyota C-HR XLE,"25,094 mi.","$17,998"
84,2018 Toyota C-HR XLE,"12,454 mi.","$19,000"
85,2018 Toyota C-HR XLE,"11,672 mi.","$19,995"
86,2018 Toyota C-HR XLE Premium,"24,222 mi.","$17,995"
87,2019 Toyota C-HR XLE,"5,404 mi.","$21,733"
88,2018 Toyota C-HR XLE Premium,"7,183 mi.","$19,969"
89,2018 Toyota C-HR XLE Premium,"9,139 mi.","$22,995"
90,2018 Toyota C-HR XLE,"7,109 mi.","$21,450"
91,2018 Toyota C-HR XLE Premium,"13,006 mi.","$20,448"
92,2018 Toyota C-HR XLE,"33,260 mi.","$17,648"
93,2019 Toyota C-HR LE,"7,580 mi.","$20,564"
94,2018 Toyota C-HR XLE,"10,800 mi.","$22,000"
95,2018 Toyota C-HR XLE Premium,"13,151 mi.","$19,600"
96,2018 Toyota C-HR XLE Premium,"20,174 mi.","$19,991"
97,2018 Toyota C-HR XLE,"11,327 mi.","$18,451"
98,2018 Toyota C-HR XLE,"9,322 mi.","$19,940"
99,2018 Toyota C-HR XLE Premium,"17,150 mi.","$19,988"
100,2019 Toyota C-HR LE,"4,016 mi.","$19,987"
101,2018 Toyota C-HR XLE Premium,"2,060 mi.","$21,000"
102,2018 Toyota C-HR XLE,"17,689 mi.","$18,995"
103,2018 Toyota C-HR XLE,"27,271 mi.","$18,800"
104,2018 Toyota C-HR XLE Premium,"10,115 mi.","$19,999"
