,Name,Mileage,Price
0,1991 Toyota Celica ST,"50,570 mi.","$6,950"
1,2000 Toyota Celica GT,"183,290 mi.","$2,697"
2,1999 Toyota Celica GT,"164,071 mi.","$2,999"
3,2000 Toyota Celica GT,"112,095 mi.","$4,252"
4,2001 Toyota Celica GT,"139,090 mi.","$6,000"
5,2001 Toyota Celica GT 2dr Hatchback,"202,000 mi.","$2,795"
6,2000 Toyota Celica GT,"106,701 mi.","$4,990"
7,2001 Toyota Celica GT,"197,444 mi.","$2,750"
8,2003 Toyota Celica GT,"126,957 mi.","$6,841"
9,2001 Toyota Celica GT 2dr Hatchback,"141,617 mi.","$4,195"
10,2002 Toyota Celica GT,"249,981 mi.","$3,995"
11,2003 Toyota Celica GT,"107,322 mi.","$5,787"
12,2002 Toyota Celica GT 2dr Hatchback,"58,914 mi.","$6,599"
13,2000 Toyota Celica GT,"156,365 mi.","$4,499"
14,2001 Toyota Celica GT,"140,901 mi.","$3,799"
15,1991 Toyota Celica GT,"114,696 mi.","$9,991"
16,2002 Toyota Celica GT,"214,228 mi.","$2,981"
17,1988 Toyota Celica GT,"172,074 mi.","$5,400"
18,2001 Toyota Celica GT S 2dr Hatchback,"126,133 mi.","$3,850"
19,2000 Toyota Celica GT,"173,581 mi.","$3,995"
20,1999 Toyota Celica GT,"157,228 mi.","$5,999"
21,1989 Toyota Celica GT,"114,665 mi.","$5,987"
22,2003 Toyota Celica GTS,"121,760 mi.","$6,999"
23,2002 Toyota Celica GT,"107,316 mi.","$6,975"
24,2003 Toyota Celica GT,"105,335 mi.","$7,999"
25,1991 Toyota Celica GT 2dr Convertible,"102,137 mi.","$3,999"
26,2003 Toyota Celica GT,"85,973 mi.","$5,995"
27,2000 Toyota Celica GT,"157,914 mi.","$4,499"
28,2000 Toyota Celica GTS,"160,835 mi.","$2,998"
29,2000 Toyota Celica GTS,"74,024 mi.","$6,995"
30,2001 Toyota Celica GT,"124,456 mi.","$1,895"
31,2002 Toyota Celica 3dr LB GTS (Natl),"176,001 mi.","$3,995"
32,2000 Toyota Celica GT,"172,218 mi.","$3,777"
33,2000 Toyota Celica GTS,"110,000 mi.","$3,951"
34,2003 Toyota Celica GT,"174,128 mi.","$3,450"
35,2000 Toyota Celica GT S 2dr Hatchback,"155,918 mi.","$3,695"
36,1998 Toyota Celica GT,"62,440 mi.","$7,996"
37,2001 Toyota Celica GT,"54,572 mi.","$7,895"
38,2000 Toyota Celica GT,"181,688 mi.","$1,795"
39,2001 Toyota Celica GT,"141,999 mi.","$2,795"
40,2000 Toyota Celica GTS,"249,552 mi.","$3,500"
41,2001 Toyota Celica GT,"249,313 mi.","$1,500"
42,2004 Toyota Celica GT 2dr Hatchback,"164,065 mi.","$3,995"
43,1996 Toyota Celica GT,"159,456 mi.","$2,995"
44,2002 Toyota Celica GT 2dr Hatchback,"145,762 mi.","$3,990"
45,2002 Toyota Celica GTS,"114,709 mi.","$5,750"
46,2004 Toyota Celica GTS,"106,341 mi.","$8,997"
47,2004 Toyota Celica GT,"138,279 mi.","$4,977"
48,1995 Toyota Celica GT,"86,430 mi.","$5,995"
49,2001 Toyota Celica GT,"197,444 mi.","$2,750"
50,1999 Toyota Celica GT,"101,125 mi.","$3,991"
51,2005 Toyota Celica GT 2dr Hatchback,"117,868 mi.","$5,595"
52,2003 Toyota Celica GT,"133,250 mi.","$3,995"
53,2004 Toyota Celica GTS 2dr Hatchback,"160,000 mi.","$4,500"
54,1999 Toyota Celica GT,"148,400 mi.","$3,850"
55,2000 Toyota Celica GTS,"105,721 mi.","$4,995"
56,2000 Toyota Celica GT,"157,800 mi.","$2,995"
57,2000 Toyota Celica GT S 2dr Hatchback,"131,501 mi.","$4,995"
58,2000 Toyota Celica GT,"202,961 mi.","$3,487"
59,1993 Toyota Celica GT,"170,981 mi.","$4,995"
60,2001 Toyota Celica GT,"157,681 mi.","$1,999"
61,2000 Toyota Celica GTS,"80,749 mi.","$5,995"
62,2003 Toyota Celica GT S 2dr Hatchback,"150,811 mi.","$3,799"
63,2005 Toyota Celica GTS,"109,469 mi.","$5,775"
64,2001 Toyota Celica 3dr LB GT Auto (Natl),"134,918 mi.","$3,996"
65,1997 Toyota Celica GT,"94,760 mi.","$4,995"
66,2002 Toyota Celica GT,"85,406 mi.","$7,495"
67,2003 Toyota Celica GTS,"95,000 mi.","$7,995"
68,2005 Toyota Celica GT 2dr Hatchback,"169,737 mi.","$4,995"
69,2000 Toyota Celica GT 2dr Hatchback,"140,620 mi.","$2,999"
70,1982 Toyota Celica,"24,741 mi.","$9,000"
71,1993 Toyota Celica GT,"38,000 mi.","$8,500"
72,1997 Toyota Celica GT,"82,514 mi.","$6,990"
73,2002 Toyota Celica GT,"114,000 mi.","$7,000"
74,1995 Toyota Celica ST,"200,443 mi.",$895
75,1981 Toyota Celica,"206,000 mi.","$8,000"
76,2001 Toyota Celica GTS,"211,000 mi.","$2,000"
77,1993 Toyota Celica GT,"94,000 mi.","$2,700"
78,1992 Toyota Celica GT-S,"160,812 mi.","$2,800"
79,1981 Toyota Celica,"120,000 mi.","$6,200"
80,2000 Toyota Celica GT,"275,000 mi.","$1,500"
81,2004 Toyota Celica GT,"75,334 mi.","$6,000"
82,1995 Toyota Celica GT,"180,000 mi.","$1,100"
83,1992 Toyota Celica GT,"141,128 mi.",$850
84,1994 Toyota Celica GT,"127,000 mi.",$850
85,1980 Toyota Celica,"71,000 mi.","$6,999"
86,2003 Toyota Celica GT,"86,000 mi.","$8,000"
87,1995 Toyota Celica GT,"170,000 mi.","$5,500"
88,1995 Toyota Celica ST,"224,335 mi.",Not Priced
89,1983 Toyota Celica,"88,817 mi.","$10,995"
90,2003 Toyota Celica GT,0 mi.,"$5,995"
91,1994 Toyota Celica ST,"268,797 mi.",Not Priced
92,2000 Toyota Celica GT,"162,800 mi.","$3,988"
93,2000 Toyota Celica GT,0 mi.,"$2,999"
