,Name,Mileage,Price
0,2018 Toyota Corolla iM Base,"7,235 mi.","$17,300"
1,2017 Toyota Corolla iM Base,"14,104 mi.","$15,700"
2,2018 Toyota Corolla iM Base,"21,316 mi.","$18,500"
3,2017 Toyota Corolla iM Base,"35,589 mi.","$15,998"
4,2017 Toyota Corolla iM Base,"42,231 mi.","$15,888"
5,2018 Toyota Corolla iM Base,"23,486 mi.","$14,998"
6,2018 Toyota Corolla iM Base,"18,414 mi.","$15,000"
7,2018 Toyota Corolla iM Base,"15,095 mi.","$17,400"
8,2017 Toyota Corolla iM Base,"24,739 mi.","$16,688"
9,2017 Toyota Corolla iM Base,"39,789 mi.","$16,988"
10,2017 Toyota Corolla iM Base,"10,760 mi.","$16,998"
11,2018 Toyota Corolla iM Base,"22,063 mi.","$15,888"
12,2017 Toyota Corolla iM Base,"23,191 mi.","$14,800"
13,2018 Toyota Corolla iM Base,"11,620 mi.","$16,146"
14,2017 Toyota Corolla iM Base,"17,671 mi.","$17,381"
15,2017 Toyota Corolla iM Base,"15,629 mi.","$12,500"
16,2017 Toyota Corolla iM Base,"27,536 mi.","$13,985"
17,2018 Toyota Corolla iM Base,"8,625 mi.","$21,888"
18,2018 Toyota Corolla iM Base,"11,412 mi.","$17,758"
19,2018 Toyota Corolla iM Base,"43,565 mi.","$14,999"
20,2017 Toyota Corolla iM Base,"35,866 mi.","$14,684"
21,2017 Toyota Corolla iM Base,"30,714 mi.","$14,850"
22,2018 Toyota Corolla iM,"8,254 mi.","$16,299"
23,2017 Toyota Corolla iM Base,"5,095 mi.","$16,888"
24,2018 Toyota Corolla iM Base,"6,269 mi.","$16,998"
25,2018 Toyota Corolla iM Base,"6,448 mi.","$17,494"
26,2018 Toyota Corolla iM Base,"9,790 mi.","$16,990"
27,2017 Toyota Corolla iM Base,"29,273 mi.","$15,067"
28,2017 Toyota Corolla iM Base,"14,917 mi.","$15,999"
29,2018 Toyota Corolla iM,"22,952 mi.","$15,599"
30,2017 Toyota Corolla iM Base,"13,692 mi.","$15,900"
31,2018 Toyota Corolla iM Base,"4,439 mi.","$16,788"
32,2018 Toyota Corolla iM Base,"6,045 mi.","$16,688"
33,2018 Toyota Corolla iM Base,"1,813 mi.","$16,988"
34,2018 Toyota Corolla iM Base,"3,860 mi.","$16,888"
35,2018 Toyota Corolla iM Base,"2,410 mi.","$17,424"
36,2017 Toyota Corolla iM BASE,"17,181 mi.","$15,995"
