,Name,Mileage,Price
0,2016 Toyota Corolla L,"28,827 mi.","$12,988"
1,2010 Toyota Corolla LE,"100,300 mi.","$7,988"
2,2016 Toyota Corolla S Plus,"18,495 mi.","$13,990"
3,2017 Toyota Corolla SE,"51,050 mi.","$14,588"
4,2017 Toyota Corolla SE,"19,479 mi.","$16,375"
5,2018 Toyota Corolla LE,"37,617 mi.","$14,788"
6,2016 Toyota Corolla LE,"78,030 mi.","$9,990"
7,2017 Toyota Corolla LE,"40,100 mi.","$12,290"
8,2016 Toyota Corolla LE,"78,920 mi.","$10,290"
9,2016 Toyota Corolla LE,"77,440 mi.","$10,490"
10,2009 Toyota Corolla S,"124,886 mi.","$6,995"
11,2013 Toyota Corolla LE,"79,856 mi.","$10,611"
12,2015 Toyota Corolla S,"90,325 mi.","$10,692"
13,2013 Toyota Corolla,"53,741 mi.","$11,991"
14,2017 Toyota Corolla SE,"14,844 mi.","$14,551"
15,2017 Toyota Corolla LE,"37,444 mi.","$13,762"
16,2012 Toyota Corolla LE,"95,239 mi.","$8,633"
17,2013 Toyota Corolla S,"120,650 mi.","$8,990"
18,2008 Toyota Corolla CE,"192,074 mi.","$3,488"
19,2008 Toyota Corolla S,"135,231 mi.","$5,500"
20,2014 Toyota Corolla LE,"114,942 mi.","$8,896"
21,2015 Toyota Corolla LE,"32,457 mi.","$10,899"
22,2017 Toyota Corolla LE,"32,112 mi.","$11,999"
23,2016 Toyota Corolla LE,"35,826 mi.","$11,499"
24,2015 Toyota Corolla LE,"34,481 mi.","$12,000"
25,2015 Toyota Corolla LE,"32,457 mi.","$10,899"
26,2016 Toyota Corolla LE,"35,826 mi.","$11,499"
27,2016 Toyota Corolla S,"32,392 mi.","$11,994"
28,2017 Toyota Corolla LE,"49,249 mi.","$11,447"
29,2015 Toyota Corolla LE,"67,854 mi.","$11,495"
30,2016 Toyota Corolla S Plus,"28,837 mi.","$14,499"
31,2015 Toyota Corolla S,"57,930 mi.","$10,999"
32,2016 Toyota Corolla S,"28,329 mi.","$13,998"
33,2017 Toyota Corolla LE,"52,975 mi.","$11,990"
34,2013 Toyota Corolla LE,"67,337 mi.","$10,977"
35,2014 Toyota Corolla LE,"111,348 mi.","$9,790"
36,2019 Toyota Corolla LE,971 mi.,"$17,498"
37,2014 Toyota Corolla LE,"37,891 mi.","$10,500"
38,2016 Toyota Corolla S Plus,"10,444 mi.","$13,971"
39,2017 Toyota Corolla LE,"32,112 mi.","$11,999"
40,2016 Toyota Corolla LE,"35,826 mi.","$11,499"
41,2018 Toyota Corolla LE,"7,955 mi.","$15,471"
42,2016 Toyota Corolla LE,"58,476 mi.","$11,991"
43,2013 Toyota Corolla LE,"61,000 mi.","$9,990"
44,2014 Toyota Corolla S,"90,702 mi.","$11,990"
45,2008 Toyota Corolla LE,"113,547 mi.","$6,845"
46,2014 Toyota Corolla LE,"84,830 mi.","$10,988"
47,2011 Toyota Corolla LE,"36,900 mi.","$10,785"
48,2017 Toyota Corolla XLE,"15,222 mi.","$16,640"
49,2015 Toyota Corolla L,"70,366 mi.","$10,905"
50,2011 Toyota Corolla LE,"70,226 mi.","$9,595"
51,2017 Toyota Corolla L,"12,114 mi.","$19,999"
52,2009 Toyota Corolla LE,"91,022 mi.","$6,786"
53,2017 Toyota Corolla L,"29,244 mi.","$14,591"
