,Name,Mileage,Price
0,1994 Toyota Pickup DX,"110,427 mi.","$3,795"
1,1991 Toyota Pickup Deluxe,"278,183 mi.","$2,637"
2,1991 Toyota Pickup,"213,619 mi.","$2,000"
3,1990 Toyota Pickup,"23,000 mi.","$1,200"
4,1994 Toyota Pickup SR5 Xtracab,"221,000 mi.","$2,000"
5,1989 Toyota Pickup,"153,068 mi.","$12,999"
6,1980 Toyota Pickup,"230,066 mi.","$12,995"
7,1988 Toyota Pickup,"112,000 mi.","$3,200"
8,1989 Toyota Pickup,"99,500 mi.","$39,500"
9,1988 Toyota Pickup,"225,700 mi.","$3,900"
10,1986 Toyota Pickup SR5,"80,000 mi.","$4,500"
11,1993 Toyota Pickup SR5 Xtracab,"206,800 mi.","$4,600"
12,1979 Toyota Pickup Standard,0 mi.,"$5,995"
13,1994 Toyota Pickup,"288,098 mi.","$3,988"
