,Name,Mileage,Price
0,2015 Toyota Prius Plug-in,"90,583 mi.","$14,795"
1,2012 Toyota Prius Plug-in Advanced,"109,667 mi.","$9,755"
2,2012 Toyota Prius Plug-in Base,"93,483 mi.","$10,135"
3,2012 Toyota Prius Plug-in,"109,920 mi.","$9,991"
4,2013 Toyota Prius Plug-in,"97,517 mi.","$11,981"
5,2015 Toyota Prius Plug-in,"79,720 mi.","$14,700"
6,2014 Toyota Prius Plug-in,"70,107 mi.","$13,700"
7,2015 Toyota Prius Plug-in Advanced,"46,779 mi.","$17,000"
8,2014 Toyota Prius Plug-in,"64,262 mi.","$14,500"
9,2012 Toyota Prius Plug-in Advanced,"78,111 mi.","$13,000"
10,2014 Toyota Prius Plug-in Base,"141,585 mi.","$10,399"
11,2015 Toyota Prius Plug-in Base,"42,665 mi.","$19,999"
12,2012 Toyota Prius Plug-in Advanced,"164,601 mi.","$7,999"
13,2015 Toyota Prius Plug-in Base,"102,546 mi.","$12,899"
14,2013 Toyota Prius Plug-in Advanced,"40,042 mi.","$18,500"
15,2013 Toyota Prius Plug-in,"77,950 mi.","$14,350"
16,2013 Toyota Prius Plug-in 5DR HB,"73,352 mi.","$10,991"
17,2015 Toyota Prius Plug-in Base,"84,736 mi.","$12,988"
18,2015 Toyota Prius Plug-in,"140,806 mi.","$11,000"
19,2014 Toyota Prius Plug-in,"82,676 mi.","$13,599"
20,2014 Toyota Prius Plug-in,"66,628 mi.","$14,998"
21,2015 Toyota Prius Plug-in Advanced,"59,599 mi.","$17,998"
22,2015 Toyota Prius Plug-in Base,"60,341 mi.","$15,288"
23,2015 Toyota Prius Plug-in,"52,445 mi.","$17,588"
24,2015 Toyota Prius Plug-in,"73,549 mi.","$15,588"
25,2015 Toyota Prius Plug-in Advanced,"69,906 mi.","$18,188"
26,2015 Toyota Prius Plug-in Advanced,"58,286 mi.","$17,300"
27,2013 Toyota Prius Plug-in,"76,674 mi.","$13,998"
28,2014 Toyota Prius Plug-in,"44,482 mi.","$16,998"
29,2014 Toyota Prius Plug-in Base,"59,924 mi.","$16,950"
30,2015 Toyota Prius Plug-in Base,"40,722 mi.","$17,695"
31,2015 Toyota Prius Plug-in Base,"57,702 mi.","$16,977"
32,2013 Toyota Prius Plug-in Advanced,"61,496 mi.","$17,000"
33,2014 Toyota Prius Plug-in Advanced,"91,884 mi.","$14,000"
34,2012 Toyota Prius Plug-in,"160,935 mi.","$8,495"
35,2014 Toyota Prius Plug-in,"46,184 mi.","$16,991"
36,2015 Toyota Prius Plug-in Advanced,"52,070 mi.","$16,994"
37,2015 Toyota Prius Plug-in Advanced,"52,131 mi.","$15,800"
38,2014 Toyota Prius Plug-in,"62,410 mi.","$13,992"
39,2015 Toyota Prius Plug-in,"72,655 mi.","$15,750"
40,2014 Toyota Prius Plug-in Hatchback,"44,144 mi.","$16,888"
41,2013 Toyota Prius Plug-in Base,"61,084 mi.","$14,598"
42,2015 Toyota Prius Plug-in Base,"92,401 mi.","$14,781"
43,2012 Toyota Prius Plug-in Advanced,"99,621 mi.","$12,991"
44,2014 Toyota Prius Plug-in Base,"40,209 mi.","$15,900"
45,2015 Toyota Prius Plug-in Base,"35,938 mi.","$16,988"
46,2015 Toyota Prius Plug-in Advanced,"56,778 mi.","$15,582"
47,2013 Toyota Prius Plug-in Advanced,"76,819 mi.","$12,888"
48,2014 Toyota Prius Plug-in Base,"81,518 mi.","$13,712"
49,2014 Toyota Prius Plug-in Base,"56,978 mi.","$15,988"
