,Name,Mileage,Price
0,2015 Toyota Prius Two,"37,218 mi.","$18,695"
1,2011 Toyota Prius II,"87,070 mi.","$9,995"
2,2012 Toyota Prius Five,"89,534 mi.","$11,493"
3,2014 Toyota Prius Three,"37,801 mi.","$14,500"
4,2015 Toyota Prius Two,"59,816 mi.","$13,250"
5,2014 Toyota Prius Four,"77,137 mi.","$13,421"
6,2015 Toyota Prius Two,"33,736 mi.","$15,998"
7,2015 Toyota Prius Three,"24,131 mi.","$16,887"
8,2010 Toyota Prius II,"71,667 mi.","$9,931"
9,2016 Toyota Prius Two Eco,"57,018 mi.","$16,990"
10,2018 Toyota Prius Four,"8,224 mi.","$26,969"
11,2015 Toyota Prius Four,"99,738 mi.","$10,900"
12,2011 Toyota Prius III,"60,258 mi.","$11,498"
13,2014 Toyota Prius Two,"51,288 mi.","$13,499"
14,2014 Toyota Prius Two,"59,621 mi.","$13,000"
15,2015 Toyota Prius Two,"64,995 mi.","$14,992"
16,2016 Toyota Prius Four,"42,881 mi.","$21,898"
17,2009 Toyota Prius,"104,913 mi.","$7,990"
18,2015 Toyota Prius Three,"73,070 mi.","$13,999"
19,2011 Toyota Prius III,"71,873 mi.","$11,495"
20,2014 Toyota Prius Two,"40,852 mi.","$14,000"
21,2017 Toyota Prius Two,"36,651 mi.","$17,579"
22,2014 Toyota Prius Three,"71,402 mi.","$12,000"
23,2011 Toyota Prius III,"82,821 mi.","$10,077"
24,2010 Toyota Prius II,"71,190 mi.","$9,985"
25,2016 Toyota Prius Two,"34,920 mi.","$18,497"
26,2008 Toyota Prius,"133,383 mi.","$4,487"
27,2010 Toyota Prius I,"150,884 mi.","$4,995"
28,2015 Toyota Prius Four,"41,898 mi.","$17,998"
29,2015 Toyota Prius Three,"148,327 mi.","$10,063"
30,2015 Toyota Prius Two,"80,794 mi.","$12,930"
31,2012 Toyota Prius Base,"89,291 mi.","$11,412"
32,2017 Toyota Prius Four,"38,361 mi.","$17,998"
33,2014 Toyota Prius Two,"41,309 mi.","$14,800"
34,2011 Toyota Prius II,"35,129 mi.","$12,795"
35,2015 Toyota Prius Four,"26,957 mi.","$16,646"
36,2015 Toyota Prius Four,"60,788 mi.","$16,488"
37,2015 Toyota Prius Three,"65,327 mi.","$15,585"
38,2017 Toyota Prius Four,"38,402 mi.","$19,595"
39,2016 Toyota Prius Four,"50,110 mi.","$18,493"
40,2014 Toyota Prius,"80,887 mi.","$11,999"
41,2010 Toyota Prius II,"90,861 mi.","$9,801"
42,2009 Toyota Prius,"105,747 mi.","$7,000"
43,2015 Toyota Prius Two,"111,645 mi.","$10,888"
44,2010 Toyota Prius III,"148,929 mi.","$6,559"
45,2010 Toyota Prius III,"63,939 mi.","$10,299"
46,2016 Toyota Prius Two,"25,586 mi.","$14,999"
47,2015 Toyota Prius Three,"54,235 mi.","$15,876"
48,2010 Toyota Prius III,"38,429 mi.","$12,260"
49,2016 Toyota Prius Four,"26,504 mi.","$20,649"
50,2017 Toyota Prius Four Touring,"22,775 mi.","$23,995"
51,2016 Toyota Prius Two,"36,849 mi.","$19,601"
52,2014 Toyota Prius Two,"85,335 mi.","$11,499"
53,2016 Toyota Prius Two Eco,"40,659 mi.","$20,991"
54,2015 Toyota Prius Three,"69,021 mi.","$15,900"
55,2016 Toyota Prius Four,"28,844 mi.","$19,987"
56,2006 Toyota Prius,"168,763 mi.","$4,575"
57,2013 Toyota Prius Three,"103,613 mi.","$9,999"
58,2017 Toyota Prius Four,"28,604 mi.","$19,924"
59,2014 Toyota Prius Two,"36,021 mi.","$13,983"
60,2006 Toyota Prius Base,"177,619 mi.","$3,580"
61,2007 Toyota Prius,"132,350 mi.","$4,482"
62,2015 Toyota Prius Three,"41,379 mi.","$14,549"
63,2018 Toyota Prius One,"9,267 mi.","$19,977"
64,2012 Toyota Prius Two,"48,253 mi.","$11,363"
65,2013 Toyota Prius,"85,659 mi.","$8,888"
66,2015 Toyota Prius Five,"60,906 mi.","$15,842"
67,2011 Toyota Prius II,"89,380 mi.","$10,242"
68,2016 Toyota Prius Three,"45,316 mi.","$17,310"
69,2016 Toyota Prius Two,"40,917 mi.","$17,153"
70,2011 Toyota Prius II,"82,847 mi.","$9,975"
71,2015 Toyota Prius Two,"34,422 mi.","$13,798"
72,2018 Toyota Prius Two,"12,371 mi.","$16,999"
73,2010 Toyota Prius I,"74,525 mi.","$7,683"
74,2015 Toyota Prius Four,"49,065 mi.","$14,995"
75,2009 Toyota Prius,"97,120 mi.","$6,500"
76,2012 Toyota Prius Two,"52,915 mi.","$10,898"
77,2008 Toyota Prius Base,"78,059 mi.","$6,966"
78,2013 Toyota Prius Two,"51,250 mi.","$13,500"
79,2011 Toyota Prius II,"174,470 mi.","$5,998"
80,2017 Toyota Prius Three Touring,"37,696 mi.","$19,733"
81,2015 Toyota Prius Four,"35,898 mi.","$14,995"
82,2018 Toyota Prius Two,"21,583 mi.","$19,998"
83,2015 Toyota Prius Two,"18,340 mi.","$15,680"
84,2016 Toyota Prius Four,"28,419 mi.","$20,997"
85,2015 Toyota Prius Three,"31,128 mi.","$17,750"
86,2017 Toyota Prius Two,"28,879 mi.","$18,750"
87,2016 Toyota Prius Three,"20,613 mi.","$22,775"
88,2012 Toyota Prius Five,"85,826 mi.","$11,499"
89,2015 Toyota Prius Persona Series Special Edition,"39,297 mi.","$15,998"
90,2016 Toyota Prius Two,"20,172 mi.","$17,999"
91,2015 Toyota Prius Three,"137,880 mi.","$9,130"
92,2010 Toyota Prius II,"94,095 mi.","$7,983"
93,2014 Toyota Prius Two,"57,533 mi.","$12,495"
94,2017 Toyota Prius Two,"10,054 mi.","$19,000"
95,2009 Toyota Prius,"90,332 mi.","$7,250"
96,2015 Toyota Prius Two,"52,170 mi.","$13,000"
97,2014 Toyota Prius Three,"42,340 mi.","$13,498"
98,2015 Toyota Prius One,"46,520 mi.","$14,498"
99,2017 Toyota Prius Two,"24,591 mi.","$18,990"
100,2014 Toyota Prius Four,"44,825 mi.","$15,990"
101,2014 Toyota Prius,"63,735 mi.","$13,896"
102,2011 Toyota Prius II,"82,095 mi.","$11,588"
103,2015 Toyota Prius Two,"36,355 mi.","$17,488"
104,2015 Toyota Prius Two,"25,437 mi.","$16,998"
105,2015 Toyota Prius Two,"26,837 mi.","$16,998"
106,2015 Toyota Prius Two,"30,268 mi.","$16,998"
107,2015 Toyota Prius Two,"30,440 mi.","$16,998"
108,2015 Toyota Prius Two,"28,829 mi.","$16,998"
109,2015 Toyota Prius Two,"29,203 mi.","$16,698"
110,2015 Toyota Prius Two,"33,697 mi.","$16,490"
111,2013 Toyota Prius Two,"75,333 mi.","$11,500"
112,2015 Toyota Prius Two,"65,994 mi.","$13,570"
113,2015 Toyota Prius Four,"35,850 mi.","$16,699"
114,2015 Toyota Prius Four,"41,801 mi.","$15,999"
115,2016 Toyota Prius Three,"23,657 mi.","$18,999"
116,2016 Toyota Prius Two,"11,925 mi.","$19,800"
117,2014 Toyota Prius Three,"56,030 mi.","$14,600"
118,2012 Toyota Prius Two,"77,978 mi.","$11,098"
119,2017 Toyota Prius Two,"36,411 mi.","$18,392"
