,Name,Mileage,Price
0,2016 Toyota RAV4 Hybrid XLE,"46,343 mi.","$21,679"
1,2017 Toyota RAV4 Hybrid Limited,"12,935 mi.","$26,995"
2,2016 Toyota RAV4 Hybrid XLE,"41,142 mi.","$24,998"
3,2016 Toyota RAV4 Hybrid Limited,"24,505 mi.","$27,200"
4,2017 Toyota RAV4 Hybrid SE,"19,922 mi.","$29,989"
5,2016 Toyota RAV4 Hybrid Limited,"29,329 mi.","$26,996"
6,2016 Toyota RAV4 Hybrid XLE,"36,359 mi.","$22,980"
7,2017 Toyota RAV4 Hybrid XLE,"9,769 mi.","$27,990"
8,2017 Toyota RAV4 Hybrid Limited,"7,904 mi.","$28,480"
9,2017 Toyota RAV4 Hybrid XLE,"13,156 mi.","$23,993"
10,2017 Toyota RAV4 Hybrid Limited,"31,889 mi.","$22,977"
11,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
12,2016 Toyota RAV4 Hybrid XLE,"75,380 mi.","$17,579"
13,2017 Toyota RAV4 Hybrid XLE,"25,275 mi.","$25,500"
14,2016 Toyota RAV4 Hybrid Limited,"59,315 mi.","$24,416"
15,2016 Toyota RAV4 Hybrid Limited,"35,635 mi.","$25,400"
16,2016 Toyota RAV4 Hybrid Limited,"64,617 mi.","$22,500"
17,2016 Toyota RAV4 Hybrid Limited,"21,125 mi.","$27,807"
18,2016 Toyota RAV4 Hybrid XLE,"37,937 mi.","$22,274"
19,2018 Toyota RAV4 Hybrid Limited,"13,403 mi.","$32,995"
20,2017 Toyota RAV4 Hybrid XLE,"36,834 mi.","$21,937"
21,2017 Toyota RAV4 Hybrid Limited,"21,826 mi.","$27,429"
22,2016 Toyota RAV4 Hybrid XLE,"50,403 mi.","$20,900"
23,2017 Toyota RAV4 Hybrid LE Plus,"20,535 mi.","$23,774"
24,2017 Toyota RAV4 Hybrid XLE,"22,847 mi.","$25,021"
25,2017 Toyota RAV4 Hybrid XLE,"30,124 mi.","$24,820"
26,2018 Toyota RAV4 Hybrid LE,"11,635 mi.","$26,399"
27,2016 Toyota RAV4 Hybrid Limited,"60,309 mi.","$22,899"
28,2016 Toyota RAV4 Hybrid XLE,"38,620 mi.","$22,599"
29,2016 Toyota RAV4 Hybrid XLE,"34,231 mi.","$22,199"
30,2016 Toyota RAV4 Hybrid Limited,"57,839 mi.","$24,047"
31,2018 Toyota RAV4 Hybrid Limited,"5,085 mi.","$29,900"
32,2017 Toyota RAV4 Hybrid XLE,"53,829 mi.","$19,999"
33,2017 Toyota RAV4 Hybrid Limited,"16,155 mi.","$27,400"
34,2016 Toyota RAV4 Hybrid Limited,"49,184 mi.","$22,950"
35,2016 Toyota RAV4 Hybrid Limited,"20,892 mi.","$27,412"
36,2016 Toyota RAV4 Hybrid Limited,"29,985 mi.","$26,000"
37,2016 Toyota RAV4 Hybrid Limited,"59,513 mi.","$22,890"
38,2017 Toyota RAV4 Hybrid Limited,"13,196 mi.","$26,900"
39,2018 Toyota RAV4 Hybrid Limited,"5,074 mi.","$32,159"
40,2016 Toyota RAV4 Hybrid Limited,"43,253 mi.","$24,999"
41,2016 Toyota RAV4 Hybrid XLE,"88,458 mi.","$17,602"
42,2017 Toyota RAV4 Hybrid XLE,"5,995 mi.","$25,999"
43,2017 Toyota RAV4 Hybrid XLE,"13,096 mi.","$26,918"
44,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
45,2016 Toyota RAV4 Hybrid Limited,"34,608 mi.","$25,799"
46,2016 Toyota RAV4 Hybrid XLE,"24,302 mi.","$22,800"
47,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
48,2016 Toyota RAV4 Hybrid XLE,"19,213 mi.","$22,894"
49,2016 Toyota RAV4 Hybrid XLE,"43,264 mi.","$22,488"
50,2017 Toyota RAV4 Hybrid SE,"11,327 mi.","$26,987"
51,2016 Toyota RAV4 Hybrid XLE,"24,302 mi.","$22,800"
52,2016 Toyota RAV4 Hybrid Limited,"24,376 mi.","$26,996"
53,2016 Toyota RAV4 Hybrid XLE,"42,693 mi.","$21,104"
54,2016 Toyota RAV4 Hybrid XLE,"38,522 mi.","$21,452"
55,2016 Toyota RAV4 Hybrid Limited,"45,679 mi.","$23,445"
56,2017 Toyota RAV4 Hybrid Limited,"17,642 mi.","$27,974"
57,2017 Toyota RAV4 Hybrid XLE,"12,808 mi.","$25,122"
58,2017 Toyota RAV4 Hybrid Limited,"25,525 mi.","$27,042"
59,2016 Toyota RAV4 Hybrid XLE,"24,885 mi.","$22,881"
60,2017 Toyota RAV4 Hybrid XLE,"14,376 mi.","$24,808"
61,2016 Toyota RAV4 Hybrid Limited,"41,000 mi.","$25,988"
62,2017 Toyota RAV4 Hybrid XLE,"15,788 mi.","$22,285"
63,2017 Toyota RAV4 Hybrid XLE,"11,882 mi.","$24,477"
64,2017 Toyota RAV4 Hybrid Limited,"17,061 mi.","$26,799"
65,2017 Toyota RAV4 Hybrid LE Plus,"15,345 mi.","$27,900"
66,2016 Toyota RAV4 Hybrid XLE,"28,138 mi.","$23,369"
67,2016 Toyota RAV4 Hybrid XLE,"27,247 mi.","$22,989"
68,2016 Toyota RAV4 Hybrid XLE,"41,762 mi.","$20,989"
69,2016 Toyota RAV4 Hybrid Limited,"29,820 mi.","$24,387"
70,2016 Toyota RAV4 Hybrid XLE,"20,848 mi.","$23,920"
71,2016 Toyota RAV4 Hybrid XLE,"65,939 mi.","$19,700"
72,2018 Toyota RAV4 Hybrid XLE,"12,943 mi.","$25,165"
73,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
74,2016 Toyota RAV4 Hybrid XLE,"15,595 mi.","$23,964"
75,2017 Toyota RAV4 Hybrid XLE,"30,314 mi.","$23,750"
76,2017 Toyota RAV4 Hybrid XLE,"22,115 mi.","$23,500"
77,2016 Toyota RAV4 Hybrid Limited,"60,749 mi.","$21,994"
78,2017 Toyota RAV4 Hybrid XLE,"26,250 mi.","$24,499"
79,2018 Toyota RAV4 Hybrid XLE,"1,472 mi.","$25,888"
80,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
81,2016 Toyota RAV4 Hybrid XLE,"44,627 mi.","$21,988"
82,2016 Toyota RAV4 Hybrid Limited,"39,949 mi.","$24,027"
83,2016 Toyota RAV4 Hybrid XLE,"40,446 mi.","$21,500"
84,2016 Toyota RAV4 Hybrid Limited,"45,509 mi.","$21,999"
85,2016 Toyota RAV4 Hybrid XLE,"30,605 mi.","$20,750"
86,2016 Toyota RAV4 Hybrid XLE,"16,714 mi.","$24,450"
87,2017 Toyota RAV4 Hybrid Limited,"38,983 mi.","$23,988"
88,2016 Toyota RAV4 Hybrid XLE,"29,735 mi.","$22,874"
89,2016 Toyota RAV4 Hybrid Limited,"42,345 mi.","$24,147"
90,2016 Toyota RAV4 Hybrid Limited,"35,950 mi.","$25,000"
91,2016 Toyota RAV4 Hybrid Limited,"44,053 mi.","$25,000"
