,Name,Mileage,Price
0,2016 Toyota Sequoia Platinum,"55,018 mi.","$41,500"
1,2016 Toyota Sequoia SR5,"28,395 mi.","$32,998"
2,2003 Toyota Sequoia Limited,"87,884 mi.","$9,885"
3,2014 Toyota Sequoia Limited,"56,242 mi.","$33,000"
4,2015 Toyota Sequoia Limited,"36,878 mi.","$42,976"
5,2018 Toyota Sequoia SR5,"28,137 mi.","$39,550"
6,2018 Toyota Sequoia SR5,"28,185 mi.","$39,550"
7,2018 Toyota Sequoia SR5,"28,137 mi.","$39,550"
8,2007 Toyota Sequoia SR5,"228,776 mi.","$6,695"
9,2005 Toyota Sequoia Limited,"86,225 mi.","$15,494"
10,2015 Toyota Sequoia Limited,"71,637 mi.","$34,495"
11,2010 Toyota Sequoia Platinum,"247,308 mi.","$11,995"
12,2017 Toyota Sequoia SR5,"44,758 mi.","$31,999"
13,2017 Toyota Sequoia SR5,"47,753 mi.","$34,585"
14,2013 Toyota Sequoia Limited,"69,106 mi.","$29,981"
15,2018 Toyota Sequoia SR5,"18,721 mi.","$41,747"
16,2017 Toyota Sequoia SR5,"25,256 mi.","$36,800"
17,2011 Toyota Sequoia Platinum,"93,651 mi.","$25,877"
18,2010 Toyota Sequoia Platinum,"172,383 mi.","$16,995"
19,2017 Toyota Sequoia SR5,"41,543 mi.","$32,998"
20,2016 Toyota Sequoia SR5,"54,278 mi.","$31,495"
21,2018 Toyota Sequoia Limited,"15,084 mi.","$49,998"
22,2016 Toyota Sequoia Limited,"26,194 mi.","$38,999"
23,2015 Toyota Sequoia Limited,"92,405 mi.","$31,193"
24,2014 Toyota Sequoia Platinum,"62,577 mi.","$34,450"
25,2016 Toyota Sequoia SR5,"28,130 mi.","$35,551"
26,2017 Toyota Sequoia Limited,"36,939 mi.","$37,399"
27,2015 Toyota Sequoia Limited,"34,016 mi.","$34,399"
28,2016 Toyota Sequoia Platinum,"29,741 mi.","$41,466"
29,2017 Toyota Sequoia SR5,"36,738 mi.","$31,500"
30,2012 Toyota Sequoia Limited,"98,161 mi.","$26,700"
31,2016 Toyota Sequoia Platinum,"24,309 mi.","$47,675"
32,2018 Toyota Sequoia,"16,766 mi.","$37,474"
33,2010 Toyota Sequoia Platinum,"165,289 mi.","$14,807"
34,2016 Toyota Sequoia Limited,"26,841 mi.","$37,399"
35,2015 Toyota Sequoia Limited,"34,016 mi.","$34,399"
36,2016 Toyota Sequoia Platinum,"59,066 mi.","$45,500"
37,2015 Toyota Sequoia Platinum,"36,352 mi.","$39,991"
38,2016 Toyota Sequoia Platinum,"55,826 mi.","$42,673"
39,2016 Toyota Sequoia Limited,"56,760 mi.","$32,500"
40,2016 Toyota Sequoia Platinum,"54,822 mi.","$42,991"
