,Name,Mileage,Price
0,2004 Toyota Sienna LE,"140,037 mi.","$4,987"
1,2014 Toyota Sienna LE,"74,749 mi.","$16,899"
2,2015 Toyota Sienna LE,"31,659 mi.","$21,997"
3,2015 Toyota Sienna LE,"36,127 mi.","$18,900"
4,2015 Toyota Sienna XLE,"48,258 mi.","$23,977"
5,2014 Toyota Sienna L,"77,627 mi.","$24,000"
6,2015 Toyota Sienna LE,"75,840 mi.","$16,495"
7,2013 Toyota Sienna LE,"117,974 mi.","$13,074"
8,2013 Toyota Sienna SE,"67,609 mi.","$18,494"
9,2011 Toyota Sienna LE,"126,491 mi.","$10,250"
10,2014 Toyota Sienna LE,"47,608 mi.","$19,740"
11,2015 Toyota Sienna LE,"59,847 mi.","$18,855"
12,2013 Toyota Sienna XLE,"82,899 mi.","$22,950"
13,2015 Toyota Sienna XLE,"65,472 mi.","$24,996"
14,2012 Toyota Sienna Limited,"59,286 mi.","$22,592"
15,2016 Toyota Sienna XLE,"23,913 mi.","$29,898"
16,2015 Toyota Sienna LE,"100,640 mi.","$20,177"
17,2006 Toyota Sienna XLE,"134,061 mi.","$7,300"
18,2013 Toyota Sienna XLE,"117,788 mi.","$14,214"
19,2015 Toyota Sienna XLE,"52,912 mi.","$22,454"
20,2015 Toyota Sienna XLE,"26,311 mi.","$22,848"
21,2016 Toyota Sienna L,"79,087 mi.","$18,000"
22,2017 Toyota Sienna,"53,980 mi.","$28,000"
23,2015 Toyota Sienna XLE,"24,297 mi.","$21,999"
24,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
25,2015 Toyota Sienna Limited,"69,604 mi.","$22,788"
26,2015 Toyota Sienna L,"39,821 mi.","$18,998"
27,2015 Toyota Sienna XLE,"39,227 mi.","$26,995"
28,2011 Toyota Sienna XLE,"114,434 mi.","$13,900"
29,2015 Toyota Sienna LE,"33,684 mi.","$20,499"
30,2014 Toyota Sienna XLE,"48,598 mi.","$21,900"
31,2013 Toyota Sienna,"46,517 mi.","$19,822"
32,2017 Toyota Sienna L,"25,201 mi.","$23,575"
33,2015 Toyota Sienna XLE,"62,993 mi.","$21,950"
34,2015 Toyota Sienna LE,"66,311 mi.","$18,502"
35,2012 Toyota Sienna XLE,"36,589 mi.","$19,686"
36,2018 Toyota Sienna XLE,"16,951 mi.","$36,988"
37,2011 Toyota Sienna Base,"128,673 mi.","$8,995"
38,2019 Toyota Sienna LE,"1,106 mi.","$34,899"
39,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
40,2015 Toyota Sienna LE,"29,532 mi.","$19,499"
41,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
42,2015 Toyota Sienna XLE,"24,297 mi.","$21,999"
43,2015 Toyota Sienna XLE,"30,998 mi.","$24,400"
44,2011 Toyota Sienna LE,"167,982 mi.","$7,888"
45,2017 Toyota Sienna XLE,"27,651 mi.","$31,343"
46,2014 Toyota Sienna LE,"72,108 mi.","$16,995"
47,2017 Toyota Sienna LE,"54,087 mi.","$20,789"
48,2017 Toyota Sienna LE,"44,566 mi.","$21,995"
49,2008 Toyota Sienna XLE,"241,764 mi.","$4,625"
50,2016 Toyota Sienna XLE,"23,526 mi.","$28,997"
51,2017 Toyota Sienna LE Auto Access Seat,"48,483 mi.","$19,500"
52,2015 Toyota Sienna LE,"42,819 mi.","$20,500"
53,2006 Toyota Sienna XLE,"142,025 mi.","$7,150"
54,2014 Toyota Sienna L,"29,106 mi.","$17,308"
55,2018 Toyota Sienna LE,"9,611 mi.","$29,724"
56,2013 Toyota Sienna XLE,"103,837 mi.","$12,911"
57,2012 Toyota Sienna LE,"95,802 mi.","$10,664"
58,2013 Toyota Sienna XLE,"94,567 mi.","$13,899"
59,2015 Toyota Sienna,"71,193 mi.","$19,994"
60,2011 Toyota Sienna XLE,"93,039 mi.","$13,997"
61,2015 Toyota Sienna L,"74,559 mi.","$14,990"
62,2011 Toyota Sienna SE,"75,550 mi.","$15,828"
63,2017 Toyota Sienna LE,"45,387 mi.","$18,200"
64,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
65,2018 Toyota Sienna XLE,"16,019 mi.","$27,499"
66,2016 Toyota Sienna LE,"32,116 mi.","$22,632"
67,2017 Toyota Sienna LE,"85,407 mi.","$19,561"
68,2017 Toyota Sienna LE,"64,624 mi.","$21,300"
69,2018 Toyota Sienna XLE,"37,549 mi.","$26,537"
70,2011 Toyota Sienna LE,"135,490 mi.","$10,999"
71,2016 Toyota Sienna XLE,"40,684 mi.","$27,621"
72,2013 Toyota Sienna XLE,"56,828 mi.","$18,656"
73,2017 Toyota Sienna XLE Premium,"30,685 mi.","$32,988"
74,2009 Toyota Sienna XLE,"60,252 mi.","$11,995"
75,2014 Toyota Sienna L,"113,888 mi.","$9,798"
76,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
77,2015 Toyota Sienna XLE,"24,297 mi.","$21,999"
78,2014 Toyota Sienna LE,"42,011 mi.","$17,500"
79,2017 Toyota Sienna XLE,"14,924 mi.","$23,999"
80,2017 Toyota Sienna XLE,"26,519 mi.","$27,900"
81,2013 Toyota Sienna XLE,"50,930 mi.","$18,480"
82,2015 Toyota Sienna L,"35,841 mi.","$23,303"
83,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
84,2007 Toyota Sienna XLE,"119,900 mi.","$7,998"
85,2017 Toyota Sienna XLE,"32,096 mi.","$26,995"
86,2015 Toyota Sienna L,"55,668 mi.","$17,988"
87,2017 Toyota Sienna XLE Premium,"14,476 mi.","$30,999"
88,2016 Toyota Sienna LE,"18,673 mi.","$22,999"
89,2016 Toyota Sienna LE,"8,510 mi.","$26,999"
90,2017 Toyota Sienna XLE,"16,699 mi.","$27,977"
91,2017 Toyota Sienna LE,"46,527 mi.","$19,895"
92,2014 Toyota Sienna XLE,"91,233 mi.","$14,995"
93,2015 Toyota Sienna XLE,"71,121 mi.","$18,895"
94,2013 Toyota Sienna XLE,"41,709 mi.","$17,690"
95,2012 Toyota Sienna Base,"71,605 mi.","$13,988"
96,2011 Toyota Sienna XLE,"97,425 mi.","$15,900"
97,2017 Toyota Sienna L,"17,575 mi.","$21,937"
98,2016 Toyota Sienna SE Premium,"27,441 mi.","$28,988"
99,2008 Toyota Sienna XLE,"120,165 mi.","$9,118"
100,2017 Toyota Sienna L,"31,142 mi.","$21,797"
101,2015 Toyota Sienna LE,"46,200 mi.","$18,250"
102,2015 Toyota Sienna Limited,"37,460 mi.","$24,750"
103,2013 Toyota Sienna LE,"74,359 mi.","$17,998"
104,2015 Toyota Sienna SE,"37,384 mi.","$27,988"
105,2017 Toyota Sienna L,"21,317 mi.","$22,874"
106,2017 Toyota Sienna LE,"50,268 mi.","$21,495"
107,2017 Toyota Sienna L,"53,679 mi.","$17,999"
108,2004 Toyota Sienna LE,"145,317 mi.","$4,593"
109,2015 Toyota Sienna LE,"54,366 mi.","$19,991"
110,2008 Toyota Sienna XLE,"107,000 mi.","$8,800"
111,2015 Toyota Sienna LE,"41,587 mi.","$18,900"
112,2014 Toyota Sienna LE,"25,877 mi.","$24,995"
113,2009 Toyota Sienna LE,"152,151 mi.","$5,993"
114,2018 Toyota Sienna LE,"10,887 mi.","$24,859"
115,2018 Toyota Sienna LE,"10,565 mi.","$25,259"
116,2018 Toyota Sienna LE,"12,257 mi.","$29,138"
117,2017 Toyota Sienna SE Premium,"19,552 mi.","$32,988"
118,2008 Toyota Sienna LE,"83,209 mi.","$8,995"
119,2016 Toyota Sienna XLE,"69,000 mi.","$23,995"
120,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
121,2012 Toyota Sienna XLE,"98,779 mi.","$12,994"
122,2015 Toyota Sienna LE,"68,652 mi.","$16,755"
123,2015 Toyota Sienna LE,"48,304 mi.","$20,200"
124,2015 Toyota Sienna L,"41,641 mi.","$22,855"
125,2014 Toyota Sienna LE,"78,578 mi.","$16,000"
126,2011 Toyota Sienna XLE,"160,338 mi.","$9,150"
127,2009 Toyota Sienna LE 7-Passenger,"54,918 mi.","$12,998"
128,2017 Toyota Sienna LE,"40,938 mi.","$21,599"
129,2016 Toyota Sienna XLE,"36,542 mi.","$27,999"
130,2016 Toyota Sienna XLE Premium,"44,518 mi.","$25,500"
131,2015 Toyota Sienna XLE,"41,326 mi.","$22,500"
132,2017 Toyota Sienna LE,"42,893 mi.","$22,679"
133,2015 Toyota Sienna XLE Premium,"59,180 mi.","$25,775"
134,2009 Toyota Sienna XLE,"86,525 mi.","$12,495"
135,2018 Toyota Sienna XLE Premium,"11,708 mi.","$37,988"
136,2015 Toyota Sienna XLE,"50,470 mi.","$20,789"
137,2015 Toyota Sienna LE,"61,156 mi.","$18,578"
138,2014 Toyota Sienna XLE,"71,638 mi.","$17,995"
139,2015 Toyota Sienna LE,"35,276 mi.","$21,483"
140,2017 Toyota Sienna,"33,463 mi.","$24,872"
141,2015 Toyota Sienna LE,"30,531 mi.","$24,712"
142,2017 Toyota Sienna XLE Premium,"11,494 mi.","$34,771"
143,2014 Toyota Sienna LE,"84,960 mi.","$16,357"
144,2011 Toyota Sienna LE,"113,029 mi.","$12,000"
145,2017 Toyota Sienna XLE,"35,134 mi.","$23,899"
146,2015 Toyota Sienna LE,"105,294 mi.","$12,950"
147,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
148,2012 Toyota Sienna LE,"58,942 mi.","$16,999"
149,2014 Toyota Sienna LE,"102,373 mi.","$12,487"
150,2005 Toyota Sienna LE,"265,261 mi.","$2,900"
151,2015 Toyota Sienna LE,"43,558 mi.","$21,724"
152,2017 Toyota Sienna LE,"48,048 mi.","$18,999"
153,2007 Toyota Sienna XLE,"163,127 mi.","$7,858"
154,2011 Toyota Sienna Base,"150,593 mi.","$9,000"
155,2015 Toyota Sienna XLE Premium,"59,566 mi.","$23,956"
156,2012 Toyota Sienna LE,"135,684 mi.","$9,393"
157,2018 Toyota Sienna XLE,"21,198 mi.","$28,985"
158,2015 Toyota Sienna LE,"79,200 mi.","$16,892"
159,2015 Toyota Sienna L,"58,915 mi.","$16,995"
160,2014 Toyota Sienna LE,"94,166 mi.","$14,484"
161,2014 Toyota Sienna LE,"69,299 mi.","$17,171"
162,2016 Toyota Sienna LE,"38,320 mi.","$22,499"
163,2015 Toyota Sienna LE,"38,972 mi.","$19,450"
164,2007 Toyota Sienna XLE,"140,935 mi.","$5,670"
165,2014 Toyota Sienna XLE,"50,085 mi.","$22,949"
166,2017 Toyota Sienna XLE,"45,336 mi.","$26,000"
167,2013 Toyota Sienna 8 Passenger,"89,758 mi.","$13,999"
168,2014 Toyota Sienna LE,"53,868 mi.","$18,827"
169,2014 Toyota Sienna LE,"70,083 mi.","$14,990"
170,2015 Toyota Sienna LE,"62,259 mi.","$16,984"
171,2005 Toyota Sienna LE,"123,062 mi.","$5,880"
172,2015 Toyota Sienna XLE,"74,979 mi.","$17,998"
173,2015 Toyota Sienna LE,"55,363 mi.","$18,388"
174,2018 Toyota Sienna XLE,"16,019 mi.","$27,499"
175,2016 Toyota Sienna XLE,"20,265 mi.","$22,499"
176,2013 Toyota Sienna Limited,"90,248 mi.","$19,000"
177,2015 Toyota Sienna LE,"55,162 mi.","$17,690"
178,2015 Toyota Sienna LE,"30,337 mi.","$17,899"
179,2010 Toyota Sienna LE,"124,734 mi.","$6,850"
180,2015 Toyota Sienna LE,"50,947 mi.","$19,445"
181,2009 Toyota Sienna 5dr Van FWD (Natl),"85,757 mi.","$8,995"
182,2016 Toyota Sienna LE,"57,840 mi.","$19,995"
183,2014 Toyota Sienna L,"61,001 mi.","$15,900"
