,Name,Mileage,Price
0,1994 Toyota Supra w/Sport Roof,"140,525 mi.","$59,999"
1,1994 Toyota Supra w/Sport Roof,"32,524 mi.","$69,988"
2,1997 Toyota Supra Turbo,"94,268 mi.","$47,500"
3,1994 Toyota Supra w/Sport Roof,"54,217 mi.","$47,900"
4,1993 Toyota Supra,"35,000 mi.","$29,000"
5,"1994 Toyota Supra Preservation Class -Turbo, Manual","43,642 mi.","$125,450"
6,1992 Toyota Supra RIGHT-HAND DRIVE W/ MANY UPGRADES!,"97,982 mi.","$29,995"
7,1992 Toyota Supra Turbo,"62,000 mi.","$24,995"
8,1997 Toyota Supra Turbo,"71,755 mi.","$54,999"
9,1994 Toyota Supra w/Sport Roof,"126,322 mi.","$42,925"
10,1998 Toyota Supra Turbo,"39,111 mi.","$99,990"
11,1994 Toyota Supra w/Sport Roof,"63,425 mi.","$59,999"
12,1988 Toyota Supra Turbo 2dr Hatchback,"75,998 mi.","$13,900"
13,1998 Toyota Supra 3dr LB Sport Roof Turbo Auto,"72,693 mi.","$49,900"
14,1994 Toyota Supra Turbo,"36,167 mi.","$67,500"
15,1994 Toyota Supra Turbo,"43,199 mi.","$49,800"
16,1994 Toyota Supra w/Sport Roof,"7,111 mi.","$500,000"
17,1991 Toyota Supra Turbo Sport Roof Automatic,"107,988 mi.","$19,995"
18,1994 Toyota Supra Turbo Sport Roof,"95,662 mi.","$69,998"
19,1993 Toyota Supra Twin Turbo 2 door Hatchback,"68,682 mi.","$47,800"
20,1990 Toyota Supra Turbo,"42,243 mi.","$19,900"
21,1998 Toyota Supra Sport Roof,"79,543 mi.","$29,900"
22,1997 Toyota Supra Turbo,"40,000 mi.","$99,999"
23,1994 Toyota Supra Turbo,"100,000 mi.","$99,999"
24,1995 Toyota Supra,"84,000 mi.","$99,999"
25,1998 Toyota Supra Turbo,"66,850 mi.","$129,999"
26,1997 Toyota Supra 3dr LB 15th Anniv Turbo Manual,"79,000 mi.","$69,990"
27,1994 Toyota Supra Turbo,"121,514 mi.","$32,000"
28,1997 Toyota Supra Turbo,"68,850 mi.","$67,500"
29,1996 Toyota Supra Turbo,"41,927 mi.","$67,700"
30,1988 Toyota Supra,"149,500 mi.","$6,000"
31,1988 Toyota Supra,"127,000 mi.","$9,750"
32,1987 Toyota Supra Turbo,"87,000 mi.","$9,950"
33,1986 Toyota Supra 3.0 L,"44,500 mi.","$11,800"
34,1993 Toyota Supra Premier Turbo,"84,999 mi.","$89,999"
35,1997 Toyota Supra Turbo,"69,000 mi.","$89,999"
36,1994 Toyota Supra Turbo,"39,000 mi.","$89,999"
37,1993 Toyota Supra Premier,"67,554 mi.","$28,000"
38,1987 Toyota Supra 3dr Liftback Auto w/Roof,"152,383 mi.","$9,999"
39,1994 Toyota Supra w/Sport Roof,"55,077 mi.",Not Priced
