,Name,Mileage,Price
0,2015 Toyota Venza LE,"31,887 mi.","$15,498"
1,2013 Toyota Venza XLE,"56,837 mi.","$16,998"
2,2014 Toyota Venza XLE,"67,438 mi.","$13,977"
3,2015 Toyota Venza XLE,"54,542 mi.","$19,301"
4,2013 Toyota Venza XLE,"91,229 mi.","$15,977"
5,2015 Toyota Venza XLE,"41,132 mi.","$19,482"
6,2015 Toyota Venza XLE,"35,329 mi.","$22,991"
7,2015 Toyota Venza Limited,"44,545 mi.","$20,987"
8,2013 Toyota Venza LE,"52,017 mi.","$16,480"
9,2015 Toyota Venza LE,"42,615 mi.","$15,980"
10,2015 Toyota Venza XLE,"68,339 mi.","$19,259"
11,2015 Toyota Venza XLE,"33,186 mi.","$16,799"
12,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
13,2011 Toyota Venza Base,"65,690 mi.","$11,999"
14,2014 Toyota Venza Limited,"53,656 mi.","$20,298"
15,2010 Toyota Venza,"99,700 mi.","$11,945"
16,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
17,2015 Toyota Venza XLE,"33,186 mi.","$16,799"
18,2011 Toyota Venza Base,"85,053 mi.","$13,000"
19,2015 Toyota Venza XLE,"56,676 mi.","$20,969"
20,2012 Toyota Venza XLE,"67,387 mi.","$14,995"
21,2015 Toyota Venza XLE,"26,001 mi.","$22,994"
22,2013 Toyota Venza LE,"43,237 mi.","$16,895"
23,2010 Toyota Venza,"76,028 mi.","$14,526"
24,2011 Toyota Venza Base,"90,800 mi.","$11,995"
25,2014 Toyota Venza LE,"76,987 mi.","$15,288"
26,2010 Toyota Venza,"104,548 mi.","$9,777"
27,2015 Toyota Venza XLE,"32,626 mi.","$23,995"
28,2015 Toyota Venza LE,"34,039 mi.","$19,698"
29,2013 Toyota Venza Limited,"61,141 mi.","$17,699"
30,2015 Toyota Venza XLE,"20,987 mi.","$22,699"
31,2015 Toyota Venza LE,"28,064 mi.","$18,000"
32,2013 Toyota Venza LE,"64,402 mi.","$13,500"
33,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
34,2015 Toyota Venza BASE,"56,887 mi.","$17,500"
35,2012 Toyota Venza LE,"94,919 mi.","$10,000"
36,2013 Toyota Venza LE,"81,151 mi.","$12,995"
37,2014 Toyota Venza LE,"89,748 mi.","$17,494"
38,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
39,2015 Toyota Venza LE,"27,477 mi.","$17,740"
40,2015 Toyota Venza LE,"35,499 mi.","$19,676"
41,2015 Toyota Venza LE,"31,564 mi.","$17,576"
42,2015 Toyota Venza XLE,"35,991 mi.","$20,500"
43,2012 Toyota Venza,"69,738 mi.","$17,079"
44,2015 Toyota Venza LE,"14,885 mi.","$17,000"
45,2010 Toyota Venza Base,"134,678 mi.","$10,390"
46,2014 Toyota Venza LE,"88,629 mi.","$12,977"
47,2015 Toyota Venza LE,"55,565 mi.","$15,499"
48,2011 Toyota Venza Base,"106,166 mi.","$11,589"
49,2013 Toyota Venza LE,"119,634 mi.","$9,199"
50,2011 Toyota Venza Base,"81,031 mi.","$10,299"
51,2013 Toyota Venza Limited,"73,471 mi.","$17,995"
52,2015 Toyota Venza XLE,"35,525 mi.","$22,495"
53,2012 Toyota Venza,"85,757 mi.","$11,643"
54,2012 Toyota Venza XLE,"94,774 mi.","$13,321"
55,2015 Toyota Venza XLE,"33,186 mi.","$16,799"
56,2013 Toyota Venza Limited,"70,247 mi.","$16,682"
57,2015 Toyota Venza LE,"69,685 mi.","$14,782"
58,2012 Toyota Venza LE,"60,423 mi.","$13,537"
59,2013 Toyota Venza LE,"76,372 mi.","$13,484"
60,2011 Toyota Venza Base,"45,850 mi.","$13,300"
61,2015 Toyota Venza,"56,886 mi.","$21,994"
62,2009 Toyota Venza,"126,008 mi.","$9,306"
63,2014 Toyota Venza LE,"85,505 mi.","$11,985"
64,2011 Toyota Venza Base,"82,100 mi.","$14,495"
65,2015 Toyota Venza LE,"45,681 mi.","$16,000"
66,2015 Toyota Venza XLE,"41,203 mi.","$20,499"
67,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
68,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
69,2015 Toyota Venza XLE,"33,186 mi.","$16,799"
70,2009 Toyota Venza,"67,990 mi.","$13,821"
71,2015 Toyota Venza LE,"32,462 mi.","$15,699"
72,2010 Toyota Venza,"64,946 mi.","$14,318"
73,2015 Toyota Venza LE,"50,366 mi.","$17,433"
74,2011 Toyota Venza Base,"84,482 mi.","$13,290"
75,2014 Toyota Venza LE,"48,125 mi.","$13,999"
76,2015 Toyota Venza Limited,"64,949 mi.","$19,773"
77,2015 Toyota Venza LE,"35,191 mi.","$17,999"
78,2015 Toyota Venza LE,"21,315 mi.","$19,555"
79,2010 Toyota Venza,"75,557 mi.","$12,525"
80,2015 Toyota Venza LE,"28,865 mi.","$17,889"
81,2015 Toyota Venza XLE,"35,946 mi.","$22,995"
82,2011 Toyota Venza Base,"71,251 mi.","$12,500"
83,2015 Toyota Venza XLE,"32,887 mi.","$17,599"
84,2010 Toyota Venza,"61,350 mi.","$13,602"
85,2015 Toyota Venza LE,"12,800 mi.","$21,995"
86,2015 Toyota Venza Limited,"28,173 mi.","$27,955"
87,2015 Toyota Venza LE,"17,005 mi.","$19,500"
88,2014 Toyota Venza XLE,"48,436 mi.","$18,499"
89,2014 Toyota Venza XLE,"63,313 mi.","$16,999"
90,2015 Toyota Venza LE,"42,375 mi.","$15,994"
91,2011 Toyota Venza Base,"85,994 mi.","$11,995"
92,2015 Toyota Venza LE,"40,733 mi.","$17,516"
93,2014 Toyota Venza LE,"54,415 mi.","$15,990"
94,2015 Toyota Venza LE,"32,793 mi.","$17,500"
95,2015 Toyota Venza XLE,"48,487 mi.","$17,190"
96,2011 Toyota Venza FWD 4cyl,"117,347 mi.","$9,000"
97,2015 Toyota Venza LE,"14,042 mi.","$19,505"
98,2010 Toyota Venza Base,"88,369 mi.","$12,975"
99,2015 Toyota Venza XLE,"39,792 mi.","$18,722"
100,2014 Toyota Venza LE,"91,851 mi.","$12,990"
101,2014 Toyota Venza LE,"74,441 mi.","$14,998"
102,2015 Toyota Venza LE,"19,095 mi.","$19,576"
103,2013 Toyota Venza XLE,"60,636 mi.","$17,200"
104,2014 Toyota Venza LE,"46,070 mi.","$14,999"
105,2010 Toyota Venza,"105,942 mi.","$10,471"
106,2015 Toyota Venza XLE,"20,478 mi.","$20,588"
107,2013 Toyota Venza LE,"68,018 mi.","$14,491"
108,2009 Toyota Venza Base,"147,653 mi.","$10,000"
109,2014 Toyota Venza LE,"38,319 mi.","$17,494"
110,2009 Toyota Venza 4DR WGN I4 AWD,"116,925 mi.","$12,244"
111,2014 Toyota Venza XLE,"82,523 mi.","$17,991"
112,2014 Toyota Venza XLE,"26,391 mi.","$17,969"
113,2012 Toyota Venza XLE,"69,904 mi.","$14,533"
114,2013 Toyota Venza XLE,"116,963 mi.","$11,446"
115,2012 Toyota Venza LE,"87,649 mi.","$11,450"
116,2015 Toyota Venza XLE,"41,671 mi.","$19,950"
117,2015 Toyota Venza XLE,"51,453 mi.","$19,963"
118,2013 Toyota Venza Limited,"62,045 mi.","$15,999"
119,2014 Toyota Venza LE,"40,963 mi.","$18,381"
120,2009 Toyota Venza,"115,275 mi.","$9,493"
121,2014 Toyota Venza Limited,"84,976 mi.","$17,088"
122,2011 Toyota Venza Base,"101,342 mi.","$10,980"
123,2014 Toyota Venza LE,"60,198 mi.","$20,545"
124,2015 Toyota Venza XLE,"71,525 mi.","$18,729"
125,2009 Toyota Venza,"136,711 mi.","$11,331"
126,2009 Toyota Venza Base,"113,526 mi.","$10,989"
127,2014 Toyota Venza Limited,"132,845 mi.","$15,491"
128,2015 Toyota Venza XLE,"54,518 mi.","$21,658"
129,2012 Toyota Venza Limited,"101,138 mi.","$12,655"
130,2015 Toyota Venza XLE,"27,427 mi.","$22,990"
131,2014 Toyota Venza LE,"139,928 mi.","$11,910"
132,2010 Toyota Venza Base,"160,461 mi.","$8,500"
133,2011 Toyota Venza XLE,"84,135 mi.","$11,490"
134,2015 Toyota Venza LE,"43,790 mi.","$15,917"
135,2014 Toyota Venza XLE,"59,037 mi.","$20,375"
136,2015 Toyota Venza XLE,"39,484 mi.","$21,203"
137,2011 Toyota Venza Base,"62,359 mi.","$13,990"
138,2011 Toyota Venza Base,"117,356 mi.","$11,981"
139,2013 Toyota Venza XLE,"84,850 mi.","$15,500"
140,2009 Toyota Venza Base,"152,289 mi.","$9,475"
141,2015 Toyota Venza Limited,"72,613 mi.","$19,995"
142,2015 Toyota Venza LE,"29,966 mi.","$20,000"
143,2011 Toyota Venza Base,"137,167 mi.","$10,730"
144,2015 Toyota Venza Limited,"72,566 mi.","$18,875"
145,2015 Toyota Venza XLE,"59,397 mi.","$18,310"
146,2015 Toyota Venza Limited,"64,110 mi.","$19,493"
147,2013 Toyota Venza XLE,"69,114 mi.","$16,990"
148,2013 Toyota Venza LE,"105,753 mi.","$11,900"
149,2015 Toyota Venza XLE,"36,122 mi.","$19,991"
150,2014 Toyota Venza LE,"76,295 mi.","$15,866"
151,2009 Toyota Venza,"123,146 mi.","$9,495"
152,2010 Toyota Venza Base,"75,901 mi.","$12,650"
153,2015 Toyota Venza XLE,"43,181 mi.","$21,895"
154,2010 Toyota Venza,"88,158 mi.","$11,995"
155,2010 Toyota Venza,"92,583 mi.","$10,981"
156,2012 Toyota Venza Limited,"76,554 mi.","$14,405"
157,2010 Toyota Venza,"126,500 mi.","$9,830"
158,2010 Toyota Venza,"82,821 mi.","$11,997"
