,Name,Mileage,Price
0,2017 Toyota Yaris L,"44,048 mi.","$10,299"
1,2013 Toyota Yaris L,"68,806 mi.","$8,528"
2,2012 Toyota Yaris,"77,018 mi.","$7,877"
3,2015 Toyota Yaris L,"80,091 mi.","$9,595"
4,2016 Toyota Yaris L,"37,606 mi.","$9,990"
5,2017 Toyota Yaris L,"41,114 mi.","$9,990"
6,2015 Toyota Yaris L,"81,176 mi.","$9,095"
7,2017 Toyota Yaris L,"46,419 mi.","$10,099"
8,2015 Toyota Yaris L,"31,819 mi.","$11,400"
9,2014 Toyota Yaris L,"63,606 mi.","$8,400"
10,2013 Toyota Yaris L,"102,000 mi.","$7,995"
11,2012 Toyota Yaris L,"94,488 mi.","$7,999"
12,2007 Toyota Yaris S,"125,926 mi.","$6,133"
13,2013 Toyota Yaris LE,"107,559 mi.","$6,998"
14,2014 Toyota Yaris LE,"49,140 mi.","$8,970"
15,2017 Toyota Yaris L,"36,177 mi.","$10,290"
16,2017 Toyota Yaris L,"32,424 mi.","$10,290"
17,2017 Toyota Yaris LE,"49,191 mi.","$8,985"
18,2016 Toyota Yaris L,"34,002 mi.","$10,000"
19,2017 Toyota Yaris L,"40,072 mi.","$10,790"
20,2013 Toyota Yaris LE,"69,390 mi.","$8,436"
21,2009 Toyota Yaris S,"75,451 mi.","$6,299"
22,2009 Toyota Yaris,"215,377 mi.","$2,845"
23,2010 Toyota Yaris Base,"84,948 mi.","$6,995"
24,2016 Toyota Yaris L,"40,474 mi.","$9,440"
25,2017 Toyota Yaris L,"43,540 mi.","$9,540"
26,2015 Toyota Yaris LE,"56,158 mi.","$10,995"
27,2016 Toyota Yaris L,"45,119 mi.","$10,329"
28,2017 Toyota Yaris L,"44,527 mi.","$9,602"
29,2016 Toyota Yaris L,"3,781 mi.","$12,836"
30,2018 Toyota Yaris SE,"6,893 mi.","$16,887"
31,2014 Toyota Yaris LE,"76,913 mi.","$9,989"
32,2016 Toyota Yaris L,"37,125 mi.","$9,990"
33,2017 Toyota Yaris L,"47,869 mi.","$10,000"
34,2007 Toyota Yaris S,"97,909 mi.","$5,188"
35,2014 Toyota Yaris LE,"70,839 mi.","$9,988"
36,2010 Toyota Yaris Base,"101,830 mi.","$4,950"
37,2016 Toyota Yaris L,"20,412 mi.","$12,800"
38,2014 Toyota Yaris L,"86,587 mi.","$6,985"
39,2011 Toyota Yaris Base,"52,620 mi.","$8,000"
40,2015 Toyota Yaris SE,"33,690 mi.","$11,650"
41,2008 Toyota Yaris Base,"86,787 mi.","$5,491"
42,2013 Toyota Yaris L,"75,610 mi.","$7,497"
