,Name,Mileage,Price
0,2013 Volkswagen Eos Executive,"53,583 mi.","$14,500"
1,2015 Volkswagen Eos Komfort Edition,"31,251 mi.","$22,881"
2,2010 Volkswagen Eos Komfort,"85,178 mi.","$8,888"
3,2015 Volkswagen Eos Executive,"29,743 mi.","$22,900"
4,2012 Volkswagen Eos Komfort,"103,899 mi.","$9,995"
5,2008 Volkswagen Eos Turbo,"77,506 mi.","$8,897"
6,2012 Volkswagen Eos Lux,"99,216 mi.","$10,395"
7,2014 Volkswagen Eos Executive,"32,496 mi.","$19,200"
8,2008 Volkswagen Eos Lux,"136,218 mi.","$6,222"
9,2014 Volkswagen Eos Executive,"41,936 mi.","$14,999"
10,2012 Volkswagen Eos Executive,"102,277 mi.","$8,777"
11,2015 Volkswagen Eos Executive Edition,"20,820 mi.","$18,491"
12,2014 Volkswagen Eos Executive,"41,936 mi.","$14,999"
13,2008 Volkswagen Eos Lux,"77,942 mi.","$6,998"
14,2009 Volkswagen Eos Komfort,"100,228 mi.","$7,500"
15,2015 Volkswagen Eos Komfort,"49,681 mi.","$17,990"
16,2009 Volkswagen Eos Komfort,"48,203 mi.","$9,000"
17,2015 Volkswagen Eos Komfort Edition,"82,034 mi.","$15,998"
18,2012 Volkswagen Eos Komfort,"58,260 mi.","$11,489"
19,2013 Volkswagen Eos Sport,"39,211 mi.","$14,990"
20,2013 Volkswagen Eos Komfort,"34,966 mi.","$16,990"
21,2016 Volkswagen Eos Komfort Edition,"17,054 mi.","$21,886"
22,2014 Volkswagen Eos Komfort,"32,967 mi.","$16,975"
23,2012 Volkswagen Eos Komfort,"86,909 mi.","$10,300"
24,2013 Volkswagen Eos Komfort,"50,332 mi.","$13,996"
25,2008 Volkswagen Eos Turbo,"83,273 mi.","$7,495"
26,2015 Volkswagen Eos Komfort Edition,"99,709 mi.","$11,000"
27,2014 Volkswagen Eos Executive,"41,936 mi.","$14,999"
28,2012 Volkswagen Eos Komfort,"78,970 mi.","$9,972"
29,2014 Volkswagen Eos Executive,"46,292 mi.","$19,250"
30,2014 Volkswagen Eos Komfort,"54,789 mi.","$13,774"
31,2014 Volkswagen Eos Executive,"41,936 mi.","$14,999"
32,2007 Volkswagen Eos 2.0T,"117,420 mi.","$5,995"
33,2010 Volkswagen Eos Komfort,"65,379 mi.","$10,489"
34,2013 Volkswagen Eos Komfort,"23,501 mi.","$15,998"
