,Name,Mileage,Price
0,2003 Volkswagen Eurovan MV,"147,268 mi.","$12,488"
1,2003 Volkswagen Eurovan MV,"172,763 mi.","$21,977"
2,2001 Volkswagen Eurovan GLS,"125,511 mi.","$7,995"
3,2002 Volkswagen Eurovan MV,"148,720 mi.","$10,777"
4,2003 Volkswagen Eurovan MV,"147,143 mi.","$9,942"
5,2002 Volkswagen Eurovan MV,"150,469 mi.","$14,999"
6,2003 Volkswagen Eurovan MV,"144,955 mi.","$13,999"
7,2003 Volkswagen Eurovan MV,"147,089 mi.","$7,995"
8,2003 Volkswagen Eurovan GLS,"189,480 mi.","$4,999"
9,2002 Volkswagen Eurovan GLS,"167,260 mi.","$4,500"
10,2003 Volkswagen Eurovan MV,"248,010 mi.","$4,988"
11,1995 Volkswagen Eurovan Transporter,"96,848 mi.","$23,500"
12,2002 Volkswagen Eurovan MV,"157,506 mi.","$14,988"
13,1993 Volkswagen Eurovan MV,"174,370 mi.","$9,999"
14,2003 Volkswagen Eurovan MV,"183,303 mi.","$16,995"
15,2002 Volkswagen Eurovan MV,"152,744 mi.","$14,500"
16,2003 Volkswagen Eurovan MV,"180,665 mi.","$3,993"
17,1993 Volkswagen Eurovan GL,"55,741 mi.","$10,955"
18,2003 Volkswagen Eurovan GLS,"79,067 mi.","$14,178"
19,1997 Volkswagen Eurovan,"123,929 mi.","$29,900"
20,2001 Volkswagen Eurovan MV,"197,054 mi.","$12,999"
21,2002 Volkswagen Eurovan GLS,"183,000 mi.","$1,400"
22,2002 Volkswagen Eurovan GLS,"109,777 mi.","$13,195"
23,1997 Volkswagen Eurovan CV,"113,347 mi.","$29,995"
24,2001 Volkswagen Eurovan MV,"125,000 mi.","$10,000"
25,2003 Volkswagen Eurovan MV,"190,000 mi.","$13,500"
26,2002 Volkswagen Eurovan GLS,"142,911 mi.","$8,500"
27,2003 Volkswagen Eurovan MV,"187,900 mi.","$18,950"
28,2002 Volkswagen Eurovan MV,"152,000 mi.","$8,000"
29,2003 Volkswagen Eurovan MV,"190,000 mi.","$14,500"
30,2001 Volkswagen Eurovan MV,"158,960 mi.","$3,995"
31,2002 Volkswagen Eurovan,"83,500 mi.","$29,500"
32,2001 Volkswagen Eurovan MV,0 mi.,"$19,888"
33,2001 Volkswagen Eurovan MV,"150,202 mi.","$6,950"
